year,age_group,median_income
1995,65+,27500.0
1996,15–24,11700.0
1996,25–34,38600.0
1996,35–44,48300.0
1996,45–54,50700.0
1996,55–64,34800.0
1996,65+,27100.0
1997,15–24,11400.0
1997,25–34,39300.0
1997,35–44,48100.0
1997,45–54,49800.0
1997,55–64,33500.0
1997,65+,27500.0
1998,15–24,12400.0
1998,25–34,39900.0
1998,35–44,49100.0
1998,45–54,51100.0
1998,55–64,34200.0
1998,65+,27600.0
1999,15–24,13000.0
1999,25–34,41600.0
1999,35–44,51200.0
1999,45–54,51000.0
1999,55–64,36400.0
1999,65+,28300.0
2000,15–24,12800.0
2000,25–34,43500.0
2000,35–44,51100.0
2000,45–54,51300.0
2000,55–64,36300.0
2000,65+,28500.0
2001,15–24,13800.0
2001,25–34,43500.0
2001,35–44,51800.0
2001,45–54,51300.0
2001,55–64,38200.0
2001,65+,29200.0
2002,15–24,13200.0
2002,25–34,43700.0
2002,35–44,51400.0
2002,45–54,51200.0
2002,55–64,37700.0
2002,65+,29300.0
2003,15–24,12900.0
2003,25–34,43000.0
2003,35–44,51400.0
2003,45–54,51500.0
2003,55–64,39000.0
2003,65+,29300.0
2004,15–24,12900.0
2004,25–34,44300.0
2004,35–44,50700.0
2004,45–54,51800.0
2004,55–64,39300.0
2004,65+,29800.0
2005,15–24,13100.0
2005,25–34,44200.0
2005,35–44,51100.0
2005,45–54,52900.0
2005,55–64,42300.0
2005,65+,29700.0
2006,15–24,13000.0
2006,25–34,44700.0
2006,35–44,52000.0
2006,45–54,54000.0
2006,55–64,43100.0
2006,65+,30700.0
2007,15–24,13900.0
2007,25–34,44900.0
2007,35–44,53900.0
2007,45–54,54800.0
2007,55–64,44300.0
2007,65+,31100.0
2008,15–24,13800.0
2008,25–34,47300.0
2008,35–44,55000.0
2008,45–54,56100.0
2008,55–64,42100.0
2008,65+,31200.0
2009,15–24,12900.0
2009,25–34,45700.0
2009,35–44,54900.0
2009,45–54,54500.0
2009,55–64,45200.0
2009,65+,31900.0
2010,15–24,13800.0
2010,25–34,46000.0
2010,35–44,55300.0
2010,45–54,55300.0
2010,55–64,44500.0
2010,65+,30900.0
2011,15–24,14300.0
2011,25–34,46300.0
2011,35–44,57900.0
2011,45–54,55300.0
2011,55–64,45000.0
2011,65+,31200.0
2012,15–24,13700.0
2012,25–34,45200.0
2012,35–44,55700.0
2012,45–54,56400.0
2012,55–64,48200.0
2012,65+,33600.0
2013,15–24,12900.0
2013,25–34,45600.0
2013,35–44,57500.0
2013,45–54,58600.0
2013,55–64,49600.0
2013,65+,33700.0
2014,15–24,13100.0
2014,25–34,44500.0
2014,35–44,59700.0
2014,45–54,56500.0
2014,55–64,50000.0
2014,65+,34000.0
2015,15–24,14100.0
2015,25–34,47200.0
2015,35–44,59800.0
2015,45–54,58000.0
2015,55–64,49600.0
2015,65+,33900.0
2016,15–24,14900.0
2016,25–34,46800.0
2016,35–44,58100.0
2016,45–54,58600.0
2016,55–64,48600.0
2016,65+,33800.0
2017,15–24,14300.0
2017,25–34,47300.0
2017,35–44,59400.0
2017,45–54,60700.0
2017,55–64,51200.0
2017,65+,35100.0
2018,15–24,15200.0
2018,25–34,47700.0
2018,35–44,61400.0
2018,45–54,60700.0
2018,55–64,50200.0
2018,65+,35200.0
2019,15–24,15500.0
2019,25–34,49600.0
2019,35–44,62400.0
2019,45–54,62700.0
2019,55–64,49600.0
2019,65+,35400.0
2020,15–24,21800.0
2020,25–34,51000.0
2020,35–44,64200.0
2020,45–54,63200.0
2020,55–64,51400.0
2020,65+,37900.0
2021,15–24,18800.0
2021,25–34,53300.0
2021,35–44,65100.0
2021,45–54,62900.0
2021,55–64,52600.0
2021,65+,37800.0
2022,15–24,16800.0
2022,25–34,51300.0
2022,35–44,63900.0
2022,45–54,63800.0
2022,55–64,51500.0
2022,65+,36900.0
2023,15–24,16000.0
2023,25–34,50800.0
2023,35–44,63300.0
2023,45–54,64500.0
2023,55–64,52300.0
2023,65+,38500.0
2024,15–24,15700.0
2024,25–34,49600.0
2024,35–44,63800.0
2024,45–54,65800.0
2024,55–64,53300.0
2024,65+,39200.0
