year,decile,after_tax,before_tax
2005,Ninth decile,83000.0,103000.0
2005,Second decile,25700.0,26600.0
2005,Seventh decile,60100.0,71500.0
2005,Sixth decile,52500.0,61300.0
2005,Third decile,32400.0,35000.0
2006,Eighth decile,71100.0,86000.0
2006,Fifth decile,46200.0,52800.0
2006,Fourth decile,39600.0,44100.0
2006,Highest decile,133700.0,178000.0
2006,Lowest decile,14800.0,15300.0
2006,Ninth decile,85000.0,105200.0
2006,Second decile,25900.0,26800.0
2006,Seventh decile,61100.0,72600.0
2006,Sixth decile,53300.0,62200.0
2006,Third decile,33000.0,35500.0
2007,Eighth decile,73300.0,88000.0
2007,Fifth decile,47700.0,53900.0
2007,Fourth decile,41100.0,45200.0
2007,Highest decile,139400.0,185300.0
2007,Lowest decile,15600.0,16200.0
2007,Ninth decile,88000.0,108500.0
2007,Second decile,27000.0,27700.0
2007,Seventh decile,63200.0,74500.0
2007,Sixth decile,55000.0,63500.0
2007,Third decile,34300.0,36600.0
2008,Eighth decile,75100.0,90100.0
2008,Fifth decile,49200.0,55700.0
2008,Fourth decile,42300.0,46800.0
2008,Highest decile,141400.0,187700.0
2008,Lowest decile,16100.0,16400.0
2008,Ninth decile,89700.0,110400.0
2008,Second decile,27600.0,28400.0
2008,Seventh decile,64800.0,76500.0
2008,Sixth decile,56600.0,65400.0
2008,Third decile,35000.0,37300.0
2009,Eighth decile,75500.0,89800.0
2009,Fifth decile,49400.0,55300.0
2009,Fourth decile,42300.0,46100.0
2009,Highest decile,141200.0,184900.0
2009,Lowest decile,15700.0,16000.0
2009,Ninth decile,90400.0,110000.0
2009,Second decile,27400.0,27900.0
2009,Seventh decile,65100.0,75900.0
2009,Sixth decile,57100.0,65100.0
2009,Third decile,34900.0,36800.0
2010,Eighth decile,75200.0,89800.0
2010,Fifth decile,49600.0,55500.0
2010,Fourth decile,42300.0,46100.0
2010,Highest decile,142500.0,187800.0
2010,Lowest decile,16000.0,16800.0
2010,Ninth decile,90500.0,110200.0
2010,Second decile,27600.0,28300.0
2010,Seventh decile,65000.0,75800.0
2010,Sixth decile,57100.0,65300.0
2010,Third decile,35100.0,36900.0
2011,Eighth decile,76300.0,91500.0
2011,Fifth decile,50100.0,56400.0
2011,Fourth decile,43000.0,47200.0
2011,Highest decile,141300.0,186200.0
2011,Lowest decile,16400.0,16700.0
2011,Ninth decile,91800.0,112100.0
2011,Second decile,28100.0,28800.0
2011,Seventh decile,66000.0,77500.0
2011,Sixth decile,57500.0,66500.0
2011,Third decile,35700.0,37700.0
2012,Eighth decile,77400.0,92400.0
2012,Fifth decile,50900.0,57600.0
2012,Fourth decile,43500.0,48000.0
2012,Highest decile,146300.0,191700.0
2012,Lowest decile,16000.0,16400.0
2012,Ninth decile,92300.0,112800.0
2012,Second decile,28500.0,29300.0
2012,Seventh decile,67000.0,78700.0
2012,Sixth decile,58800.0,67700.0
2012,Third decile,36200.0,38500.0
2013,Eighth decile,80200.0,95800.0
2013,Fifth decile,51500.0,58200.0
2013,Fourth decile,44200.0,48700.0
2013,Highest decile,147400.0,194400.0
2013,Lowest decile,15800.0,16200.0
2013,Ninth decile,95500.0,116800.0
2013,Second decile,28600.0,29300.0
2013,Seventh decile,68600.0,80600.0
2013,Sixth decile,59400.0,68400.0
2013,Third decile,36400.0,38600.0
2014,Eighth decile,79500.0,95500.0
2014,Fifth decile,52300.0,59200.0
2014,Fourth decile,45300.0,49900.0
2014,Highest decile,148400.0,197300.0
2014,Lowest decile,16800.0,17500.0
2014,Ninth decile,94800.0,116700.0
2014,Second decile,29700.0,30600.0
2014,Seventh decile,68800.0,81000.0
2014,Sixth decile,59900.0,69300.0
2014,Third decile,38000.0,40600.0
2015,Eighth decile,80100.0,96100.0
2015,Fifth decile,53100.0,60000.0
2015,Fourth decile,45400.0,50100.0
2015,Highest decile,150200.0,199300.0
2015,Lowest decile,16800.0,17300.0
2015,Ninth decile,96500.0,118300.0
2015,Second decile,29200.0,30100.0
2015,Seventh decile,69100.0,81300.0
2015,Sixth decile,60900.0,70300.0
2015,Third decile,37500.0,40200.0
2016,Eighth decile,79600.0,95300.0
2016,Fifth decile,53000.0,59900.0
2016,Fourth decile,45400.0,50100.0
2016,Highest decile,146500.0,195000.0
2016,Lowest decile,17100.0,17600.0
2016,Ninth decile,95000.0,115700.0
2016,Second decile,30100.0,31000.0
2016,Seventh decile,69100.0,81000.0
2016,Sixth decile,60800.0,69800.0
2016,Third decile,38200.0,40700.0
2017,Eighth decile,81900.0,98000.0
2017,Fifth decile,53800.0,60800.0
2017,Fourth decile,46200.0,50800.0
2017,Highest decile,152200.0,203600.0
2017,Lowest decile,17700.0,18200.0
2017,Ninth decile,97700.0,119700.0
2017,Second decile,30800.0,31600.0
2017,Seventh decile,70700.0,83000.0
2017,Sixth decile,62000.0,71400.0
2017,Third decile,38700.0,41100.0
2018,Eighth decile,81900.0,98300.0
2018,Fifth decile,54600.0,61900.0
2018,Fourth decile,47200.0,52200.0
2018,Highest decile,151000.0,201800.0
2018,Lowest decile,17700.0,18600.0
2018,Ninth decile,98000.0,119900.0
2018,Second decile,31400.0,32500.0
2018,Seventh decile,71000.0,83700.0
2018,Sixth decile,62300.0,72100.0
2018,Third decile,39700.0,42500.0
2019,Eighth decile,82800.0,99500.0
2019,Fifth decile,55300.0,62600.0
2019,Fourth decile,47700.0,52900.0
2019,Highest decile,149300.0,196700.0
2019,Lowest decile,18500.0,19200.0
2019,Ninth decile,98500.0,120200.0
2019,Second decile,32000.0,33100.0
2019,Seventh decile,71700.0,84300.0
2019,Sixth decile,63100.0,72700.0
2019,Third decile,40100.0,43100.0
2020,Eighth decile,85800.0,102400.0
2020,Fifth decile,58400.0,66000.0
2020,Fourth decile,51100.0,56600.0
2020,Highest decile,153100.0,203800.0
2020,Lowest decile,23000.0,24100.0
2020,Ninth decile,101600.0,123700.0
2020,Second decile,36200.0,37800.0
2020,Seventh decile,74900.0,87900.0
2020,Sixth decile,66000.0,76300.0
2020,Third decile,44000.0,47400.0
2021,Eighth decile,85000.0,102600.0
2021,Fifth decile,58100.0,66400.0
2021,Fourth decile,50900.0,56800.0
2021,Highest decile,156600.0,214300.0
2021,Lowest decile,19200.0,23000.0
2021,Ninth decile,100600.0,124200.0
2021,Second decile,35100.0,37000.0
2021,Seventh decile,74400.0,88100.0
2021,Sixth decile,65700.0,76600.0
2021,Third decile,43400.0,47100.0
2022,Eighth decile,85000.0,102800.0
2022,Fifth decile,57200.0,65300.0
2022,Fourth decile,49600.0,55300.0
2022,Highest decile,159200.0,220400.0
2022,Lowest decile,18100.0,20400.0
2022,Ninth decile,101100.0,125500.0
2022,Second decile,33300.0,34700.0
2022,Seventh decile,73900.0,87800.0
2022,Sixth decile,65100.0,75800.0
2022,Third decile,42000.0,45300.0
2023,Eighth decile,85800.0,103300.0
2023,Fifth decile,57700.0,65500.0
2023,Fourth decile,50100.0,55600.0
2023,Highest decile,159100.0,218600.0
2023,Lowest decile,18300.0,20300.0
2023,Ninth decile,102000.0,125600.0
2023,Second decile,33500.0,34800.0
2023,Seventh decile,74700.0,88300.0
2023,Sixth decile,65800.0,76300.0
2023,Third decile,42200.0,45500.0
2024,Eighth decile,87400.0,105300.0
2024,Fifth decile,58500.0,66500.0
2024,Fourth decile,50600.0,56100.0
2024,Highest decile,163600.0,225300.0
2024,Lowest decile,18900.0,20200.0
2024,Ninth decile,104100.0,128700.0
2024,Second decile,33600.0,35100.0
2024,Seventh decile,75900.0,89600.0
2024,Sixth decile,66800.0,77200.0
2024,Third decile,42600.0,45900.0
