year,geo,avg_weekly_wage,median_weekly_wage
2001,Saskatchewan,572.21,519.3
2002,Alberta,684.27,600.0
2002,British Columbia,668.48,624.0
2002,Canada,650.12,594.42
2002,Manitoba,574.75,519.2
2002,New Brunswick,548.06,499.88
2002,Newfoundland and Labrador,567.79,501.75
2002,Nova Scotia,558.32,497.2
2002,Ontario,690.04,630.0
2002,Prince Edward Island,508.62,480.0
2002,Quebec,606.12,560.0
2002,Saskatchewan,586.0,529.0
2003,Alberta,687.72,600.0
2003,British Columbia,683.79,640.0
2003,Canada,662.54,600.0
2003,Manitoba,588.99,520.0
2003,New Brunswick,561.34,506.25
2003,Newfoundland and Labrador,589.28,523.2
2003,Nova Scotia,573.31,514.8
2003,Ontario,701.52,640.0
2003,Prince Edward Island,538.59,500.0
2003,Quebec,619.15,568.5
2003,Saskatchewan,605.72,551.25
2004,Alberta,704.57,615.56
2004,British Columbia,687.32,640.0
2004,Canada,679.79,605.6
2004,Manitoba,613.7,550.0
2004,New Brunswick,572.91,520.0
2004,Newfoundland and Labrador,588.34,530.0
2004,Nova Scotia,588.81,525.0
2004,Ontario,720.26,650.0
2004,Prince Edward Island,563.34,520.88
2004,Quebec,641.26,582.8
2004,Saskatchewan,627.95,561.38
2005,Alberta,758.56,673.03
2005,British Columbia,704.05,649.88
2005,Canada,703.14,634.55
2005,Manitoba,625.93,560.0
2005,New Brunswick,591.2,530.63
2005,Newfoundland and Labrador,617.83,546.4
2005,Nova Scotia,608.23,538.3
2005,Ontario,743.63,675.0
2005,Prince Edward Island,561.75,520.0
2005,Quebec,656.66,600.0
2005,Saskatchewan,642.87,576.9
2006,Alberta,839.81,720.0
2006,British Columbia,738.96,672.96
2006,Canada,743.85,658.6
2006,Manitoba,654.37,583.6
2006,New Brunswick,623.53,550.9
2006,Newfoundland and Labrador,661.86,576.8
2006,Nova Scotia,631.87,557.6
2006,Ontario,783.44,692.4
2006,Prince Edward Island,595.21,550.0
2006,Quebec,684.18,614.0
2006,Saskatchewan,691.21,617.25
2007,Alberta,892.57,769.2
2007,British Columbia,771.37,693.0
2007,Canada,773.24,680.0
2007,Manitoba,687.73,614.8
2007,New Brunswick,656.82,579.5
2007,Newfoundland and Labrador,699.42,600.0
2007,Nova Scotia,665.57,595.0
2007,Ontario,807.28,712.0
2007,Prince Edward Island,610.06,558.75
2007,Quebec,707.21,634.8
2007,Saskatchewan,721.19,645.24
2008,Alberta,938.04,808.0
2008,British Columbia,806.27,721.2
2008,Canada,803.03,710.5
2008,Manitoba,719.78,640.0
2008,New Brunswick,686.43,614.16
2008,Newfoundland and Labrador,753.14,637.5
2008,Nova Scotia,692.13,600.0
2008,Ontario,833.74,731.0
2008,Prince Edward Island,653.47,600.0
2008,Quebec,725.3,648.0
2008,Saskatchewan,782.75,700.0
2009,Alberta,955.43,840.0
2009,British Columbia,827.37,747.95
2009,Canada,825.58,728.35
2009,Manitoba,745.77,673.2
2009,New Brunswick,717.62,638.08
2009,Newfoundland and Labrador,777.56,673.13
2009,Nova Scotia,724.75,631.2
2009,Ontario,853.8,756.0
2009,Prince Edward Island,673.96,603.2
2009,Quebec,753.72,676.4
2009,Saskatchewan,812.79,720.0
2010,Alberta,973.12,865.2
2010,British Columbia,843.22,769.11
2010,Canada,841.56,748.0
2010,Manitoba,764.43,680.0
2010,New Brunswick,741.8,660.0
2010,Newfoundland and Labrador,821.45,703.6
2010,Nova Scotia,748.31,654.38
2010,Ontario,867.17,769.2
2010,Prince Edward Island,705.73,637.2
2010,Quebec,767.25,686.7
2010,Saskatchewan,848.67,750.0
2011,Alberta,1000.84,870.0
2011,British Columbia,858.58,769.13
2011,Canada,862.79,760.0
2011,Manitoba,783.16,698.88
2011,New Brunswick,748.69,672.8
2011,Newfoundland and Labrador,857.17,745.5
2011,Nova Scotia,757.64,662.25
2011,Ontario,890.81,776.0
2011,Prince Edward Island,723.19,654.0
2011,Quebec,784.27,700.0
2011,Saskatchewan,872.87,780.4
2012,Alberta,1060.4,920.0
2012,British Columbia,877.26,771.2
2012,Canada,888.49,770.0
2012,Manitoba,802.08,707.76
2012,New Brunswick,767.07,684.4
2012,Newfoundland and Labrador,921.68,787.8
2012,Nova Scotia,777.78,673.2
2012,Ontario,906.37,796.88
2012,Prince Edward Island,755.01,675.0
2012,Quebec,807.87,720.0
2012,Saskatchewan,917.43,807.6
2013,Alberta,1091.68,960.0
2013,British Columbia,909.73,800.0
2013,Canada,907.72,790.0
2013,Manitoba,815.39,720.0
2013,New Brunswick,795.3,700.0
2013,Newfoundland and Labrador,965.01,807.6
2013,Nova Scotia,808.67,700.0
2013,Ontario,916.83,800.0
2013,Prince Edward Island,757.69,680.0
2013,Quebec,822.37,735.0
2013,Saskatchewan,949.7,840.0
2014,Alberta,1121.18,961.63
2014,British Columbia,910.02,802.0
2014,Canada,923.9,800.0
2014,Manitoba,839.03,740.0
2014,New Brunswick,805.68,712.5
2014,Newfoundland and Labrador,1009.18,873.2
2014,Nova Scotia,831.14,718.0
2014,Ontario,931.35,806.4
2014,Prince Edward Island,782.61,702.0
2014,Quebec,836.03,751.2
2014,Saskatchewan,978.52,880.0
2015,Alberta,1136.63,1000.0
2015,British Columbia,950.73,840.0
2015,Canada,947.96,825.0
2015,Manitoba,864.76,761.2
2015,New Brunswick,823.85,721.13
2015,Newfoundland and Labrador,975.44,825.0
2015,Nova Scotia,834.19,730.8
2015,Ontario,959.34,840.0
2015,Prince Edward Island,801.41,718.2
2015,Quebec,856.14,769.13
2015,Saskatchewan,995.21,880.0
2016,Alberta,1143.21,999.75
2016,British Columbia,953.5,840.0
2016,Canada,965.19,840.0
2016,Manitoba,878.82,769.16
2016,New Brunswick,844.24,748.0
2016,Newfoundland and Labrador,974.97,814.0
2016,Nova Scotia,867.64,750.0
2016,Ontario,984.76,856.4
2016,Prince Edward Island,807.77,723.8
2016,Quebec,876.14,775.2
2016,Saskatchewan,1017.88,904.8
2017,Alberta,1157.97,1000.0
2017,British Columbia,970.57,865.2
2017,Canada,979.92,854.0
2017,Manitoba,901.17,788.0
2017,New Brunswick,858.1,765.0
2017,Newfoundland and Labrador,994.31,861.2
