geography,year,area_burned_ha
New Brunswick,1992,5398.9
New Brunswick,1993,778.3
New Brunswick,1994,853.3
New Brunswick,1995,569.5
New Brunswick,1996,2016.8
New Brunswick,1997,263.9
New Brunswick,1998,412.4
New Brunswick,1999,1452.8
New Brunswick,2000,491.1
New Brunswick,2001,762.5
New Brunswick,2002,325.5
New Brunswick,2003,238.2
New Brunswick,2004,458.8
New Brunswick,2005,498.3
New Brunswick,2006,622.6
New Brunswick,2007,591.0
New Brunswick,2008,142.5
New Brunswick,2009,253.9
New Brunswick,2010,156.3
New Brunswick,2011,37.5
New Brunswick,2012,361.1
New Brunswick,2013,880.1
New Brunswick,2014,113.1
New Brunswick,2015,262.3
New Brunswick,2016,264.8
New Brunswick,2017,567.9
New Brunswick,2018,310.9
New Brunswick,2019,227.7
New Brunswick,2020,1388.4
New Brunswick,2021,380.1
New Brunswick,2022,175.9
New Brunswick,2023,853.8
New Brunswick,2024,292.8
New Brunswick,2025,3413.2
Newfoundland and Labrador,1959,14467.0
Newfoundland and Labrador,1960,12156.0
Newfoundland and Labrador,1961,403713.0
Newfoundland and Labrador,1962,202.0
Newfoundland and Labrador,1963,1813.0
Newfoundland and Labrador,1964,1153.0
Newfoundland and Labrador,1965,259.0
Newfoundland and Labrador,1966,485.0
Newfoundland and Labrador,1967,2914.0
Newfoundland and Labrador,1968,7524.0
Newfoundland and Labrador,1969,7472.0
Newfoundland and Labrador,1970,4792.0
Newfoundland and Labrador,1971,1464.0
Newfoundland and Labrador,1972,44622.0
Newfoundland and Labrador,1973,8531.0
Newfoundland and Labrador,1974,51460.0
Newfoundland and Labrador,1975,173652.0
Newfoundland and Labrador,1976,177049.0
Newfoundland and Labrador,1977,1268.0
Newfoundland and Labrador,1978,4474.0
Newfoundland and Labrador,1979,31897.0
Newfoundland and Labrador,1980,752.0
Newfoundland and Labrador,1981,8930.0
Newfoundland and Labrador,1982,2973.0
Newfoundland and Labrador,1983,13720.0
Newfoundland and Labrador,1984,7407.0
Newfoundland and Labrador,1985,104937.3
Newfoundland and Labrador,1986,103200.5
Newfoundland and Labrador,1987,11903.9
Newfoundland and Labrador,1988,1647.2
Newfoundland and Labrador,1989,54202.6
Newfoundland and Labrador,1990,24602.3
Newfoundland and Labrador,1991,56390.0
Newfoundland and Labrador,1992,1809.7
Newfoundland and Labrador,1993,28480.4
Newfoundland and Labrador,1994,110274.2
Newfoundland and Labrador,1995,701.1
Newfoundland and Labrador,1996,81310.4
Newfoundland and Labrador,1997,8544.7
Newfoundland and Labrador,1998,40161.2
Newfoundland and Labrador,1999,39040.2
Newfoundland and Labrador,2000,103536.167
Newfoundland and Labrador,2001,965.588
Newfoundland and Labrador,2002,14784.646
Newfoundland and Labrador,2003,27711.13
Newfoundland and Labrador,2004,2156.086
Newfoundland and Labrador,2005,18248.519
Newfoundland and Labrador,2006,3465.568
Newfoundland and Labrador,2007,11350.923
Newfoundland and Labrador,2008,100.0
Newfoundland and Labrador,2009,16656.193
Newfoundland and Labrador,2010,995.249
Newfoundland and Labrador,2011,425.61487
Newfoundland and Labrador,2012,29282.68559
Newfoundland and Labrador,2013,30143.596
Newfoundland and Labrador,2014,8832.0
Newfoundland and Labrador,2015,3589.8
Newfoundland and Labrador,2016,10603.3
Newfoundland and Labrador,2017,699.8
Newfoundland and Labrador,2018,395.5
Newfoundland and Labrador,2019,316.0
Newfoundland and Labrador,2020,4177.6
Newfoundland and Labrador,2021,341.0
Newfoundland and Labrador,2022,15012.5
Newfoundland and Labrador,2023,16401.9
Newfoundland and Labrador,2024,68079.9
Newfoundland and Labrador,2025,18480.9
Northwest Territories,1959,40328.0
Northwest Territories,1960,42525.0
Northwest Territories,1961,290777.2
Northwest Territories,1962,22197.2
Northwest Territories,1963,5784.0
Northwest Territories,1964,171566.2
Northwest Territories,1965,2094.13
Northwest Territories,1966,208217.09
Northwest Territories,1967,37665.55
Northwest Territories,1968,229608.84
Northwest Territories,1969,492656.82
Northwest Territories,1970,207618.39
Northwest Territories,1971,678151.04
Northwest Territories,1972,224566.64
Northwest Territories,1973,339639.87
Northwest Territories,1974,16738.27
Northwest Territories,1975,559355.81
Northwest Territories,1976,636462.49
Northwest Territories,1977,284432.8
Northwest Territories,1978,78714.21
Northwest Territories,1979,1798409.52
Northwest Territories,1980,1169672.02
Northwest Territories,1981,984512.5
Northwest Territories,1982,305297.62
Northwest Territories,1983,232409.84
Northwest Territories,1984,40042.5
Northwest Territories,1985,194989.9
Northwest Territories,1986,321608.1
Northwest Territories,1987,399089.9
