country_code,country_name,year,land_area
MDV,Maldives,2023,298.0
KNA,St. Kitts and Nevis,2023,260.0
CYM,Cayman Islands,2023,240.0
ASM,American Samoa,2023,200.0
CHI,Channel Islands,2021,198.0
ABW,Aruba,2023,180.0
MHL,Marshall Islands,2023,180.0
LIE,Liechtenstein,2023,160.0
VGB,British Virgin Islands,2023,150.0
SMR,San Marino,2023,60.0
BMU,Bermuda,2023,54.0
MAF,St. Martin (French part),2023,50.0
SXM,Sint Maarten (Dutch part),2023,34.0
MAC,"Macao SAR, China",2023,33.0
TUV,Tuvalu,2023,30.0
NRU,Naoero,2023,20.0
GIB,Gibraltar,2023,10.0
MCO,Monaco,2023,2.084
