date,personnel_type,count
1999-06-30,Experts and staff officers,12.0
1999-06-30,Police,54.0
1999-06-30,Troops,345.0
1999-07-31,Experts and staff officers,17.0
1999-07-31,Police,56.0
1999-07-31,Troops,349.0
1999-08-31,Experts and staff officers,16.0
1999-08-31,Police,93.0
1999-08-31,Troops,259.0
1999-09-30,Experts and staff officers,19.0
1999-09-30,Police,109.0
1999-09-30,Troops,248.0
1999-10-31,Experts and staff officers,19.0
1999-10-31,Police,109.0
1999-10-31,Troops,216.0
1999-11-30,Experts and staff officers,19.0
1999-11-30,Police,109.0
1999-11-30,Troops,216.0
1999-12-31,Experts and staff officers,23.0
1999-12-31,Police,138.0
1999-12-31,Troops,193.0
2000-01-31,Experts and staff officers,26.0
2000-01-31,Police,138.0
2000-01-31,Troops,192.0
2000-02-28,Experts and staff officers,25.0
2000-02-28,Police,148.0
2000-02-28,Troops,356.0
2000-03-31,Experts and staff officers,26.0
2000-03-31,Police,126.0
2000-03-31,Troops,189.0
2000-04-30,Experts and staff officers,26.0
2000-04-30,Police,126.0
2000-04-30,Troops,195.0
2000-05-31,Experts and staff officers,26.0
2000-05-31,Police,118.0
2000-05-31,Troops,187.0
2000-06-30,Experts and staff officers,27.0
2000-06-30,Police,129.0
2000-06-30,Troops,196.0
2000-07-31,Experts and staff officers,27.0
2000-07-31,Police,131.0
2000-07-31,Troops,191.0
2000-08-31,Experts and staff officers,29.0
2000-08-31,Police,115.0
2000-08-31,Troops,196.0
2000-09-30,Experts and staff officers,27.0
2000-09-30,Police,116.0
2000-09-30,Troops,189.0
2000-10-31,Experts and staff officers,27.0
2000-10-31,Police,114.0
2000-10-31,Troops,189.0
2000-11-30,Experts and staff officers,33.0
2000-11-30,Police,123.0
2000-11-30,Troops,245.0
2000-12-31,Experts and staff officers,31.0
2000-12-31,Police,112.0
2000-12-31,Troops,425.0
2001-01-31,Experts and staff officers,30.0
2001-01-31,Police,105.0
2001-01-31,Troops,436.0
2001-02-28,Experts and staff officers,30.0
2001-02-28,Police,105.0
2001-02-28,Troops,436.0
2001-03-31,Experts and staff officers,31.0
2001-03-31,Police,96.0
2001-03-31,Troops,429.0
2001-04-30,Experts and staff officers,31.0
2001-04-30,Police,94.0
2001-04-30,Troops,431.0
2001-05-31,Experts and staff officers,30.0
2001-05-31,Police,102.0
2001-05-31,Troops,417.0
2001-06-30,Experts and staff officers,29.0
2001-06-30,Police,101.0
2001-06-30,Troops,198.0
2001-07-31,Experts and staff officers,28.0
2001-07-31,Police,99.0
2001-07-31,Troops,196.0
2001-08-31,Experts and staff officers,27.0
2001-08-31,Police,99.0
2001-08-31,Troops,202.0
2001-09-30,Experts and staff officers,24.0
2001-09-30,Police,100.0
2001-09-30,Troops,193.0
2001-10-31,Experts and staff officers,24.0
2001-10-31,Police,93.0
2001-10-31,Troops,193.0
2001-11-30,Experts and staff officers,23.0
2001-11-30,Police,86.0
2001-11-30,Troops,205.0
2001-12-31,Experts and staff officers,19.0
2001-12-31,Police,85.0
2001-12-31,Troops,191.0
2002-01-31,Experts and staff officers,20.0
2002-01-31,Police,95.0
2002-01-31,Troops,190.0
2002-02-28,Experts and staff officers,20.0
2002-02-28,Police,78.0
2002-02-28,Troops,197.0
2002-03-31,Experts and staff officers,21.0
2002-03-31,Police,66.0
2002-03-31,Troops,197.0
2002-04-30,Experts and staff officers,19.0
2002-04-30,Police,68.0
2002-04-30,Troops,194.0
2002-05-31,Experts and staff officers,18.0
2002-05-31,Police,48.0
2002-05-31,Troops,196.0
2002-06-30,Experts and staff officers,18.0
2002-06-30,Police,47.0
2002-06-30,Troops,202.0
2002-07-31,Experts and staff officers,18.0
2002-07-31,Police,49.0
2002-07-31,Troops,200.0
2002-08-30,Experts and staff officers,18.0
2002-08-30,Police,49.0
2002-08-30,Troops,208.0
2002-09-30,Experts and staff officers,18.0
2002-09-30,Police,49.0
2002-09-30,Troops,199.0
2002-10-31,Experts and staff officers,18.0
2002-10-31,Police,43.0
2002-10-31,Troops,198.0
2002-11-30,Experts and staff officers,19.0
2002-11-30,Police,43.0
2002-11-30,Troops,198.0
2002-12-31,Experts and staff officers,20.0
2002-12-31,Police,45.0
2002-12-31,Troops,198.0
2003-01-31,Experts and staff officers,20.0
2003-01-31,Police,44.0
2003-01-31,Troops,198.0
2003-02-28,Experts and staff officers,19.0
2003-02-28,Police,44.0
2003-02-28,Troops,199.0
2003-03-30,Experts and staff officers,20.0
2003-03-30,Police,49.0
2003-03-30,Troops,199.0
2003-04-30,Experts and staff officers,20.0
2003-04-30,Police,43.0
2003-04-30,Troops,199.0
2003-05-31,Experts and staff officers,20.0
2003-05-31,Police,43.0
2003-05-31,Troops,199.0
2003-06-30,Experts and staff officers,14.0
2003-06-30,Police,42.0
2003-06-30,Troops,199.0
2003-07-31,Experts and staff officers,14.0
2003-07-31,Police,38.0
2003-07-31,Troops,198.0
2003-08-31,Experts and staff officers,14.0
2003-08-31,Police,26.0
2003-08-31,Troops,197.0
2003-09-30,Experts and staff officers,14.0
2003-09-30,Police,28.0
2003-09-30,Troops,197.0
2003-10-31,Experts and staff officers,14.0
2003-10-31,Police,28.0
2003-10-31,Troops,197.0
2003-11-30,Experts and staff officers,14.0
2003-11-30,Police,27.0
2003-11-30,Troops,198.0
2003-12-31,Experts and staff officers,14.0
2003-12-31,Police,27.0
2003-12-31,Troops,192.0
2004-01-31,Experts and staff officers,14.0
2004-01-31,Police,24.0
2004-01-31,Troops,193.0
2004-02-28,Experts and staff officers,14.0
2004-02-28,Police,27.0
2004-02-28,Troops,204.0
2004-03-31,Experts and staff officers,14.0
2004-03-31,Police,17.0
2004-03-31,Troops,204.0
2004-04-30,Experts and staff officers,14.0
2004-04-30,Police,18.0
2004-04-30,Troops,195.0
2004-05-31,Experts and staff officers,6.0
2004-05-31,Police,19.0
2004-05-31,Troops,205.0
2004-06-30,Experts and staff officers,14.0
2004-06-30,Police,18.0
2004-06-30,Troops,694.0
2004-07-31,Experts and staff officers,15.0
2004-07-31,Police,45.0
2004-07-31,Troops,504.0
2004-08-31,Experts and staff officers,15.0
2004-08-31,Police,45.0
2004-08-31,Troops,205.0
2004-09-30,Experts and staff officers,15.0
2004-09-30,Police,73.0
2004-09-30,Troops,196.0
2004-10-31,Experts and staff officers,15.0
2004-10-31,Police,113.0
2004-10-31,Troops,195.0
2004-11-30,Experts and staff officers,14.0
2004-11-30,Police,109.0
2004-11-30,Troops,207.0
2004-12-31,Experts and staff officers,12.0
2004-12-31,Police,106.0
2004-12-31,Troops,196.0
2005-01-31,Experts and staff officers,12.0
2005-01-31,Police,106.0
2005-01-31,Troops,196.0
2005-02-28,Experts and staff officers,13.0
2005-02-28,Police,109.0
2005-02-28,Troops,205.0
2005-03-31,Experts and staff officers,13.0
2005-03-31,Police,109.0
2005-03-31,Troops,205.0
2005-04-30,Experts and staff officers,11.0
2005-04-30,Police,109.0
2005-04-30,Troops,200.0
2005-05-31,Experts and staff officers,12.0
2005-05-31,Police,108.0
2005-05-31,Troops,202.0
2005-06-30,Experts and staff officers,10.0
2005-06-30,Police,108.0
2005-06-30,Troops,207.0
2005-07-31,Experts and staff officers,0.0
2005-07-31,Police,91.0
2005-07-31,Troops,208.0
2005-08-31,Experts and staff officers,0.0
2005-08-31,Police,91.0
2005-08-31,Troops,213.0
2005-09-30,Experts and staff officers,5.0
2005-09-30,Police,112.0
2005-09-30,Troops,207.0
2005-10-31,Experts and staff officers,31.0
2005-10-31,Police,132.0
2005-10-31,Troops,198.0
2005-11-30,Experts and staff officers,28.0
2005-11-30,Police,134.0
2005-11-30,Troops,212.0
2005-12-31,Experts and staff officers,40.0
2005-12-31,Police,136.0
2005-12-31,Troops,211.0
2006-01-31,Experts and staff officers,43.0
2006-01-31,Police,129.0
2006-01-31,Troops,198.0
2006-02-28,Experts and staff officers,43.0
2006-02-28,Police,111.0
2006-02-28,Troops,198.0
2006-03-31,Experts and staff officers,41.0
2006-03-31,Police,110.0
2006-03-31,Troops,18.0
2006-04-30,Experts and staff officers,38.0
2006-04-30,Police,101.0
2006-04-30,Troops,19.0
2006-05-31,Experts and staff officers,34.0
2006-05-31,Police,76.0
2006-05-31,Troops,17.0
2006-06-30,Experts and staff officers,40.0
2006-06-30,Police,78.0
2006-06-30,Troops,15.0
2006-07-31,Experts and staff officers,35.0
2006-07-31,Police,77.0
2006-07-31,Troops,20.0
2006-08-31,Experts and staff officers,42.0
2006-08-31,Police,70.0
2006-08-31,Troops,14.0
2006-09-30,Experts and staff officers,42.0
2006-09-30,Police,69.0
2006-09-30,Troops,13.0
2006-10-31,Experts and staff officers,41.0
2006-10-31,Police,70.0
2006-10-31,Troops,13.0
2006-11-30,Experts and staff officers,41.0
2006-11-30,Police,84.0
2006-11-30,Troops,17.0
2006-12-31,Experts and staff officers,32.0
2006-12-31,Police,85.0
2006-12-31,Troops,15.0
2007-01-31,Experts and staff officers,41.0
2007-01-31,Police,85.0
2007-01-31,Troops,15.0
2007-02-28,Experts and staff officers,41.0
2007-02-28,Police,86.0
2007-02-28,Troops,14.0
2007-03-31,Experts and staff officers,40.0
2007-03-31,Police,85.0
2007-03-31,Troops,14.0
2007-04-30,Experts and staff officers,41.0
2007-04-30,Police,74.0
2007-04-30,Troops,14.0
2007-05-31,Experts and staff officers,40.0
2007-05-31,Police,76.0
2007-05-31,Troops,15.0
2007-06-30,Experts and staff officers,40.0
2007-06-30,Police,77.0
2007-06-30,Troops,15.0
2007-07-31,Experts and staff officers,40.0
2007-07-31,Police,70.0
2007-07-31,Troops,15.0
2007-08-31,Experts and staff officers,38.0
2007-08-31,Police,74.0
2007-08-31,Troops,16.0
2007-09-30,Experts and staff officers,40.0
2007-09-30,Police,75.0
2007-09-30,Troops,16.0
2007-10-31,Experts and staff officers,41.0
2007-10-31,Police,101.0
2007-10-31,Troops,15.0
2007-11-30,Experts and staff officers,42.0
2007-11-30,Police,107.0
2007-11-30,Troops,15.0
2007-12-31,Experts and staff officers,42.0
2007-12-31,Police,92.0
2007-12-31,Troops,15.0
2008-01-31,Experts and staff officers,39.0
2008-01-31,Police,109.0
2008-01-31,Troops,20.0
2008-02-28,Experts and staff officers,42.0
2008-02-28,Police,107.0
2008-02-28,Troops,22.0
2008-03-31,Experts and staff officers,43.0
2008-03-31,Police,104.0
2008-03-31,Troops,22.0
2008-04-30,Experts and staff officers,43.0
2008-04-30,Police,107.0
2008-04-30,Troops,21.0
2008-05-31,Experts and staff officers,42.0
2008-05-31,Police,108.0
2008-05-31,Troops,18.0
2008-06-30,Experts and staff officers,43.0
2008-06-30,Police,106.0
2008-06-30,Troops,19.0
2008-07-31,Experts and staff officers,39.0
2008-07-31,Police,112.0
2008-07-31,Troops,16.0
2008-08-31,Experts and staff officers,43.0
2008-08-31,Police,105.0
2008-08-31,Troops,20.0
2008-09-30,Experts and staff officers,43.0
2008-09-30,Police,96.0
2008-09-30,Troops,21.0
2008-10-31,Experts and staff officers,41.0
2008-10-31,Police,115.0
2008-10-31,Troops,21.0
2008-11-30,Experts and staff officers,44.0
2008-11-30,Police,112.0
2008-11-30,Troops,19.0
2008-12-31,Experts and staff officers,43.0
2008-12-31,Police,112.0
2008-12-31,Troops,24.0
2009-01-31,Experts and staff officers,42.0
