country_code,country_name,year,defence_pct_gdp
DNK,Denmark,1956,3.0262860098936275
DNK,Denmark,1957,3.0787952540310317
DNK,Denmark,1958,2.877111240535818
DNK,Denmark,1959,2.5890137590589224
DNK,Denmark,1960,2.728877556024126
DNK,Denmark,1961,2.5868116450368293
DNK,Denmark,1962,3.018273104092475
DNK,Denmark,1963,3.041523893740098
DNK,Denmark,1964,2.8429144708214475
DNK,Denmark,1965,2.832137733142037
DNK,Denmark,1966,2.6367496989288206
DNK,Denmark,1967,2.588210923654107
DNK,Denmark,1968,2.6759341499184104
DNK,Denmark,1969,2.391607631402533
DNK,Denmark,1970,2.42911996594156
DNK,Denmark,1971,2.3622221893622375
DNK,Denmark,1972,2.179973345866356
DNK,Denmark,1973,1.9758075832842188
DNK,Denmark,1974,2.2348439315622874
DNK,Denmark,1975,2.397249542261876
DNK,Denmark,1976,2.204203184792001
DNK,Denmark,1977,2.216303128592116
DNK,Denmark,1978,2.2718211945281936
DNK,Denmark,1979,2.251527372359808
DNK,Denmark,1980,2.3630925227055943
DNK,Denmark,1981,2.438666392047405
DNK,Denmark,1982,2.4198950252068077
DNK,Denmark,1983,2.3647428760569316
DNK,Denmark,1984,2.2354707255297783
DNK,Denmark,1985,2.10467210710106
DNK,Denmark,1986,1.9448192366879873
DNK,Denmark,1987,2.0316474834313993
DNK,Denmark,1988,2.0874706324153984
DNK,Denmark,1989,2.0242201369515596
DNK,Denmark,1990,1.9507570350491528
DNK,Denmark,1991,1.919758739467743
DNK,Denmark,1992,1.85515102127163
DNK,Denmark,1993,1.874085190612736
DNK,Denmark,1994,1.742600262321952
DNK,Denmark,1995,1.686759573695562
DNK,Denmark,1996,1.6461435449497037
DNK,Denmark,1997,1.618724307853553
DNK,Denmark,1998,1.6090711810963239
DNK,Denmark,1999,1.565536515729875
DNK,Denmark,2000,1.4584656168397518
DNK,Denmark,2001,1.5315426212775274
DNK,Denmark,2002,1.5068588204948483
DNK,Denmark,2003,1.464667328605025
DNK,Denmark,2004,1.420240154495792
DNK,Denmark,2005,1.308111467581758
DNK,Denmark,2006,1.3750557467822375
DNK,Denmark,2007,1.3040228017465307
DNK,Denmark,2008,1.3488268123756806
DNK,Denmark,2009,1.3444122547367756
DNK,Denmark,2010,1.3971018103695232
DNK,Denmark,2011,1.3123392890177967
