country_code,country_name,period,year,rate_pct,source
FIN,Finland,2025–2027,2025,0.386,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
DEU,Germany,2024,2024,6.111,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
DEU,Germany,2025–2027,2025,5.692,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
ISR,Israel,2024,2024,0.561,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
ISR,Israel,2025–2027,2025,0.609,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
ITA,Italy,2024,2024,3.189,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
ITA,Italy,2025–2027,2025,2.813,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
JPN,Japan,2024,2024,8.033,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
JPN,Japan,2025–2027,2025,6.93,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
NLD,Netherlands,2024,2024,1.377,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
NLD,Netherlands,2025–2027,2025,1.298,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
