year,category,low,high,peak_month,missions,source
1964,UN-led,2244,2473,1964-06,"UNFICYP 1,122–1,146; UNEF I 804–940; ONUC 100–300; UNYOM 28–50; UNTSO 20; UNMOGIP 17",https://digitallibrary.un.org/record/608889 | https://digitallibrary.un.org/record/539124 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/rapid-step.html | https://undocs.org/A/5494 | https://undocs.org/A/6406 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/africa/operation-des-nations-unies-congo.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/united-nations-yemen-observation-mission.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1965,Other non-UN,45,93,1965-01,ICSC Vietnam 20–68; ICSC Laos 19; ICSC Cambodia 6,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-laos.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-cambodia.html
1965,UN-led,1926,2214,1965-09,"UNFICYP 994–1,146; UNEF I 804–940; UNIPOM 90; UNTSO 20; UNMOGIP 17; DOMREP 1",https://digitallibrary.un.org/record/539124 | https://digitallibrary.un.org/record/531060 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/rapid-step.html | https://undocs.org/A/5494 | https://undocs.org/A/6406 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-india-pakistan-observer-mission-unipom.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/caribbean/mission-representative-secretary-general-dominican-republic.html
1966,Other non-UN,45,93,1966-01,ICSC Vietnam 20–68; ICSC Laos 19; ICSC Cambodia 6,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-laos.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-cambodia.html
1966,UN-led,1801,2051,1966-01,UNFICYP 880–994; UNEF I 804–940; UNIPOM 79; UNTSO 20; UNMOGIP 17; DOMREP 1,https://digitallibrary.un.org/record/531060 | https://digitallibrary.un.org/record/521179 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/rapid-step.html | https://undocs.org/A/5494 | https://undocs.org/A/6406 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-india-pakistan-observer-mission-unipom.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/caribbean/mission-representative-secretary-general-dominican-republic.html
1967,Other non-UN,45,93,1967-01,ICSC Vietnam 20–68; ICSC Laos 19; ICSC Cambodia 6,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-laos.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-cambodia.html
1967,UN-led,1712,1835,1967-01,UNFICYP 880–994; UNEF I 795–804; UNTSO 20; UNMOGIP 17,https://digitallibrary.un.org/record/531060 | https://digitallibrary.un.org/record/521179 | https://undocs.org/A/6406 | https://undocs.org/A/6672 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/rapid-step.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1968,Other non-UN,45,93,1968-01,ICSC Vietnam 20–68; ICSC Laos 19; ICSC Cambodia 6,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-laos.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-cambodia.html
1968,UN-led,917,922,1968-01,UNFICYP 880–885; UNTSO 20; UNMOGIP 17,https://digitallibrary.un.org/record/521179 | https://digitallibrary.un.org/record/519122 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1969,Other non-UN,45,93,1969-01,ICSC Vietnam 20–68; ICSC Laos 19; ICSC Cambodia 6,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-laos.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-cambodia.html
1969,UN-led,611,922,1969-01,UNFICYP 574–885; UNTSO 20; UNMOGIP 17,https://digitallibrary.un.org/record/519122 | https://digitallibrary.un.org/record/508826 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1970,Other non-UN,22,22,1970-01,ICSC Vietnam 20; ICSC Laos 2,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-laos.html
1970,UN-led,611,618,1970-01,UNFICYP 574–581; UNTSO 20; UNMOGIP 17,https://digitallibrary.un.org/record/508826 | https://digitallibrary.un.org/record/490953 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1971,Other non-UN,22,22,1971-01,ICSC Vietnam 20; ICSC Laos 2,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-laos.html
1971,UN-led,611,618,1971-01,UNFICYP 574–581; UNTSO 20; UNMOGIP 17,https://digitallibrary.un.org/record/508826 | https://digitallibrary.un.org/record/490953 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1972,Other non-UN,22,22,1972-01,ICSC Vietnam 20; ICSC Laos 2,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-laos.html
1972,UN-led,517,618,1972-01,UNFICYP 480–581; UNTSO 20; UNMOGIP 17,https://digitallibrary.un.org/record/490953 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1973,Other non-UN,222,312,1973-01,ICCS 200–290; ICSC Vietnam 20; ICSC Laos 2,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/westploy.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-laos.html
