city,season,year,temp,temp_max
Calgary,Autumn,1951,2.6,7.4
Calgary,Autumn,1952,6.6,13.2
Calgary,Autumn,1953,7.1,13.7
Calgary,Autumn,1954,6.4,12.6
Calgary,Autumn,1955,0.7,6.6
Calgary,Autumn,1956,5.3,11.6
Calgary,Autumn,1957,4.4,9.8
Calgary,Autumn,1958,5.2,11.6
Calgary,Autumn,1959,3.1,8.3
Calgary,Autumn,1960,5.3,11.6
Calgary,Autumn,1961,3.6,9.4
Calgary,Autumn,1962,7.3,13.8
Calgary,Autumn,1963,7.1,13.8
Calgary,Autumn,1964,4.7,10.2
Calgary,Autumn,1965,3.3,8.9
Calgary,Autumn,1966,4.0,10.4
Calgary,Autumn,1967,7.1,14.2
Calgary,Autumn,1968,5.2,11.2
Calgary,Autumn,1969,5.3,11.5
Calgary,Autumn,1970,3.1,9.6
Calgary,Autumn,1971,4.4,10.2
Calgary,Autumn,1972,3.3,8.6
Calgary,Autumn,1973,1.8,7.5
Calgary,Autumn,1974,5.9,12.8
Calgary,Autumn,1975,4.8,11.6
Calgary,Autumn,1976,6.1,12.6
Calgary,Autumn,1977,3.6,9.3
Calgary,Autumn,1978,4.7,10.5
Calgary,Autumn,1979,6.7,13.4
Calgary,Autumn,1980,7.0,13.4
Calgary,Autumn,1981,6.7,13.1
Calgary,Autumn,1982,4.4,10.8
Calgary,Autumn,1983,4.8,11.3
Calgary,Autumn,1984,1.7,7.1
Calgary,Autumn,1985,0.0,5.2
Calgary,Autumn,1986,3.6,9.0
Calgary,Autumn,1987,7.8,14.8
Calgary,Autumn,1988,6.0,12.3
Calgary,Autumn,1989,5.8,11.8
Calgary,Autumn,1990,5.1,11.3
Calgary,Autumn,1991,4.1,10.4
Calgary,Autumn,1992,4.7,10.1
Calgary,Autumn,1993,5.0,11.2
Calgary,Autumn,1994,5.1,11.4
Calgary,Autumn,1995,4.0,10.1
Calgary,Autumn,1996,1.5,6.7
Calgary,Autumn,1997,5.7,12.3
Calgary,Autumn,1998,5.9,12.0
Calgary,Autumn,1999,6.1,12.9
Calgary,Autumn,2000,4.5,11.2
Calgary,Autumn,2001,5.9,12.6
Calgary,Autumn,2002,5.3,10.9
Calgary,Autumn,2003,4.5,10.9
Calgary,Autumn,2004,5.5,11.2
Calgary,Autumn,2005,5.6,11.6
Calgary,Autumn,2006,3.5,9.2
Calgary,Autumn,2007,5.3,11.8
Calgary,Autumn,2008,6.9,13.0
Calgary,Autumn,2009,6.4,12.5
Calgary,Autumn,2010,4.4,9.9
Calgary,Autumn,2011,6.3,12.4
Calgary,Autumn,2012,4.7,10.2
Calgary,Autumn,2013,5.8,11.6
Calgary,Autumn,2014,5.2,10.8
Calgary,Autumn,2015,6.2,11.8
Calgary,Autumn,2016,5.5,11.3
Calgary,Autumn,2017,4.6,10.8
Calgary,Autumn,2018,3.7,9.3
Calgary,Autumn,2019,3.5,9.0
Calgary,Autumn,2020,5.0,10.9
Calgary,Spring,1885,5.6,12.9
Calgary,Spring,1886,4.1,11.0
Calgary,Spring,1887,3.5,10.0
Calgary,Spring,1888,0.7,6.2
Calgary,Spring,1889,6.1,13.4
Calgary,Spring,1890,2.2,8.4
Calgary,Spring,1891,4.3,11.7
Calgary,Spring,1892,3.2,10.0
Calgary,Spring,1893,1.5,7.1
Calgary,Spring,1894,4.0,10.4
Calgary,Spring,1895,4.4,10.7
Calgary,Spring,1896,0.9,6.4
Calgary,Spring,1897,3.1,10.0
Calgary,Spring,1898,1.4,7.6
Calgary,Spring,1899,-1.7,4.6
Calgary,Spring,1900,5.0,11.7
Calgary,Spring,1901,4.6,10.8
Calgary,Spring,1902,3.3,9.5
Calgary,Spring,1903,0.3,6.5
Calgary,Spring,1904,1.5,7.7
Calgary,Spring,1905,4.9,11.5
Calgary,Spring,1906,3.8,10.7
Calgary,Spring,1907,0.7,6.3
Calgary,Spring,1908,3.1,9.2
Calgary,Spring,1909,2.4,7.9
Calgary,Spring,1910,7.4,14.5
Calgary,Spring,1911,3.9,9.5
Calgary,Spring,1912,3.1,9.3
Calgary,Spring,1913,3.1,8.6
Calgary,Spring,1914,4.4,10.3
Calgary,Spring,1915,5.6,11.2
Calgary,Spring,1916,3.4,9.2
Calgary,Spring,1917,1.8,7.4
Calgary,Spring,1918,3.6,10.1
Calgary,Spring,1919,2.6,8.6
Calgary,Spring,1920,-0.1,4.6
Calgary,Spring,1921,2.2,8.5
Calgary,Spring,1922,2.6,9.0
Calgary,Spring,1923,3.1,9.4
Calgary,Spring,1924,3.9,10.5
Calgary,Spring,1925,4.6,11.3
Calgary,Spring,1926,5.8,12.4
Calgary,Spring,1927,2.1,8.5
Calgary,Spring,1928,4.5,11.0
Calgary,Spring,1929,3.7,9.8
Calgary,Spring,1930,4.0,9.9
Calgary,Spring,1931,4.1,10.6
Calgary,Spring,1932,2.3,7.0
Calgary,Spring,1933,2.8,8.3
Calgary,Spring,1934,6.3,12.7
Calgary,Spring,1935,0.7,6.1
Calgary,Spring,1936,4.3,10.2
Calgary,Spring,1937,4.2,9.7
Calgary,Spring,1938,4.5,9.9
Calgary,Spring,1939,3.9,10.6
Calgary,Spring,1940,3.6,8.6
Calgary,Spring,1941,4.9,11.6
Calgary,Spring,1942,4.4,10.4
Calgary,Spring,1943,2.6,8.6
Calgary,Spring,1944,4.4,10.8
Calgary,Spring,1945,2.5,8.2
Calgary,Spring,1946,5.9,12.4
Calgary,Spring,1947,3.4,9.3
Calgary,Spring,1948,0.2,5.0
Calgary,Spring,1949,5.5,11.8
