country_code,country_name,year,source,generation_twh,share_pct,capacity_gw
AUS,Australia,2015,Bioenergy,3.68,1.4488759399976376,0.83
AUS,Australia,2015,Coal,162.2,63.86078192054805,27.7
AUS,Australia,2015,Gas,49.71,19.571636678609394,22.57
AUS,Australia,2015,Hydro,14.09,5.547462498523563,7.46
AUS,Australia,2015,Other fossil,6.28,2.472538288909012,3.41
AUS,Australia,2015,Solar,6.2,2.4410409858655853,5.04
AUS,Australia,2015,Wind,11.83,4.657663687546753,4.32
AUS,Australia,2016,Bioenergy,3.63,1.4057235797544823,0.86
AUS,Australia,2016,Coal,162.36,62.87418193083685,26.94
AUS,Australia,2016,Gas,48.11,18.630678077682685,22.5
AUS,Australia,2016,Hydro,17.63,6.827247027843394,7.46
AUS,Australia,2016,Other fossil,6.02,2.331255082678232,3.08
AUS,Australia,2016,Solar,7.44,2.881152460984394,5.88
AUS,Australia,2016,Wind,13.04,5.049761840219958,4.68
AUS,Australia,2017,Bioenergy,3.56,1.374676603467583,0.86
AUS,Australia,2017,Coal,159.17,61.46271768930763,25.1
AUS,Australia,2017,Gas,55.09,21.272734293547515,22.13
AUS,Australia,2017,Hydro,13.5,5.212959030003475,7.46
AUS,Australia,2017,Other fossil,5.52,2.1315210256014208,2.49
AUS,Australia,2017,Solar,8.92,3.444414410935629,7.24
AUS,Australia,2017,Wind,13.21,5.100976947136734,5.41
AUS,Australia,2018,Bioenergy,3.59,1.3669420858241632,0.86
AUS,Australia,2018,Coal,156.56,59.61238243917298,25.1
AUS,Australia,2018,Gas,51.46,19.594105776187032,22.85
AUS,Australia,2018,Hydro,17.31,6.591021589308152,7.71
AUS,Australia,2018,Other fossil,5.12,1.9495107185013139,2.44
AUS,Australia,2018,Solar,12.33,4.694817804515859,11.13
AUS,Australia,2018,Wind,16.26,6.191219586490501,6.41
AUS,Australia,2019,Bioenergy,3.47,1.3050018804061678,0.86
AUS,Australia,2019,Coal,149.84,56.352012034599475,25.1
AUS,Australia,2019,Gas,55.71,20.95148552087251,22.72
AUS,Australia,2019,Hydro,14.02,5.272658894321173,7.71
AUS,Australia,2019,Other fossil,5.09,1.9142534787514105,2.4
AUS,Australia,2019,Solar,18.3,6.882286573899964,15.45
AUS,Australia,2019,Wind,19.47,7.3223016171493045,7.88
AUS,Australia,2020,Bioenergy,3.41,1.2860644917970963,0.87
AUS,Australia,2020,Coal,142.93,53.90533660192345,25.1
AUS,Australia,2020,Gas,53.05,20.007542900245145,24.06
AUS,Australia,2020,Hydro,14.42,5.43843107674901,7.71
AUS,Australia,2020,Other fossil,4.89,1.844239109937771,2.31
AUS,Australia,2020,Solar,23.84,8.991137092211957,19.77
AUS,Australia,2020,Wind,22.61,8.527248727135584,10.21
AUS,Australia,2021,Bioenergy,3.34,1.24883155730043,0.87
AUS,Australia,2021,Coal,137.4,51.37408861469434,25.1
AUS,Australia,2021,Gas,47.63,17.80893624976631,24.33
AUS,Australia,2021,Hydro,15.94,5.959992521966723,7.71
AUS,Australia,2021,Other fossil,5.15,1.9255935688913817,2.43
AUS,Australia,2021,Solar,31.19,11.661992895868387,24.4
AUS,Australia,2021,Wind,26.8,10.020564591512434,10.56
AUS,Australia,2022,Bioenergy,3.19,1.1688406859152864,0.87
AUS,Australia,2022,Coal,129.21,47.34354389564708,24.4
AUS,Australia,2022,Gas,50.82,18.620841272167667,25.01
AUS,Australia,2022,Hydro,16.66,6.104352923933753,7.71
AUS,Australia,2022,Other fossil,5.45,1.9969221749963357,2.4
AUS,Australia,2022,Solar,37.54,13.754946504470173,28.89
AUS,Australia,2022,Wind,30.05,11.010552542869705,11.97
