country_code,country_name,year,coal_share_energy,oil_share_energy,gas_share_energy,nuclear_share_energy,renewables_share_energy,hydro_share_energy,solar_share_energy,wind_share_energy,biofuel_share_energy,low_carbon_share_energy,fossil_share_energy,coal_share_elec,oil_share_elec,gas_share_elec,nuclear_share_elec,renewables_share_elec,hydro_share_elec,low_carbon_share_elec,fossil_share_elec,primary_energy_consumption
NOR,Norway,2010,1.85477352142334,25.07140350341797,8.444348335266113,0.0,64.62947845458984,63.63373947143555,0.0044152624905109,0.4791377186775207,0.283895343542099,64.62947845458984,35.37052536010742,0.0324833504855632,0.2761085033416748,3.89800238609314,0.0,95.79340362548828,94.80266571044922,95.79340362548828,4.206593990325928,497.9322204589844
NOR,Norway,2011,2.033387422561645,24.021076202392575,8.32160472869873,0.0,65.62393188476562,64.43499755859375,0.0045535592362284,0.6873195767402649,0.2779943346977234,65.62393188476562,34.376068115234375,0.0317636765539646,0.2144048362970352,2.9460811614990234,0.0,96.80775451660156,95.5133819580078,96.80775451660156,3.1922495365142822,504.03802490234375
NOR,Norway,2012,1.7731589078903198,21.604799270629883,7.419753551483154,0.0,69.20228576660156,67.97789764404297,0.0042688837274909,0.742497980594635,0.2880324721336365,69.20228576660156,30.79771041870117,0.0273635257035493,0.2120673209428787,1.5323574542999268,0.0,98.22821044921876,96.948974609375,98.22821044921876,1.771788239479065,560.9417724609375
NOR,Norway,2013,1.8005820512771606,23.44818878173828,7.877795696258545,0.0,66.8734359741211,65.36318969726562,0.004998980090022,0.9594981074333192,0.298928827047348,66.8734359741211,33.12656784057617,0.0300435628741979,0.4581643640995025,1.554754376411438,0.0,97.95703887939452,96.24455261230467,97.95703887939452,2.0429623126983643,523.2360229492188
NOR,Norway,2014,1.904411792755127,22.00636100769043,8.174964904785156,0.0,67.91426086425781,66.38212585449219,0.0056843240745365,1.0863919258117676,0.2877411246299743,67.91426086425781,32.08573532104492,0.0283929575234651,0.4826802909374237,1.575809121131897,0.0,97.91311645507812,96.15985107421876,97.91311645507812,2.0868823528289795,541.9393310546875
NOR,Norway,2015,1.682708978652954,22.07996940612793,8.561665534973145,0.0,67.6756591796875,65.99652099609375,0.0064409347251057,1.2088770866394043,0.3137090802192688,67.6756591796875,32.324344635009766,0.0279720276594162,0.4825174808502197,1.5384615659713743,0.0,97.95105743408205,96.01398468017578,97.95105743408205,2.0489511489868164,549.2698364257812
NOR,Norway,2016,1.704871654510498,21.10590934753418,8.142997741699219,0.0,69.04621887207031,67.22111511230469,0.0112029695883393,0.9960286617279052,0.6814635992050171,69.04621887207031,30.95377922058105,0.027021549642086,0.4255894124507904,1.4929406642913818,0.0,98.054443359375,96.47368621826172,98.054443359375,1.9455516338348389,557.6338500976562
NOR,Norway,2017,1.772528052330017,20.86699867248535,8.466132164001465,0.0,68.89434051513672,66.31401824951172,0.0186138153076171,1.3293919563293457,1.0815171003341677,68.89434051513672,31.10565948486328,0.0269778091460466,0.4653672277927398,1.3893572092056274,0.0,98.11829376220705,96.02076721191406,98.11829376220705,1.881702184677124,560.1580200195312
NOR,Norway,2018,1.7562034130096436,21.82232093811035,8.289881706237793,0.0,68.131591796875,65.34807586669922,0.0286255776882171,1.8230726718902588,0.8112109303474426,68.131591796875,31.86840438842773,0.0274085234850645,0.4590927958488464,1.4937646389007568,0.0,98.01973724365234,95.2309112548828,98.01973724365234,1.9802658557891848,551.6292114257812
NOR,Norway,2019,1.8336632251739504,22.27648162841797,9.14845085144043,0.0,66.74140167236328,62.665489196777344,0.0525273606181144,2.763413429260254,1.1002113819122314,66.74140167236328,33.25859451293945,0.0298886634409427,0.493162989616394,1.5392662286758425,0.0,97.93768310546876,93.61876678466795,97.93768310546876,2.0623178482055664,515.9449462890625
