city,year,month,temp
Alert,1976,5,-14.1
Alert,1976,6,-2.6
Alert,1976,7,1.9
Alert,1976,8,0.1
Alert,1976,9,-7.8
Alert,1976,10,-21.5
Alert,1976,11,-27.4
Alert,1976,12,-28.5
Alert,1977,1,-24.7
Alert,1977,2,-34.4
Alert,1977,3,-34.7
Alert,1977,4,-22.2
Alert,1977,5,-12.0
Alert,1977,6,-2.5
Alert,1977,7,1.5
Alert,1977,8,-0.6
Alert,1977,9,-9.9
Alert,1977,10,-17.7
Alert,1977,11,-27.7
Alert,1977,12,-30.8
Alert,1978,1,-30.5
Alert,1978,2,-24.8
Alert,1978,3,-31.7
Alert,1978,4,-23.0
Alert,1978,5,-9.7
Alert,1978,6,-2.1
Alert,1978,7,3.6
Alert,1978,8,1.7
Alert,1978,9,-9.7
Alert,1978,10,-24.6
Alert,1978,11,-27.5
Alert,1978,12,-22.2
Alert,1979,1,-30.1
Alert,1979,2,-41.0
Alert,1979,3,-29.8
Alert,1979,4,-23.4
Alert,1979,5,-9.6
Alert,1979,6,-4.0
Alert,1979,7,2.5
Alert,1979,8,-1.2
Alert,1979,9,-9.2
Alert,1979,10,-20.1
Alert,1979,11,-25.5
Alert,1979,12,-30.9
Alert,1980,1,-29.5
Alert,1980,2,-27.2
Alert,1980,3,-29.2
Alert,1980,4,-25.2
Alert,1980,5,-11.1
Alert,1980,6,-2.6
Alert,1980,7,2.3
Alert,1980,8,0.8
Alert,1980,9,-10.7
Alert,1980,10,-13.2
Alert,1980,11,-28.6
Alert,1980,12,-28.5
Alert,1981,1,-26.5
Alert,1981,2,-29.8
Alert,1981,3,-30.5
Alert,1981,4,-22.0
Alert,1981,5,-9.5
Alert,1981,6,-0.3
Alert,1981,7,2.2
Alert,1981,8,1.0
Alert,1981,9,-6.6
Alert,1981,10,-14.9
Alert,1981,11,-21.2
Alert,1981,12,-22.4
Alert,1982,1,-28.2
Alert,1982,2,-32.9
Alert,1982,3,-29.1
Alert,1982,4,-24.9
Alert,1982,5,-11.1
Alert,1982,6,-1.4
Alert,1982,7,2.4
Alert,1982,8,0.7
Alert,1982,9,-9.8
Alert,1982,10,-19.4
Alert,1982,11,-25.5
Alert,1982,12,-29.4
Alert,1983,1,-30.5
Alert,1983,2,-30.0
Alert,1983,3,-28.1
Alert,1983,4,-23.6
Alert,1983,5,-11.4
Alert,1983,6,-0.9
Alert,1983,7,1.3
Alert,1983,8,-0.1
Alert,1983,9,-7.9
Alert,1983,10,-19.1
Alert,1983,11,-25.1
Alert,1983,12,-27.0
Alert,1984,1,-31.3
Alert,1984,2,-33.7
Alert,1984,3,-32.3
Alert,1984,4,-25.4
Alert,1984,5,-10.2
Alert,1984,6,-1.3
Alert,1984,7,3.5
Alert,1984,8,0.0
Alert,1984,9,-8.1
Alert,1984,10,-18.1
Alert,1984,11,-25.4
Alert,1984,12,-27.9
Alert,1985,1,-28.5
Alert,1985,2,-34.1
Alert,1985,3,-31.4
Alert,1985,4,-26.0
Alert,1985,5,-12.1
Alert,1985,6,-0.5
Alert,1985,7,2.9
Alert,1985,8,-0.9
Alert,1985,9,-7.3
Alert,1985,10,-20.9
Alert,1985,11,-26.3
Alert,1985,12,-26.4
Alert,1986,1,-33.3
Alert,1986,2,-26.4
Alert,1986,3,-33.7
Alert,1986,4,-24.8
Alert,1986,5,-9.8
Alert,1986,6,-1.9
Alert,1986,7,2.1
Alert,1986,8,2.0
Alert,1986,9,-8.4
Alert,1986,10,-20.3
Alert,1986,11,-26.1
Alert,1986,12,-26.0
Alert,1987,1,-27.8
Alert,1987,2,-34.4
Alert,1987,3,-32.9
Alert,1987,4,-26.7
Alert,1987,5,-13.4
Alert,1987,6,-0.5
Alert,1987,7,1.7
Alert,1987,8,0.8
Alert,1987,9,-6.7
Alert,1987,10,-16.8
Alert,1987,11,-27.9
Alert,1987,12,-28.2
Alert,1988,1,-30.0
Alert,1988,2,-30.2
Alert,1988,3,-28.1
Alert,1988,4,-18.2
Alert,1988,5,-9.6
Alert,1988,6,-1.4
Alert,1988,7,2.9
Alert,1988,8,0.5
Alert,1988,9,-7.7
Alert,1988,10,-15.8
Alert,1988,11,-25.6
Alert,1988,12,-27.4
Alert,1989,1,-32.7
Alert,1989,2,-27.9
Alert,1989,3,-32.6
Alert,1989,4,-23.6
Alert,1989,5,-12.5
Alert,1989,6,0.1
Alert,1989,7,3.6
Alert,1989,8,-0.2
Alert,1989,9,-7.9
Alert,1989,10,-19.2
Alert,1989,11,-25.0
Alert,1989,12,-28.2
Alert,1990,1,-27.8
Alert,1990,2,-31.3
Alert,1990,3,-27.9
Alert,1990,4,-18.2
Alert,1990,5,-7.3
Alert,1990,6,0.4
Alert,1990,7,2.9
Alert,1990,8,-1.3
Alert,1990,9,-8.7
Alert,1990,10,-20.0
Alert,1990,11,-29.2
Alert,1990,12,-30.5
Alert,1991,1,-32.3
Alert,1991,2,-31.6
Alert,1991,3,-26.8
Alert,1991,4,-20.6
Alert,1991,5,-9.2
Alert,1991,6,0.1
Alert,1991,7,3.1
Alert,1991,8,0.9
Alert,1991,9,-7.5
Alert,1991,10,-16.3
Alert,1991,11,-22.9
Alert,1991,12,-28.9
Alert,1992,1,-32.3
Alert,1992,2,-31.9
Alert,1992,3,-27.7
Alert,1992,4,-25.4
Alert,1992,5,-12.3
Alert,1992,6,-2.3
Alert,1992,7,1.9
