country_code,country_name,year,subject,score,se,caution
NZL,New Zealand,2006,Mathematics,521.99,2.39,True
NZL,New Zealand,2009,Mathematics,519.3,2.312,True
NZL,New Zealand,2012,Mathematics,499.75,2.205,True
NZL,New Zealand,2015,Mathematics,495.22,2.265,True
NZL,New Zealand,2018,Mathematics,494.49,1.706,True
NZL,New Zealand,2022,Mathematics,479.07,1.987,True
NZL,New Zealand,2025,Mathematics,479.62,2.165,True
OECD,OECD average,2012,Mathematics,488.16,0.465,False
OECD,OECD average,2015,Mathematics,484.88,0.418,False
OECD,OECD average,2025,Mathematics,463.02,0.425,False
OECD23,OECD average (23 countries with data since 2000),2003,Mathematics,502.12,0.607,False
OECD23,OECD average (23 countries with data since 2000),2006,Mathematics,501.07,0.595,False
OECD23,OECD average (23 countries with data since 2000),2009,Mathematics,501.67,0.578,False
OECD23,OECD average (23 countries with data since 2000),2012,Mathematics,498.68,0.564,False
OECD23,OECD average (23 countries with data since 2000),2015,Mathematics,495.52,0.534,False
OECD23,OECD average (23 countries with data since 2000),2018,Mathematics,496.35,0.504,False
OECD23,OECD average (23 countries with data since 2000),2022,Mathematics,480.29,0.488,False
OECD23,OECD average (23 countries with data since 2000),2025,Mathematics,469.38,0.548,False
OECD35,OECD average (35 countries),2006,Mathematics,490.72,0.521,False
OECD35,OECD average (35 countries),2012,Mathematics,490.54,0.494,False
OECD35,OECD average (35 countries),2015,Mathematics,487.24,0.443,False
OECD35,OECD average (35 countries),2018,Mathematics,489.68,0.418,False
OECD35,OECD average (35 countries),2022,Mathematics,474.84,0.415,False
OECD35,OECD average (35 countries),2025,Mathematics,465.49,0.453,False
SWE,Sweden,2003,Mathematics,509.05,2.559,False
SWE,Sweden,2006,Mathematics,502.36,2.408,False
SWE,Sweden,2009,Mathematics,494.24,2.899,False
SWE,Sweden,2012,Mathematics,478.26,2.255,False
SWE,Sweden,2015,Mathematics,493.92,3.172,False
SWE,Sweden,2018,Mathematics,502.39,2.654,False
SWE,Sweden,2022,Mathematics,481.77,2.063,False
SWE,Sweden,2025,Mathematics,464.25,2.509,False
USA,United States,2003,Mathematics,482.88,2.949,True
USA,United States,2006,Mathematics,474.35,4.021,True
USA,United States,2009,Mathematics,487.4,3.574,True
USA,United States,2012,Mathematics,481.37,3.597,True
USA,United States,2015,Mathematics,469.63,3.166,True
USA,United States,2018,Mathematics,478.24,3.235,True
