year,geo,age_group,gender,level,pct
2006,Quebec,45–54,Women,Trades and other non-tertiary,15.0
2007,Quebec,45–54,Women,Trades and other non-tertiary,14.0
2008,Quebec,45–54,Women,Trades and other non-tertiary,14.0
2009,Quebec,45–54,Women,Trades and other non-tertiary,13.0
2010,Quebec,45–54,Women,Trades and other non-tertiary,14.0
2011,Quebec,45–54,Women,Trades and other non-tertiary,15.0
2012,Quebec,45–54,Women,Trades and other non-tertiary,15.0
2013,Quebec,45–54,Women,Trades and other non-tertiary,16.0
2014,Quebec,45–54,Women,Trades and other non-tertiary,15.0
2015,Quebec,45–54,Women,Trades and other non-tertiary,16.0
2016,Quebec,45–54,Women,Trades and other non-tertiary,15.0
2017,Quebec,45–54,Women,Trades and other non-tertiary,15.0
2018,Quebec,45–54,Women,Trades and other non-tertiary,16.0
2019,Quebec,45–54,Women,Trades and other non-tertiary,15.0
2020,Quebec,45–54,Women,Trades and other non-tertiary,15.0
2021,Quebec,45–54,Women,Trades and other non-tertiary,14.0
2022,Quebec,45–54,Women,Trades and other non-tertiary,14.0
2023,Quebec,45–54,Women,Trades and other non-tertiary,15.0
2024,Quebec,45–54,Women,Trades and other non-tertiary,15.0
2025,Quebec,45–54,Women,Trades and other non-tertiary,14.0
2000,Quebec,55–64,Men,Bachelor's,9.0
2001,Quebec,55–64,Men,Bachelor's,10.0
2002,Quebec,55–64,Men,Bachelor's,11.0
2003,Quebec,55–64,Men,Bachelor's,11.0
2004,Quebec,55–64,Men,Bachelor's,10.0
2005,Quebec,55–64,Men,Bachelor's,12.0
2006,Quebec,55–64,Men,Bachelor's,12.0
2007,Quebec,55–64,Men,Bachelor's,13.0
2008,Quebec,55–64,Men,Bachelor's,13.0
2009,Quebec,55–64,Men,Bachelor's,13.0
2010,Quebec,55–64,Men,Bachelor's,12.0
2011,Quebec,55–64,Men,Bachelor's,13.0
2012,Quebec,55–64,Men,Bachelor's,13.0
2013,Quebec,55–64,Men,Bachelor's,13.0
2014,Quebec,55–64,Men,Bachelor's,13.0
2015,Quebec,55–64,Men,Bachelor's,13.0
2016,Quebec,55–64,Men,Bachelor's,12.0
2017,Quebec,55–64,Men,Bachelor's,14.0
2018,Quebec,55–64,Men,Bachelor's,14.0
2019,Quebec,55–64,Men,Bachelor's,13.0
2020,Quebec,55–64,Men,Bachelor's,15.0
2021,Quebec,55–64,Men,Bachelor's,14.0
2022,Quebec,55–64,Men,Bachelor's,15.0
2023,Quebec,55–64,Men,Bachelor's,15.0
2024,Quebec,55–64,Men,Bachelor's,16.0
2025,Quebec,55–64,Men,Bachelor's,15.0
2000,Quebec,55–64,Men,Below high school,43.0
2001,Quebec,55–64,Men,Below high school,41.0
2002,Quebec,55–64,Men,Below high school,38.0
2003,Quebec,55–64,Men,Below high school,35.0
2004,Quebec,55–64,Men,Below high school,33.0
2005,Quebec,55–64,Men,Below high school,30.0
2006,Quebec,55–64,Men,Below high school,29.0
2007,Quebec,55–64,Men,Below high school,27.0
2008,Quebec,55–64,Men,Below high school,23.0
2009,Quebec,55–64,Men,Below high school,24.0
2010,Quebec,55–64,Men,Below high school,23.0
2011,Quebec,55–64,Men,Below high school,22.0
2012,Quebec,55–64,Men,Below high school,20.0
2013,Quebec,55–64,Men,Below high school,20.0
2014,Quebec,55–64,Men,Below high school,19.0
2015,Quebec,55–64,Men,Below high school,20.0
2016,Quebec,55–64,Men,Below high school,21.0
2017,Quebec,55–64,Men,Below high school,20.0
2018,Quebec,55–64,Men,Below high school,18.0
2019,Quebec,55–64,Men,Below high school,18.0
2020,Quebec,55–64,Men,Below high school,18.0
2021,Quebec,55–64,Men,Below high school,16.0
2022,Quebec,55–64,Men,Below high school,14.0
2023,Quebec,55–64,Men,Below high school,14.0
2024,Quebec,55–64,Men,Below high school,15.0
2025,Quebec,55–64,Men,Below high school,15.0
2000,Quebec,55–64,Men,College/CEGEP,10.0
2001,Quebec,55–64,Men,College/CEGEP,11.0
2002,Quebec,55–64,Men,College/CEGEP,11.0
2003,Quebec,55–64,Men,College/CEGEP,12.0
