year,geo,age_group,gender,level,pct
2019,Newfoundland and Labrador,25–34,Women,High school,20.0
2020,Newfoundland and Labrador,25–34,Women,High school,22.0
2021,Newfoundland and Labrador,25–34,Women,High school,17.0
2022,Newfoundland and Labrador,25–34,Women,High school,14.0
2023,Newfoundland and Labrador,25–34,Women,High school,19.0
2024,Newfoundland and Labrador,25–34,Women,High school,13.0
2025,Newfoundland and Labrador,25–34,Women,High school,18.0
2000,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,5.0
2001,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,6.0
2002,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,4.0
2003,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,5.0
2004,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,3.0
2005,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,5.0
2006,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,4.0
2007,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,5.0
2008,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,4.0
2009,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,6.0
2010,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,6.0
2011,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,7.0
2012,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,8.0
2013,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,10.0
2014,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,10.0
2015,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,9.0
2016,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,10.0
2017,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,11.0
2018,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,8.0
2019,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,10.0
2020,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,9.0
2021,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,12.0
2022,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,13.0
2023,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,10.0
2024,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,13.0
2025,Newfoundland and Labrador,25–34,Women,Master's/Doctoral,13.0
2000,Newfoundland and Labrador,25–34,Women,Tertiary (all),42.0
2001,Newfoundland and Labrador,25–34,Women,Tertiary (all),45.0
2002,Newfoundland and Labrador,25–34,Women,Tertiary (all),43.0
2003,Newfoundland and Labrador,25–34,Women,Tertiary (all),49.0
2004,Newfoundland and Labrador,25–34,Women,Tertiary (all),47.0
2005,Newfoundland and Labrador,25–34,Women,Tertiary (all),49.0
2006,Newfoundland and Labrador,25–34,Women,Tertiary (all),49.0
2007,Newfoundland and Labrador,25–34,Women,Tertiary (all),55.0
2008,Newfoundland and Labrador,25–34,Women,Tertiary (all),57.0
2009,Newfoundland and Labrador,25–34,Women,Tertiary (all),60.0
2010,Newfoundland and Labrador,25–34,Women,Tertiary (all),55.0
2011,Newfoundland and Labrador,25–34,Women,Tertiary (all),59.0
2012,Newfoundland and Labrador,25–34,Women,Tertiary (all),63.0
2013,Newfoundland and Labrador,25–34,Women,Tertiary (all),64.0
2014,Newfoundland and Labrador,25–34,Women,Tertiary (all),63.0
2015,Newfoundland and Labrador,25–34,Women,Tertiary (all),60.0
2016,Newfoundland and Labrador,25–34,Women,Tertiary (all),63.0
2017,Newfoundland and Labrador,25–34,Women,Tertiary (all),61.0
2018,Newfoundland and Labrador,25–34,Women,Tertiary (all),69.0
2019,Newfoundland and Labrador,25–34,Women,Tertiary (all),69.0
2020,Newfoundland and Labrador,25–34,Women,Tertiary (all),68.0
2021,Newfoundland and Labrador,25–34,Women,Tertiary (all),73.0
2022,Newfoundland and Labrador,25–34,Women,Tertiary (all),76.0
2023,Newfoundland and Labrador,25–34,Women,Tertiary (all),71.0
2024,Newfoundland and Labrador,25–34,Women,Tertiary (all),78.0
2025,Newfoundland and Labrador,25–34,Women,Tertiary (all),73.0
2000,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,19.0
2001,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,20.0
2002,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,23.0
2003,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,20.0
2004,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,18.0
2005,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,17.0
2006,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,16.0
2007,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,13.0
2008,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,10.0
2009,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,12.0
2010,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,15.0
2011,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,12.0
2012,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,11.0
2013,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,14.0
2014,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,12.0
2015,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,12.0
2016,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,12.0
2017,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,10.0
2018,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,5.0
2019,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,8.0
2020,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,7.0
2021,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,7.0
2022,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,7.0
2023,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,6.0
2024,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,6.0
2025,Newfoundland and Labrador,25–34,Women,Trades and other non-tertiary,6.0
2000,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,7.0
2001,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,7.0
2002,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,7.0
2003,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,8.0
2004,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,8.0
2005,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,8.0
2006,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,8.0
2007,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,9.0
2008,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,9.0
2009,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,9.0
2010,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,9.0
2011,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,10.0
2012,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,10.0
2013,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,12.0
2014,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,12.0
2015,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,11.0
2016,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,10.0
2017,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,9.0
2018,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,10.0
2019,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,10.0
2020,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,10.0
2021,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,12.0
2022,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,13.0
2023,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,13.0
2024,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,13.0
2025,Newfoundland and Labrador,25–64 (all),Men,Bachelor's,14.0
2000,Newfoundland and Labrador,25–64 (all),Men,Below high school,31.0
2001,Newfoundland and Labrador,25–64 (all),Men,Below high school,30.0
2002,Newfoundland and Labrador,25–64 (all),Men,Below high school,28.0
2003,Newfoundland and Labrador,25–64 (all),Men,Below high school,25.0
2004,Newfoundland and Labrador,25–64 (all),Men,Below high school,26.0
2005,Newfoundland and Labrador,25–64 (all),Men,Below high school,24.0
2006,Newfoundland and Labrador,25–64 (all),Men,Below high school,23.0
2007,Newfoundland and Labrador,25–64 (all),Men,Below high school,21.0
2008,Newfoundland and Labrador,25–64 (all),Men,Below high school,23.0
2009,Newfoundland and Labrador,25–64 (all),Men,Below high school,21.0
2010,Newfoundland and Labrador,25–64 (all),Men,Below high school,19.0
2011,Newfoundland and Labrador,25–64 (all),Men,Below high school,19.0
2012,Newfoundland and Labrador,25–64 (all),Men,Below high school,19.0
2013,Newfoundland and Labrador,25–64 (all),Men,Below high school,16.0
2014,Newfoundland and Labrador,25–64 (all),Men,Below high school,16.0
2015,Newfoundland and Labrador,25–64 (all),Men,Below high school,17.0
2016,Newfoundland and Labrador,25–64 (all),Men,Below high school,16.0
2017,Newfoundland and Labrador,25–64 (all),Men,Below high school,15.0
2018,Newfoundland and Labrador,25–64 (all),Men,Below high school,15.0
2019,Newfoundland and Labrador,25–64 (all),Men,Below high school,13.0
2020,Newfoundland and Labrador,25–64 (all),Men,Below high school,12.0
2021,Newfoundland and Labrador,25–64 (all),Men,Below high school,12.0
2022,Newfoundland and Labrador,25–64 (all),Men,Below high school,10.0
2023,Newfoundland and Labrador,25–64 (all),Men,Below high school,11.0
2024,Newfoundland and Labrador,25–64 (all),Men,Below high school,9.0
2025,Newfoundland and Labrador,25–64 (all),Men,Below high school,10.0
2000,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,11.0
2001,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,12.0
2002,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,11.0
2003,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,13.0
2004,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,12.0
2005,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,14.0
2006,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,14.0
2007,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,15.0
2008,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,15.0
2009,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,16.0
2010,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,17.0
2011,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,17.0
2012,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,17.0
2013,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,16.0
2014,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,17.0
2015,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,19.0
2016,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,20.0
2017,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,23.0
2018,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,25.0
2019,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,26.0
2020,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,27.0
2021,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,28.0
2022,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,29.0
2023,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,26.0
2024,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,27.0
2025,Newfoundland and Labrador,25–64 (all),Men,College/CEGEP,25.0
2000,Newfoundland and Labrador,25–64 (all),Men,High school,20.0
2001,Newfoundland and Labrador,25–64 (all),Men,High school,20.0
2002,Newfoundland and Labrador,25–64 (all),Men,High school,22.0
2003,Newfoundland and Labrador,25–64 (all),Men,High school,22.0
2004,Newfoundland and Labrador,25–64 (all),Men,High school,21.0
2005,Newfoundland and Labrador,25–64 (all),Men,High school,20.0
2006,Newfoundland and Labrador,25–64 (all),Men,High school,23.0
2007,Newfoundland and Labrador,25–64 (all),Men,High school,24.0
2008,Newfoundland and Labrador,25–64 (all),Men,High school,22.0
2009,Newfoundland and Labrador,25–64 (all),Men,High school,23.0
2010,Newfoundland and Labrador,25–64 (all),Men,High school,22.0
2011,Newfoundland and Labrador,25–64 (all),Men,High school,20.0
2012,Newfoundland and Labrador,25–64 (all),Men,High school,19.0
2013,Newfoundland and Labrador,25–64 (all),Men,High school,22.0
2014,Newfoundland and Labrador,25–64 (all),Men,High school,21.0
2015,Newfoundland and Labrador,25–64 (all),Men,High school,22.0
2016,Newfoundland and Labrador,25–64 (all),Men,High school,21.0
2017,Newfoundland and Labrador,25–64 (all),Men,High school,23.0
2018,Newfoundland and Labrador,25–64 (all),Men,High school,20.0
2019,Newfoundland and Labrador,25–64 (all),Men,High school,20.0
2020,Newfoundland and Labrador,25–64 (all),Men,High school,20.0
2021,Newfoundland and Labrador,25–64 (all),Men,High school,19.0
2022,Newfoundland and Labrador,25–64 (all),Men,High school,19.0
2023,Newfoundland and Labrador,25–64 (all),Men,High school,19.0
2024,Newfoundland and Labrador,25–64 (all),Men,High school,19.0
2025,Newfoundland and Labrador,25–64 (all),Men,High school,20.0
2000,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,4.0
2001,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,5.0
2002,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,5.0
2003,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,4.0
2004,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,4.0
2005,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,5.0
2006,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,5.0
2007,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,5.0
2008,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,5.0
2009,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,5.0
2010,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,5.0
2011,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,6.0
2012,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,6.0
2013,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,5.0
2014,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,6.0
2015,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,5.0
2016,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,5.0
2017,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,6.0
2018,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,7.0
2019,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,6.0
2020,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,7.0
2021,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,7.0
2022,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,6.0
2023,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,8.0
2024,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,10.0
2025,Newfoundland and Labrador,25–64 (all),Men,Master's/Doctoral,8.0
2000,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),22.0
2001,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),24.0
2002,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),24.0
2003,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),25.0
2004,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),24.0
2005,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),28.0
2006,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),28.0
2007,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),29.0
2008,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),30.0
2009,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),30.0
2010,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),30.0
2011,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),33.0
2012,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),33.0
2013,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),33.0
2014,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),36.0
2015,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),35.0
2016,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),36.0
2017,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),38.0
2018,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),41.0
2019,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),43.0
2020,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),44.0
2021,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),46.0
2022,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),49.0
2023,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),47.0
2024,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),50.0
2025,Newfoundland and Labrador,25–64 (all),Men,Tertiary (all),48.0
2000,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,26.0
2001,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,26.0
2002,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,27.0
2003,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,29.0
2004,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,29.0
2005,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,28.0
2006,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,27.0
2007,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,26.0
2008,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,26.0
2009,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,26.0
2010,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,29.0
2011,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,28.0
2012,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,29.0
2013,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,29.0
2014,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,27.0
2015,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,27.0
2016,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,27.0
2017,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,25.0
2018,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,24.0
2019,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,24.0
2020,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,24.0
2021,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,22.0
2022,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,22.0
2023,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,23.0
2024,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,22.0
2025,Newfoundland and Labrador,25–64 (all),Men,Trades and other non-tertiary,23.0
2000,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,8.0
2001,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,8.0
2002,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,8.0
2003,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,9.0
2004,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,9.0
2005,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,9.0
2006,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,9.0
2007,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,10.0
2008,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,11.0
2009,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,11.0
2010,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,10.0
2011,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,11.0
2012,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,12.0
2013,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,13.0
2014,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,14.0
2015,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,12.0
2016,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,12.0
2017,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,11.0
2018,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,12.0
2019,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,13.0
2020,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,13.0
2021,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,13.0
2022,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,16.0
2023,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,15.0
2024,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,16.0
2025,Newfoundland and Labrador,25–64 (all),Total,Bachelor's,17.0
2000,Newfoundland and Labrador,25–64 (all),Total,Below high school,30.0
2001,Newfoundland and Labrador,25–64 (all),Total,Below high school,29.0
2002,Newfoundland and Labrador,25–64 (all),Total,Below high school,26.0
2003,Newfoundland and Labrador,25–64 (all),Total,Below high school,24.0
2004,Newfoundland and Labrador,25–64 (all),Total,Below high school,25.0
2005,Newfoundland and Labrador,25–64 (all),Total,Below high school,24.0
2006,Newfoundland and Labrador,25–64 (all),Total,Below high school,22.0
2007,Newfoundland and Labrador,25–64 (all),Total,Below high school,21.0
2008,Newfoundland and Labrador,25–64 (all),Total,Below high school,22.0
2009,Newfoundland and Labrador,25–64 (all),Total,Below high school,21.0
2010,Newfoundland and Labrador,25–64 (all),Total,Below high school,19.0
2011,Newfoundland and Labrador,25–64 (all),Total,Below high school,19.0
2012,Newfoundland and Labrador,25–64 (all),Total,Below high school,18.0
2013,Newfoundland and Labrador,25–64 (all),Total,Below high school,15.0
2014,Newfoundland and Labrador,25–64 (all),Total,Below high school,15.0
2015,Newfoundland and Labrador,25–64 (all),Total,Below high school,16.0
2016,Newfoundland and Labrador,25–64 (all),Total,Below high school,15.0
2017,Newfoundland and Labrador,25–64 (all),Total,Below high school,14.0
2018,Newfoundland and Labrador,25–64 (all),Total,Below high school,13.0
2019,Newfoundland and Labrador,25–64 (all),Total,Below high school,11.0
2020,Newfoundland and Labrador,25–64 (all),Total,Below high school,11.0
2021,Newfoundland and Labrador,25–64 (all),Total,Below high school,11.0
2022,Newfoundland and Labrador,25–64 (all),Total,Below high school,9.0
2023,Newfoundland and Labrador,25–64 (all),Total,Below high school,9.0
2024,Newfoundland and Labrador,25–64 (all),Total,Below high school,8.0
2025,Newfoundland and Labrador,25–64 (all),Total,Below high school,8.0
2000,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,14.0
2001,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,15.0
2002,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,15.0
2003,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,16.0
2004,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,16.0
2005,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,18.0
2006,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,18.0
2007,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,20.0
2008,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,20.0
2009,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,21.0
2010,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,21.0
2011,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,21.0
2012,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,22.0
2013,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,21.0
2014,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,22.0
2015,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,24.0
2016,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,25.0
2017,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,27.0
2018,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,30.0
2019,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,30.0
2020,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,31.0
2021,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,33.0
2022,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,34.0
2023,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,32.0
2024,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,33.0
2025,Newfoundland and Labrador,25–64 (all),Total,College/CEGEP,31.0
2000,Newfoundland and Labrador,25–64 (all),Total,High school,21.0
2001,Newfoundland and Labrador,25–64 (all),Total,High school,21.0
2002,Newfoundland and Labrador,25–64 (all),Total,High school,22.0
2003,Newfoundland and Labrador,25–64 (all),Total,High school,22.0
2004,Newfoundland and Labrador,25–64 (all),Total,High school,22.0
2005,Newfoundland and Labrador,25–64 (all),Total,High school,22.0
2006,Newfoundland and Labrador,25–64 (all),Total,High school,24.0
2007,Newfoundland and Labrador,25–64 (all),Total,High school,24.0
2008,Newfoundland and Labrador,25–64 (all),Total,High school,23.0
2009,Newfoundland and Labrador,25–64 (all),Total,High school,22.0
2010,Newfoundland and Labrador,25–64 (all),Total,High school,22.0
2011,Newfoundland and Labrador,25–64 (all),Total,High school,21.0
2012,Newfoundland and Labrador,25–64 (all),Total,High school,20.0
2013,Newfoundland and Labrador,25–64 (all),Total,High school,21.0
2014,Newfoundland and Labrador,25–64 (all),Total,High school,21.0
2015,Newfoundland and Labrador,25–64 (all),Total,High school,22.0
2016,Newfoundland and Labrador,25–64 (all),Total,High school,21.0
2017,Newfoundland and Labrador,25–64 (all),Total,High school,23.0
2018,Newfoundland and Labrador,25–64 (all),Total,High school,21.0
2019,Newfoundland and Labrador,25–64 (all),Total,High school,21.0
2020,Newfoundland and Labrador,25–64 (all),Total,High school,20.0
2021,Newfoundland and Labrador,25–64 (all),Total,High school,20.0
2022,Newfoundland and Labrador,25–64 (all),Total,High school,19.0
2023,Newfoundland and Labrador,25–64 (all),Total,High school,19.0
2024,Newfoundland and Labrador,25–64 (all),Total,High school,18.0
2025,Newfoundland and Labrador,25–64 (all),Total,High school,19.0
2000,Newfoundland and Labrador,25–64 (all),Total,Master's/Doctoral,4.0
2001,Newfoundland and Labrador,25–64 (all),Total,Master's/Doctoral,5.0
2002,Newfoundland and Labrador,25–64 (all),Total,Master's/Doctoral,5.0
2003,Newfoundland and Labrador,25–64 (all),Total,Master's/Doctoral,4.0
2004,Newfoundland and Labrador,25–64 (all),Total,Master's/Doctoral,4.0
2005,Newfoundland and Labrador,25–64 (all),Total,Master's/Doctoral,4.0
2006,Newfoundland and Labrador,25–64 (all),Total,Master's/Doctoral,4.0
2007,Newfoundland and Labrador,25–64 (all),Total,Master's/Doctoral,4.0
2008,Newfoundland and Labrador,25–64 (all),Total,Master's/Doctoral,5.0
2009,Newfoundland and Labrador,25–64 (all),Total,Master's/Doctoral,5.0
2010,Newfoundland and Labrador,25–64 (all),Total,Master's/Doctoral,5.0
2011,Newfoundland and Labrador,25–64 (all),Total,Master's/Doctoral,6.0
2012,Newfoundland and Labrador,25–64 (all),Total,Master's/Doctoral,7.0
2013,Newfoundland and Labrador,25–64 (all),Total,Master's/Doctoral,6.0
2014,Newfoundland and Labrador,25–64 (all),Total,Master's/Doctoral,7.0
2015,Newfoundland and Labrador,25–64 (all),Total,Master's/Doctoral,6.0
2016,Newfoundland and Labrador,25–64 (all),Total,Master's/Doctoral,6.0
2017,Newfoundland and Labrador,25–64 (all),Total,Master's/Doctoral,6.0
