geo,geo_code,year,subject,score,se,caution,source
Ontario,ON,2025,Mathematics,484,3.5,True,"CMEC PISA 2025 report, Table 3.18"
Prince Edward Island,PE,2003,Mathematics,500,2.0,False,"CMEC PISA 2022 report, Table B.1.14a"
Prince Edward Island,PE,2006,Mathematics,501,2.7,False,"CMEC PISA 2022 report, Table B.1.14a"
Prince Edward Island,PE,2009,Mathematics,487,3.0,False,"CMEC PISA 2022 report, Table B.1.14a"
Prince Edward Island,PE,2012,Mathematics,479,3.2,False,"CMEC PISA 2022 report, Table B.1.14a"
Prince Edward Island,PE,2015,Mathematics,499,8.5,False,"CMEC PISA 2022 report, Table B.1.14a"
Prince Edward Island,PE,2018,Mathematics,487,11.4,False,"CMEC PISA 2022 report, Table B.1.14a"
Prince Edward Island,PE,2022,Mathematics,478,8.6,False,"CMEC PISA 2022 report, Table B.1.14a"
Prince Edward Island,PE,2025,Mathematics,452,7.4,False,"CMEC PISA 2025 report, Table 3.18"
Quebec,QC,2003,Mathematics,536,4.5,False,"CMEC PISA 2022 report, Table B.1.14a"
Quebec,QC,2006,Mathematics,540,4.4,False,"CMEC PISA 2022 report, Table B.1.14a"
Quebec,QC,2009,Mathematics,543,4.0,False,"CMEC PISA 2022 report, Table B.1.14a"
Quebec,QC,2012,Mathematics,536,3.9,False,"CMEC PISA 2022 report, Table B.1.14a"
Quebec,QC,2015,Mathematics,544,7.4,False,"CMEC PISA 2022 report, Table B.1.14a"
Quebec,QC,2018,Mathematics,532,4.5,False,"CMEC PISA 2022 report, Table B.1.14a"
Quebec,QC,2022,Mathematics,514,6.8,True,"CMEC PISA 2022 report, Table B.1.14a"
Quebec,QC,2025,Mathematics,500,3.5,True,"CMEC PISA 2025 report, Table 3.18"
Saskatchewan,SK,2003,Mathematics,516,3.9,False,"CMEC PISA 2022 report, Table B.1.14a"
Saskatchewan,SK,2006,Mathematics,507,3.6,False,"CMEC PISA 2022 report, Table B.1.14a"
Saskatchewan,SK,2009,Mathematics,506,3.8,False,"CMEC PISA 2022 report, Table B.1.14a"
Saskatchewan,SK,2012,Mathematics,506,3.6,False,"CMEC PISA 2022 report, Table B.1.14a"
Saskatchewan,SK,2015,Mathematics,484,6.3,False,"CMEC PISA 2022 report, Table B.1.14a"
Saskatchewan,SK,2018,Mathematics,485,5.8,False,"CMEC PISA 2022 report, Table B.1.14a"
Saskatchewan,SK,2022,Mathematics,468,6.1,False,"CMEC PISA 2022 report, Table B.1.14a"
Saskatchewan,SK,2025,Mathematics,471,4.1,False,"CMEC PISA 2025 report, Table 3.18"
Alberta,AB,2000,Reading,550,3.3,False,"CMEC PISA 2018 report, Table B.1.14a"
Alberta,AB,2003,Reading,543,6.8,False,"CMEC PISA 2018 report, Table B.1.14a"
Alberta,AB,2006,Reading,535,6.5,False,"CMEC PISA 2018 report, Table B.1.14a"
Alberta,AB,2009,Reading,533,6.8,False,"CMEC PISA 2018 report, Table B.1.14a"
Alberta,AB,2012,Reading,525,7.2,False,"CMEC PISA 2018 report, Table B.1.14a"
Alberta,AB,2015,Reading,533,8.6,False,"CMEC PISA 2018 report, Table B.1.14a"
Alberta,AB,2018,Reading,532,5.9,False,"CMEC PISA 2018 report, Table B.1.14a"
Alberta,AB,2022,Reading,525,6.4,True,"CMEC PISA 2022 report, Table 3.16"
Alberta,AB,2025,Reading,499,6.0,True,"CMEC PISA 2025 report, Table 3.17"
British Columbia,BC,2000,Reading,538,2.9,False,"CMEC PISA 2018 report, Table B.1.14a"
British Columbia,BC,2003,Reading,535,5.9,False,"CMEC PISA 2018 report, Table B.1.14a"
British Columbia,BC,2006,Reading,528,7.5,False,"CMEC PISA 2018 report, Table B.1.14a"
British Columbia,BC,2009,Reading,525,6.5,False,"CMEC PISA 2018 report, Table B.1.14a"
British Columbia,BC,2012,Reading,535,7.4,False,"CMEC PISA 2018 report, Table B.1.14a"
British Columbia,BC,2015,Reading,536,8.8,False,"CMEC PISA 2018 report, Table B.1.14a"
British Columbia,BC,2018,Reading,519,6.0,False,"CMEC PISA 2018 report, Table B.1.14a"
British Columbia,BC,2022,Reading,511,6.0,True,"CMEC PISA 2022 report, Table 3.16"
British Columbia,BC,2025,Reading,494,6.5,True,"CMEC PISA 2025 report, Table 3.17"
Canada,CA,2000,Reading,534,1.6,False,"CMEC PISA 2018 report, Table B.1.14a"
Canada,CA,2003,Reading,528,5.6,False,"CMEC PISA 2018 report, Table B.1.14a"
Canada,CA,2006,Reading,527,5.5,False,"CMEC PISA 2018 report, Table B.1.14a"
Canada,CA,2009,Reading,524,5.2,False,"CMEC PISA 2018 report, Table B.1.14a"
Canada,CA,2012,Reading,523,6.2,False,"CMEC PISA 2018 report, Table B.1.14a"
Canada,CA,2015,Reading,527,7.2,False,"CMEC PISA 2018 report, Table B.1.14a"
Canada,CA,2018,Reading,520,4.4,False,"CMEC PISA 2018 report, Table B.1.14a"
Canada,CA,2022,Reading,507,2.5,True,"CMEC PISA 2022 report, Table 3.16"
Canada,CA,2025,Reading,490,2.6,True,"CMEC PISA 2025 report, Table 3.17"
Manitoba,MB,2000,Reading,529,3.5,False,"CMEC PISA 2018 report, Table B.1.14a"
