lat,lon,size_ha,province,cause,year
57.3639,-111.0206,0.0,Alberta,Human,2023
55.0031,-115.342,0.0,Alberta,Human,2023
50.4223,-126.7927,0.0,British Columbia,Unknown,2023
55.8013,-119.9362,0.0,Alberta,Human,2023
49.8203,-114.7958,0.0,British Columbia,Other / unknown,2023
53.3918,-123.3073,0.0,British Columbia,Other / unknown,2023
53.7354,-122.8082,0.0,British Columbia,Other / unknown,2023
50.6517,-117.3664,0.0,British Columbia,Other / unknown,2023
49.2162,-121.3378,0.0,British Columbia,Other / unknown,2023
59.2015,-122.8894,0.0,British Columbia,Other / unknown,2023
56.4821,-119.1929,0.0,Alberta,Human,2023
49.9195,-120.6192,0.0,British Columbia,Other / unknown,2023
52.0382,-115.4785,0.0,Alberta,Other / unknown,2023
51.193,-118.1912,0.0,British Columbia,Other / unknown,2023
53.6611,-125.958,0.0,British Columbia,Other / unknown,2023
53.7563,-124.8365,0.0,British Columbia,Other / unknown,2023
55.1057,-123.4707,0.0,British Columbia,Other / unknown,2023
52.9013,-119.2705,0.0,British Columbia,Other / unknown,2023
55.3954,-115.7458,0.0,Alberta,Unknown,2023
56.423,-119.9617,0.0,Alberta,Unknown,2023
49.2466,-116.5865,0.0,British Columbia,Other / unknown,2023
52.2234,-114.976,0.0,Alberta,Human,2023
50.0067,-117.4405,0.0,British Columbia,Other / unknown,2023
54.7678,-127.0402,0.0,British Columbia,Other / unknown,2023
51.122,-119.2086,0.0,British Columbia,Other / unknown,2023
51.0952,-117.8506,0.0,British Columbia,Other / unknown,2023
50.1822,-122.9666,0.0,British Columbia,Other / unknown,2023
50.1446,-123.0166,0.0,British Columbia,Other / unknown,2023
52.5403,-115.9386,0.0,Alberta,Human,2023
53.9909,-121.0708,0.0,British Columbia,Other / unknown,2023
50.483,-115.904,0.0,British Columbia,Other / unknown,2023
50.7714,-120.6403,0.0,British Columbia,Other / unknown,2023
51.7677,-117.567,0.0,British Columbia,Other / unknown,2023
53.5749,-122.3195,0.0,British Columbia,Other / unknown,2023
50.2262,-122.615,0.0,British Columbia,Other / unknown,2023
55.9397,-113.7783,0.0,Alberta,Unknown,2023
49.1211,-115.357,0.0,British Columbia,Other / unknown,2023
55.2806,-128.9331,0.0,British Columbia,Unknown,2023
54.2352,-125.2735,0.0,British Columbia,Other / unknown,2023
50.0004,-117.4207,0.0,British Columbia,Other / unknown,2023
53.9274,-123.9587,0.0,British Columbia,Other / unknown,2023
54.7489,-122.749,0.0,British Columbia,Other / unknown,2023
50.5278,-120.1954,0.0,British Columbia,Other / unknown,2023
49.4441,-117.342,0.0,British Columbia,Other / unknown,2023
50.4935,-122.4918,0.0,British Columbia,Other / unknown,2023
50.901,-114.688,0.0,Alberta,Human,2023
48.8643,-124.0635,0.0,British Columbia,Other / unknown,2023
54.0071,-122.4291,0.0,British Columbia,Other / unknown,2023
53.5074,-117.3162,0.0,Alberta,Human,2023
55.9294,-110.7232,0.0,Alberta,Human,2023
50.8779,-120.19,0.0,British Columbia,Other / unknown,2023
51.1512,-116.9274,0.0,British Columbia,Other / unknown,2023
49.4544,-122.1859,0.0,British Columbia,Other / unknown,2023
49.2463,-125.623,0.0,British Columbia,Other / unknown,2023
54.842,-126.9289,0.0,British Columbia,Other / unknown,2023
53.6303,-115.8362,0.0,Alberta,Other / unknown,2023
50.8209,-126.2563,0.0,British Columbia,Other / unknown,2023
56.966,-122.6182,0.0,British Columbia,Other / unknown,2023
55.3803,-127.5376,0.0,British Columbia,Other / unknown,2023
49.3136,-125.3116,0.0,British Columbia,Other / unknown,2023
50.8636,-126.7523,0.0,British Columbia,Other / unknown,2023
51.026,-120.3023,0.0,British Columbia,Other / unknown,2023
50.1065,-121.2783,0.0,British Columbia,Other / unknown,2023
51.1147,-120.2412,0.0,British Columbia,Other / unknown,2023
58.7108,-118.6415,0.0,Alberta,Human,2023
49.4292,-117.6804,0.0,British Columbia,Other / unknown,2023
52.7419,-122.5979,0.0,British Columbia,Other / unknown,2023
55.9484,-113.9204,0.0,Alberta,Human,2023
57.4991,-123.0411,0.0,British Columbia,Other / unknown,2023
54.9436,-127.8039,0.0,British Columbia,Other / unknown,2023
52.7675,-125.0495,0.0,British Columbia,Other / unknown,2023
54.1032,-115.6854,0.0,Alberta,Human,2023
53.2393,-123.4718,0.0,British Columbia,Other / unknown,2023
49.8779,-114.3238,0.0,Alberta,Human,2023
52.1898,-119.2654,0.0,British Columbia,Other / unknown,2023
56.6777,-114.5796,0.0,Alberta,Human,2023
49.964,-117.3515,0.0,British Columbia,Other / unknown,2023
56.4709,-116.3932,0.0,Alberta,Human,2023
54.8812,-116.6921,0.0,Alberta,Other / unknown,2023
50.9247,-116.49,0.0,British Columbia,Other / unknown,2023
54.8153,-122.8934,0.0,British Columbia,Other / unknown,2023
54.2474,-124.2416,0.0,British Columbia,Other / unknown,2023
51.7562,-120.8799,0.0,British Columbia,Other / unknown,2023
54.7613,-123.1918,0.0,British Columbia,Other / unknown,2023
50.7716,-120.3825,0.0,British Columbia,Other / unknown,2023
52.9732,-122.5223,0.0,British Columbia,Other / unknown,2023
53.5793,-126.1357,0.0,British Columbia,Other / unknown,2023
55.3018,-115.8798,0.0,Alberta,Human,2023
51.7704,-115.3176,0.0,Alberta,Human,2023
54.4985,-111.7153,0.0,Alberta,Human,2023
49.5822,-123.1516,0.0,British Columbia,Other / unknown,2023
56.5318,-119.3745,0.0,Alberta,Other / unknown,2023
53.6857,-122.5475,0.0,British Columbia,Other / unknown,2023
50.5439,-117.4286,0.0,British Columbia,Other / unknown,2023
52.0734,-119.3624,0.0,British Columbia,Other / unknown,2023
53.3038,-117.0154,0.0,Alberta,Other / unknown,2023
56.9137,-122.5922,0.0,British Columbia,Other / unknown,2023
54.9632,-123.3683,0.0,British Columbia,Other / unknown,2023
54.9008,-126.8883,0.0,British Columbia,Other / unknown,2023
54.7665,-119.0535,0.0,Alberta,Other / unknown,2023
49.0871,-118.1843,0.0,British Columbia,Other / unknown,2023
51.5503,-115.2041,0.0,Alberta,Human,2023
50.8121,-114.6406,0.0,Alberta,Human,2023
55.1022,-116.6966,0.0,Alberta,Human,2023
49.1381,-118.2797,0.0,British Columbia,Other / unknown,2023
50.8662,-114.7524,0.0,Alberta,Human,2023
50.8661,-114.7539,0.0,Alberta,Human,2023
53.952,-121.512,0.0,British Columbia,Other / unknown,2023
53.7506,-123.1959,0.0,British Columbia,Other / unknown,2023
49.4057,-120.2108,0.0,British Columbia,Other / unknown,2023
49.9191,-120.4489,0.0,British Columbia,Other / unknown,2023
50.9045,-120.1471,0.0,British Columbia,Other / unknown,2023
49.2738,-115.2988,0.0,British Columbia,Other / unknown,2023
49.3897,-117.7215,0.0,British Columbia,Other / unknown,2023
58.5577,-124.2336,0.0,British Columbia,Other / unknown,2023
56.538,-119.8547,0.0,Alberta,Other / unknown,2023
52.9904,-124.6272,0.0,British Columbia,Other / unknown,2023
54.39,-126.014,0.0,British Columbia,Other / unknown,2023
52.8748,-122.0687,0.0,British Columbia,Other / unknown,2023
54.7108,-127.2729,0.0,British Columbia,Other / unknown,2023
54.4695,-126.8728,0.0,British Columbia,Other / unknown,2023
51.6879,-115.2178,0.0,Alberta,Other / unknown,2023
53.3067,-117.8075,0.0,Alberta,Human,2023
51.0054,-118.5737,0.0,British Columbia,Other / unknown,2023
57.0742,-111.9111,0.0,Alberta,Human,2023
49.0338,-118.2627,0.0,British Columbia,Other / unknown,2023
50.4063,-122.8246,0.0,British Columbia,Other / unknown,2023
56.4417,-111.1771,0.0,Alberta,Human,2023
54.6538,-124.7394,0.0,British Columbia,Other / unknown,2023
57.0745,-111.904,0.0,Alberta,Human,2023
53.2907,-125.0786,0.0,British Columbia,Other / unknown,2023
57.0895,-111.9044,0.0,Alberta,Human,2023
59.1076,-123.3191,0.0,British Columbia,Other / unknown,2023
51.7633,-120.9944,0.0,British Columbia,Other / unknown,2023
51.1033,-116.4696,0.0,British Columbia,Other / unknown,2023
54.2876,-124.0024,0.0,British Columbia,Other / unknown,2023
52.9489,-121.63,0.0,British Columbia,Human,2023
53.8439,-121.4862,0.0,British Columbia,Other / unknown,2023
54.0529,-120.7995,0.0,British Columbia,Other / unknown,2023
56.0663,-110.8753,0.0,Alberta,Human,2023
56.9393,-116.8714,0.0,Alberta,Other / unknown,2023
50.3801,-120.3115,0.0,British Columbia,Other / unknown,2023
51.4832,-120.8592,0.0,British Columbia,Other / unknown,2023
49.4564,-117.2991,0.0,British Columbia,Other / unknown,2023
54.9659,-119.1025,0.0,Alberta,Human,2023
49.018,-124.1808,0.0,British Columbia,Other / unknown,2023
51.9884,-120.2435,0.0,British Columbia,Other / unknown,2023
53.9637,-122.1928,0.0,British Columbia,Other / unknown,2023
49.5133,-121.2093,0.0,British Columbia,Other / unknown,2023
52.491,-115.5053,0.0,Alberta,Other / unknown,2023
50.3696,-120.4247,0.0,British Columbia,Other / unknown,2023
51.3285,-118.6884,0.0,British Columbia,Other / unknown,2023
50.8041,-121.0831,0.0,British Columbia,Other / unknown,2023
51.2223,-120.0687,0.0,British Columbia,Other / unknown,2023
52.1454,-119.1825,0.0,British Columbia,Other / unknown,2023
50.7713,-120.3819,0.0,British Columbia,Other / unknown,2023
55.3459,-114.9749,0.0,Alberta,Human,2023
50.9265,-120.2149,0.0,British Columbia,Other / unknown,2023
51.9829,-119.109,0.0,British Columbia,Other / unknown,2023
48.9711,-124.147,0.0,British Columbia,Other / unknown,2023
55.7437,-121.2385,0.0,British Columbia,Other / unknown,2023
55.0065,-127.4022,0.0,British Columbia,Other / unknown,2023
49.3559,-117.7742,0.0,British Columbia,Other / unknown,2023
55.3454,-117.0525,0.0,Alberta,Unknown,2023
56.3608,-117.424,0.0,Alberta,Human,2023
52.3607,-126.1357,0.0,British Columbia,Other / unknown,2023
59.1601,-119.4328,0.0,Alberta,Other / unknown,2023
55.0863,-128.2713,0.0,British Columbia,Other / unknown,2023
51.5635,-120.7505,0.0,British Columbia,Other / unknown,2023
56.829,-117.7074,0.0,Alberta,Human,2023
49.4353,-117.282,0.0,British Columbia,Other / unknown,2023
51.0421,-119.5954,0.0,British Columbia,Other / unknown,2023
