hood_id,name,population,auto_theft,bike_theft,break_enter,theft_from_mv,robbery,assault,theft_over,shooting,homicide,year
124,Kennedy Park,18929,211.315963745117,31.697395324707,158.48698425293,401.500335693359,121.506683349609,1521.47497558594,84.5263900756836,15.8486976623535,5.28289937973022,2025
123,Cliffcrest,18043,271.573455810547,16.6269474029541,188.438735961914,465.554504394531,127.473258972168,803.6357421875,38.7962074279785,11.0846309661865,0.0,2025
122,Birchcliffe-Cliffside,25904,266.368133544922,15.4416303634644,181.439163208008,277.949340820313,73.3477478027344,648.548461914063,34.7436676025391,0.0,0.0,2025
168,Downtown Yonge East,25119,75.6399536132813,433.934478759766,274.692474365234,390.142913818359,143.317810058594,2360.7626953125,99.526252746582,11.9431505203247,0.0,2025
167,Church-Wellesley,30048,46.5921211242676,222.976577758789,146.432373046875,206.336532592773,93.1842422485352,1264.64318847656,106.496269226074,0.0,3.32800841331482,2025
166,St Lawrence-East Bayfront-The Islands,44636,24.6437854766846,275.562316894531,163.545120239258,163.545120239258,96.3348007202148,1059.68273925781,78.4120407104492,4.48068809509277,0.0,2025
165,Harbourfront-CityPlace,35321,56.6235389709473,138.727676391602,141.558853149414,121.740608215332,48.1300086975098,883.327209472656,56.6235389709473,8.49353122711182,2.83117699623108,2025
164,Wellington Place,37790,97.9095001220703,243.450653076172,293.728485107422,211.696212768555,82.0322799682617,1169.62158203125,87.3246917724609,10.5848112106323,5.29240560531616,2025
163,Fort York-Liberty Village,25723,46.6508560180664,151.615280151367,124.402282714844,132.177429199219,23.3254280090332,730.863403320313,77.7514266967773,0.0,3.88757133483887,2025
162,West Queen West,15457,84.1042861938477,122.921653747559,258.782440185547,181.147705078125,51.7564849853516,588.730041503906,19.4086818695068,6.46956062316895,0.0,2025
161,Humber Bay Shores,26343,186.007675170898,91.1057968139648,94.9018707275391,72.1254196166992,15.1842994689941,455.528991699219,41.7568244934082,3.79607486724854,0.0,2025
160,Mimico-Queensway,24090,224.159408569336,41.5110015869141,132.835205078125,99.6264038085938,41.5110015869141,4209.21533203125,66.4176025390625,0.0,4.15110015869141,2025
159,Etobicoke City Centre,30908,601.785949707031,45.2957153320313,210.301544189453,278.2451171875,187.653686523438,844.441589355469,200.595321655273,16.1770420074463,0.0,2025
