dauid,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous,name,population
24720049,9.0,0.0,0.0,3.7,0.0,3.7,1.1,0.0,0.0,0.0,0.0,89.4,1.6,StatCan area #24720049,940
24720050,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.1,0.0,StatCan area #24720050,505
24720051,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.5,0.0,StatCan area #24720051,420
24720052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.3,3.4,StatCan area #24720052,745
24720053,7.9,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,92.1,0.0,StatCan area #24720053,505
24720054,14.5,0.0,0.0,3.8,0.0,2.3,5.3,0.0,0.0,0.0,0.0,86.3,0.0,StatCan area #24720054,655
24720056,9.8,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,86.6,2.4,StatCan area #24720056,410
24720057,10.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,89.6,0.0,StatCan area #24720057,335
24720058,15.2,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,1.8,StatCan area #24720058,560
24720060,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.4,0.0,StatCan area #24720060,380
24720061,12.5,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,87.5,0.0,StatCan area #24720061,560
24720062,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.7,4.6,StatCan area #24720062,435
24720063,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.1,0.0,StatCan area #24720063,520
24720064,8.3,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,91.7,0.0,StatCan area #24720064,540
24720065,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.1,3.6,StatCan area #24720065,555
24720066,4.3,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,92.0,3.6,StatCan area #24720066,690
24720067,7.3,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,85.5,7.3,StatCan area #24720067,550
24720068,15.3,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.6,6.1,StatCan area #24720068,655
24720069,9.8,0.0,0.0,5.7,0.0,3.3,0.0,0.0,0.0,0.0,0.0,90.2,0.0,StatCan area #24720069,615
24720070,15.4,0.0,0.0,9.4,0.0,5.1,0.0,0.0,0.0,0.0,0.0,83.8,0.0,StatCan area #24720070,585
24720071,2.2,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,98.9,0.0,StatCan area #24720071,445
24720072,8.3,0.0,2.6,2.1,0.0,1.0,1.6,0.0,0.0,0.0,0.0,90.1,1.6,StatCan area #24720072,960
24720074,5.4,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,91.0,2.7,StatCan area #24720074,555
24720075,10.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.9,0.0,StatCan area #24720075,450
24720076,12.2,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,88.7,0.0,StatCan area #24720076,575
24720077,13.4,0.0,0.0,6.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,85.1,0.0,StatCan area #24720077,335
24720078,6.7,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3,0.0,StatCan area #24720078,445
24720080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,StatCan area #24720080,300
