ctuid,name,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous,population
7050028.02,7050028.02,17.5,2.8,1.2,5.2,3.1,1.3,0.7,1.5,0.9,0.0,0.0,71.3,11.1,3435
7050028.03,7050028.03,8.8,2.0,0.2,2.2,3.6,0.0,0.6,0.0,0.0,0.0,0.0,83.4,7.8,4045
7050100.01,7050100.01,15.8,2.1,1.8,3.8,4.2,0.0,0.0,2.9,0.0,0.0,0.0,73.0,11.3,3570
7050100.02,7050100.02,15.4,2.9,2.3,2.9,2.3,0.7,1.4,1.0,0.5,0.8,0.0,79.9,4.7,4895
7050100.03,7050100.03,10.7,2.4,0.2,2.4,2.4,0.3,0.7,0.8,0.0,0.3,0.0,75.6,13.7,5050
7050100.05,7050100.05,6.8,0.8,1.5,2.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,85.9,7.4,2370
7050100.08,7050100.08,20.2,6.6,4.9,2.4,2.2,0.0,1.2,1.3,0.7,0.0,0.5,75.5,4.3,5460
7050100.10,7050100.10,20.7,7.2,2.6,3.5,4.6,0.5,0.0,1.4,0.0,0.2,0.0,71.7,7.5,6420
7050100.11,7050100.11,26.4,6.9,0.7,6.1,5.0,1.2,0.8,0.0,2.8,0.0,0.7,62.0,11.6,3635
7050100.13,7050100.13,22.9,6.1,7.7,2.6,1.1,1.4,0.3,2.3,0.4,0.5,0.0,74.7,2.5,6665
7050100.14,7050100.14,7.1,3.2,0.0,1.6,2.4,0.0,0.0,0.0,0.0,0.0,0.0,84.9,7.9,1260
7050100.15,7050100.15,11.5,2.9,0.4,2.4,3.3,0.0,0.0,1.1,0.0,1.4,0.0,84.7,3.8,4660
7050100.16,7050100.16,12.4,3.0,0.9,2.8,5.5,0.0,0.0,0.0,0.0,0.0,0.0,74.9,12.6,4565
7050100.17,7050100.17,30.7,12.2,0.9,7.2,6.2,1.5,0.3,1.5,0.0,0.0,0.0,62.9,6.4,6340
7050100.18,7050100.18,11.9,4.5,0.6,1.4,1.3,0.0,0.3,2.5,0.0,0.8,0.0,83.0,5.4,3995
7050100.19,7050100.19,37.8,9.5,13.0,3.9,1.2,4.3,0.3,2.3,0.5,1.8,0.2,58.6,3.6,5440
7050100.20,7050100.20,44.4,19.0,6.1,11.9,2.2,0.5,0.2,0.9,1.4,0.3,0.0,51.9,3.7,8015
7050101.01,7050101.01,2.1,0.3,0.0,0.3,0.8,0.0,0.0,0.4,0.0,0.0,0.0,91.5,6.4,5885
7050101.02,7050101.02,5.4,3.1,0.4,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,90.6,4.0,6835
7050102.00,7050102.00,1.8,0.4,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,5.2,5750
7050103.00,7050103.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.4,5.1,975
7050104.00,7050104.00,3.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,89.9,7.1,840
7050106.00,7050106.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.2,25.8,330
4080001.00,4080001.00,2.5,0.0,0.0,1.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,92.5,5.1,3555
4080002.01,4080002.01,4.1,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.2,3.9,2810
4080002.02,4080002.02,3.8,0.0,0.5,1.5,0.0,0.8,0.7,0.0,0.0,0.0,0.0,92.6,3.6,5515
4080003.01,4080003.01,3.2,0.0,0.0,1.5,0.0,0.0,1.2,0.0,0.0,0.0,0.0,92.1,4.7,3750
4080003.02,4080003.02,2.1,0.0,0.3,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,1.9,2885
4080004.00,4080004.00,13.8,0.0,0.5,6.3,0.0,3.6,1.7,0.3,0.5,0.0,0.0,83.5,2.8,3780
4080005.00,4080005.00,6.2,0.0,0.0,4.3,0.0,0.7,0.7,0.4,0.0,0.0,0.0,89.5,4.3,2815
4080006.00,4080006.00,6.3,0.0,0.0,3.1,0.0,1.3,0.7,0.3,0.0,0.0,0.0,89.4,4.3,3030
4080007.00,4080007.00,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,4.9,2450
4080008.00,4080008.00,1.4,0.2,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,94.8,3.9,5145
4080100.00,4080100.00,1.6,0.0,0.5,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,94.8,3.6,4030
4080101.00,4080101.00,1.3,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,94.3,4.3,3715
4080102.00,4080102.00,1.7,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.1,4.4,2625
4080103.01,4080103.01,0.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.6,1.8,3795
4080103.02,4080103.02,1.1,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.4,2.5,3575
