ctuid,name,english,french,mandarin,punjabi,cantonese,spanish,arabic,tagalog,italian,vietnamese,portuguese,urdu,other,population
5350805.21,5350805.21,71.5,0.9,2.1,0.0,1.5,0.0,0.3,1.2,0.0,0.0,0.0,1.5,21.0,1665
5350805.22,5350805.22,62.1,1.0,0.9,1.0,0.9,0.2,0.6,1.4,0.0,0.3,0.1,3.7,27.8,4695
5350805.23,5350805.23,63.0,0.6,1.1,0.5,0.4,0.5,0.6,1.0,0.1,0.1,0.2,4.0,27.9,6965
5350805.24,5350805.24,85.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,335
5350805.25,5350805.25,66.6,0.5,0.8,1.3,0.4,0.3,0.6,1.1,0.1,0.2,0.1,4.0,24.0,9945
5350805.26,5350805.26,87.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,345
5350805.27,5350805.27,67.1,0.8,1.1,0.9,0.5,0.2,0.3,1.3,0.1,0.3,0.2,3.3,23.9,8915
5350806.00,5350806.00,70.0,0.4,1.2,0.4,1.0,0.3,0.3,0.4,0.1,0.0,0.0,3.2,22.7,4845
5350807.00,5350807.00,93.0,0.2,0.4,0.0,0.2,1.1,0.0,0.2,0.2,0.0,0.0,0.0,4.7,2360
5350810.01,5350810.01,83.2,0.6,0.2,0.0,0.1,1.5,2.3,0.7,0.0,0.2,0.1,1.1,10.0,4125
5350810.02,5350810.02,89.4,0.2,0.2,0.6,0.2,0.6,0.6,0.6,0.0,0.0,0.0,0.4,7.2,2400
5350810.03,5350810.03,91.6,0.5,0.2,0.0,0.2,0.3,0.2,0.6,0.2,0.0,0.0,0.0,6.2,3145
5350810.04,5350810.04,89.8,0.6,0.3,0.1,0.2,0.4,0.4,1.0,0.0,0.1,0.3,0.3,6.5,6300
5350810.05,5350810.05,90.0,0.7,0.7,0.0,0.3,0.3,0.4,0.3,0.1,0.0,0.1,0.3,6.8,3640
5350811.00,5350811.00,82.1,0.1,0.1,0.0,0.0,1.1,0.5,2.1,0.0,0.3,0.1,0.9,12.7,3805
5350812.00,5350812.00,81.0,0.5,0.4,0.2,0.6,0.7,0.4,1.7,0.1,0.2,0.2,1.7,12.3,6200
5350820.03,5350820.03,78.9,0.1,1.3,0.8,0.5,0.4,0.5,0.4,0.0,0.1,0.3,3.7,13.0,3885
5350820.04,5350820.04,80.0,0.4,0.4,0.4,0.9,0.2,0.6,0.7,0.2,0.0,0.2,3.0,13.0,2705
5350820.05,5350820.05,79.7,0.4,1.1,0.4,0.4,0.4,0.6,0.8,0.2,0.0,0.2,2.7,13.1,2370
5350820.06,5350820.06,91.2,0.0,0.3,0.0,0.0,0.5,0.3,0.5,0.0,0.0,0.0,0.3,6.9,1990
5350820.07,5350820.07,82.4,0.4,1.5,0.1,0.5,0.2,0.9,0.4,0.2,0.1,0.0,2.4,10.9,4090
5350830.00,5350830.00,92.3,0.1,1.0,0.1,0.7,0.3,0.1,0.0,0.4,0.0,0.1,0.2,4.7,4965
5350831.01,5350831.01,97.7,0.1,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,1.4,5655
5350831.02,5350831.02,97.1,0.2,0.1,0.0,0.1,0.1,0.0,0.2,0.1,0.0,0.1,0.1,1.9,6830
5350832.00,5350832.00,96.8,0.1,0.1,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.4,4025
4420001.00,4420001.00,1.3,94.2,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.2,0.0,0.0,3.3,2690
4420002.00,4420002.00,1.3,94.7,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,3.4,2635
4420003.00,4420003.00,1.5,95.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,2.9,2395
4420004.00,4420004.00,0.5,95.6,0.4,0.0,0.2,0.5,0.6,0.0,0.0,0.0,0.0,0.0,2.2,4185
4420005.00,4420005.00,1.4,92.6,0.5,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2105
4420006.00,4420006.00,1.8,95.8,0.0,0.0,0.0,0.9,0.7,0.0,0.0,0.0,0.0,0.0,0.8,2245
4420007.00,4420007.00,0.7,96.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2195
4420008.00,4420008.00,1.5,89.0,0.4,0.0,0.0,1.5,1.3,0.0,0.0,0.0,0.0,0.0,6.3,2315
4420009.00,4420009.00,1.4,87.1,0.3,0.0,0.0,3.0,3.3,0.0,0.0,0.0,0.0,0.0,4.9,1825
4420010.00,4420010.00,1.1,93.7,0.1,0.0,0.0,1.1,0.7,0.0,0.0,0.0,0.0,0.0,3.3,4140
4420011.00,4420011.00,0.8,93.4,0.0,0.0,0.0,2.3,0.6,0.0,0.0,0.0,0.0,0.0,2.9,2435
4420012.01,4420012.01,1.0,88.7,0.1,0.0,0.0,1.5,1.9,0.0,0.0,0.3,0.3,0.0,6.2,3410
4420012.02,4420012.02,0.7,94.0,0.0,0.0,0.0,1.3,0.8,0.2,0.0,0.1,0.1,0.0,2.8,4335
4420013.01,4420013.01,0.7,95.6,0.2,0.0,0.0,1.1,0.2,0.0,0.0,0.0,0.3,0.0,1.9,8020
4420013.02,4420013.02,1.1,95.2,0.0,0.0,0.0,0.5,0.8,0.0,0.0,0.0,0.3,0.0,2.1,3770
4420013.03,4420013.03,0.9,96.6,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3280
4420100.01,4420100.01,0.9,95.1,0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.1,0.0,2.3,6810
4420100.02,4420100.02,1.0,96.8,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.3,0.0,1.4,4480
4420101.02,4420101.02,0.9,95.7,0.1,0.0,0.0,1.0,0.3,0.0,0.0,0.0,0.1,0.0,1.9,7410
4420101.03,4420101.03,0.8,95.0,0.3,0.0,0.0,1.6,0.4,0.0,0.0,0.0,0.1,0.0,1.8,3675
4420101.04,4420101.04,0.7,95.3,0.1,0.0,0.0,0.9,0.1,0.0,0.0,0.3,0.0,0.0,2.6,4440
4420102.00,4420102.00,0.8,98.1,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.6,9665
4420200.00,4420200.00,1.0,96.7,0.1,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.6,5105
4420201.00,4420201.00,0.8,97.7,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2580
4420202.00,4420202.00,0.5,97.9,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.1,2125
4420203.00,4420203.00,0.7,97.7,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2860
4420204.00,4420204.00,0.8,97.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.3,4430
4420205.01,4420205.01,0.7,97.9,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9,6360
4420205.02,4420205.02,0.8,96.5,0.1,0.0,0.0,0.7,0.4,0.0,0.0,0.0,0.1,0.0,1.4,5505
4420205.03,4420205.03,1.1,95.8,0.1,0.0,0.0,1.5,0.1,0.0,0.0,0.0,0.0,0.0,1.4,4040
4420210.00,4420210.00,0.7,98.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8,7635
4420211.00,4420211.00,0.7,98.1,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7,7720
4420212.00,4420212.00,0.6,98.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3405
4420213.00,4420213.00,0.8,98.3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1805
4420300.01,4420300.01,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195
4420300.02,4420300.02,0.4,98.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,8080
4420301.00,4420301.00,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
4420302.00,4420302.00,0.8,98.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5030
4420303.00,4420303.00,0.0,98.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,520
4420304.00,4420304.00,0.4,98.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2800
9330001.01,9330001.01,68.1,0.2,2.2,0.5,9.2,1.5,0.2,2.8,0.1,0.7,0.1,0.2,14.2,6005
9330001.02,9330001.02,63.0,0.4,5.0,0.3,12.1,1.4,0.4,1.8,0.1,0.6,1.1,0.6,13.2,8175
9330002.01,9330002.01,64.8,0.6,2.5,1.4,12.3,1.7,0.4,1.7,0.1,0.9,1.3,0.1,12.2,6945
9330002.03,9330002.03,45.1,0.1,4.2,5.2,26.5,1.2,0.0,2.9,0.1,3.1,0.0,0.1,11.5,3910
9330002.04,9330002.04,59.3,0.3,2.2,3.6,12.7,1.6,0.5,2.4,0.2,1.0,0.2,0.1,15.9,4360
9330003.01,9330003.01,43.5,0.1,1.8,17.2,10.4,0.8,0.3,4.9,0.0,2.6,0.1,0.4,17.9,3690
9330003.02,9330003.02,41.0,0.2,1.5,20.4,6.8,0.7,0.1,7.1,0.0,2.0,0.2,0.3,19.7,4420
9330004.01,9330004.01,47.2,0.1,15.8,1.9,14.1,1.4,0.1,2.3,0.0,0.5,0.7,0.2,15.7,6930
9330004.02,9330004.02,43.7,0.1,2.4,16.4,7.1,1.1,0.1,7.1,0.1,1.5,0.3,0.5,19.6,5540
9330005.00,9330005.00,66.4,0.7,4.5,0.4,2.4,1.4,0.3,5.3,0.1,0.3,1.0,0.2,17.0,7150
9330006.01,9330006.01,48.8,0.5,15.7,0.4,16.6,0.8,0.1,1.7,0.0,0.4,0.1,0.0,14.9,4995
9330006.02,9330006.02,50.3,0.3,14.5,0.6,16.2,1.0,0.1,1.8,0.0,0.4,0.5,0.0,14.3,5795
9330007.01,9330007.01,57.9,0.2,14.8,0.3,12.6,0.4,0.2,1.0,0.0,0.1,0.3,0.1,12.1,5725
9330007.02,9330007.02,60.0,0.4,19.0,0.1,9.9,0.5,0.1,0.2,0.0,0.1,0.1,0.1,9.5,4260
9330008.01,9330008.01,90.0,0.0,2.4,0.0,1.2,0.0,0.0,0.0,0.3,0.0,0.6,0.0,5.5,1645
9330008.02,9330008.02,74.3,0.4,11.6,0.2,4.3,0.6,0.0,0.0,0.1,0.0,0.0,0.0,8.5,4210
9330009.00,9330009.00,64.1,0.6,15.8,0.0,5.7,1.2,0.3,0.3,0.1,0.0,0.6,0.3,11.0,7165
9330010.01,9330010.01,49.9,0.3,16.3,0.5,14.2,1.1,0.3,1.2,0.1,0.3,0.5,0.2,15.1,5445
9330010.02,9330010.02,48.0,0.1,15.7,1.4,15.0,0.8,0.2,0.6,0.0,0.6,1.6,0.2,15.8,5115
9330011.00,9330011.00,50.7,0.1,3.5,12.2,9.3,1.5,0.2,4.0,0.0,0.4,0.2,0.5,17.4,6910
9330012.01,9330012.01,58.9,0.2,8.1,2.1,14.5,1.2,0.0,1.5,0.1,0.6,0.6,0.0,12.2,4455
9330012.02,9330012.02,64.6,0.2,1.6,5.0,4.8,1.9,0.1,5.3,0.0,0.7,0.2,0.1,15.5,4030
9330013.01,9330013.01,49.3,0.4,2.3,5.6,15.8,1.3,0.4,4.9,0.2,2.6,0.7,0.2,16.3,6635
9330013.03,9330013.03,43.8,0.2,1.9,17.9,8.3,1.7,0.4,5.5,0.1,1.4,0.5,0.6,17.7,5210
9330013.04,9330013.04,43.0,0.1,2.5,8.9,20.7,1.1,0.0,4.6,0.1,3.2,0.3,0.3,15.2,3580
