ctuid,name,christian,no_religion,muslim,hindu,sikh,buddhist,jewish,indigenous_spirituality,other_religion,population
5350528.57,5350528.57,40.4,17.7,18.3,14.0,4.4,3.8,0.0,0.0,1.2,4060
5350528.58,5350528.58,52.8,16.8,14.9,9.6,2.5,3.1,0.0,0.0,0.0,4165
5350528.59,5350528.59,36.0,12.0,31.2,14.0,3.9,2.3,0.0,0.0,0.6,4130
5350528.60,5350528.60,43.6,16.0,15.0,17.8,3.5,4.0,0.0,0.0,0.0,3590
5350528.61,5350528.61,54.3,16.7,14.4,10.1,0.8,3.4,0.0,0.0,0.5,3865
5350528.62,5350528.62,43.2,16.2,17.8,8.6,12.9,1.3,0.0,0.0,0.0,1515
5350528.63,5350528.63,34.3,10.8,16.7,20.7,11.5,4.7,0.0,0.0,1.2,6040
5350529.01,5350529.01,27.5,9.2,15.9,12.6,34.2,0.0,0.0,0.0,0.6,4140
5350529.02,5350529.02,28.4,6.7,9.1,20.2,35.3,0.2,0.0,0.0,0.0,4630
5350530.01,5350530.01,42.5,12.5,18.3,11.4,14.0,0.7,0.0,0.0,0.7,5140
5350530.02,5350530.02,35.3,10.0,19.8,14.3,19.8,0.8,0.0,0.0,0.0,3185
5350531.01,5350531.01,40.5,14.5,13.7,16.5,14.1,0.0,0.0,0.0,0.4,4220
5350531.02,5350531.02,41.3,6.1,15.8,14.4,21.6,0.9,0.0,0.0,0.0,6290
5350532.01,5350532.01,28.2,6.7,4.3,17.6,42.0,1.1,0.0,0.0,0.0,4270
5350532.02,5350532.02,39.8,7.5,9.9,19.4,22.5,1.0,0.0,0.0,0.0,4560
5350540.01,5350540.01,56.7,34.3,5.2,1.5,0.4,0.3,0.6,0.0,1.0,4700
5350540.02,5350540.02,56.4,34.1,4.5,2.2,0.8,0.5,0.8,0.0,0.7,5510
5350550.01,5350550.01,66.9,20.6,6.0,3.9,1.0,0.9,0.3,0.0,0.5,4640
