ctuid,name,canadian_born,naturalized,non_citizens,npr,population
8250001.03,8250001.03,88.8,9.7,1.8,0.0,1965
8250001.04,8250001.04,80.2,14.1,5.9,0.2,5545
8250001.05,8250001.05,88.2,9.9,1.9,0.0,2920
8250001.06,8250001.06,86.7,11.0,2.1,0.0,3495
8250001.07,8250001.07,78.3,14.0,7.8,1.2,5830
8250001.08,8250001.08,79.0,14.7,6.3,1.3,4905
8250001.09,8250001.09,75.0,19.8,5.2,0.5,5830
8250001.10,8250001.10,81.9,14.4,3.7,0.4,2540
8250001.11,8250001.11,74.8,16.4,8.9,1.1,4560
8250001.13,8250001.13,73.6,20.0,6.3,0.6,4435
8250001.14,8250001.14,82.5,14.7,2.8,0.0,2310
8250001.17,8250001.17,74.2,20.2,5.7,0.2,4315
8250001.22,8250001.22,82.0,15.2,2.9,0.0,4105
8250001.23,8250001.23,83.5,12.9,3.6,0.0,3055
8250001.25,8250001.25,57.9,27.6,14.7,1.4,6655
8250001.28,8250001.28,60.4,24.5,15.1,1.1,4145
8250001.29,8250001.29,54.9,33.3,11.8,1.6,4380
8250001.30,8250001.30,53.6,32.0,14.4,1.4,6245
8250001.32,8250001.32,79.5,15.9,4.7,0.0,5580
8250001.33,8250001.33,83.7,13.4,2.8,0.0,3015
8250001.35,8250001.35,48.6,33.7,17.7,0.8,4545
8250001.37,8250001.37,52.7,29.9,17.5,1.4,4600
8250001.38,8250001.38,51.6,33.0,15.4,1.6,5635
8250001.39,8250001.39,50.7,31.0,18.3,1.4,6910
8250001.40,8250001.40,46.0,27.5,26.5,2.7,2075
8250001.41,8250001.41,55.9,35.5,8.9,0.9,2820
8250001.42,8250001.42,53.0,32.9,14.1,1.8,6935
8250001.43,8250001.43,51.3,35.5,13.2,0.8,5020
8250001.44,8250001.44,48.3,38.8,12.7,0.9,2680
8250001.45,8250001.45,75.8,19.0,5.2,0.4,3905
8250001.46,8250001.46,53.2,33.8,12.9,2.2,4630
8250001.47,8250001.47,57.4,24.8,17.6,0.9,3430
8250001.48,8250001.48,61.4,25.5,13.1,1.1,8125
8250001.49,8250001.49,64.8,30.0,5.2,0.6,4260
8250001.50,8250001.50,57.1,32.2,11.0,2.0,2050
8250002.02,8250002.02,63.5,22.9,13.5,0.9,7215
8250002.04,8250002.04,83.9,12.5,3.6,0.0,560
8250002.06,8250002.06,79.2,18.5,2.4,0.0,3815
8250002.07,8250002.07,80.7,15.6,3.7,0.4,4860
8250002.08,8250002.08,71.5,20.4,8.2,0.3,4340
8250002.09,8250002.09,78.5,15.0,6.6,1.4,3645
8250002.10,8250002.10,83.7,12.0,4.3,0.0,3920
8250002.11,8250002.11,83.4,13.2,3.2,0.0,3860
8250002.12,8250002.12,77.0,18.4,4.5,0.0,1870
8250002.14,8250002.14,72.4,19.2,8.5,1.9,4825
8250002.15,8250002.15,76.3,19.9,3.6,0.8,4290
8250002.17,8250002.17,79.7,14.5,5.8,0.9,2245
8250002.18,8250002.18,79.7,13.6,6.7,0.6,6725
8250002.22,8250002.22,74.0,19.2,6.9,0.7,4985
8250002.24,8250002.24,66.2,18.4,15.6,2.5,3945
8250002.25,8250002.25,80.8,12.6,6.4,0.3,4590
8250002.26,8250002.26,67.3,23.7,8.9,0.8,3580
8250002.27,8250002.27,66.9,25.3,7.8,0.2,4245
8250002.28,8250002.28,67.3,20.9,11.8,1.1,5215
8250002.29,8250002.29,71.2,18.6,10.1,0.6,4500
8250002.30,8250002.30,73.2,17.9,8.9,0.2,5160
8250002.31,8250002.31,64.2,19.8,15.9,0.9,4290
8250002.32,8250002.32,76.7,16.9,6.3,0.4,3495
8250002.33,8250002.33,74.1,21.1,4.8,0.0,2990
8250002.34,8250002.34,75.7,17.4,6.8,1.6,4965
8250002.35,8250002.35,65.4,20.9,13.8,1.9,3395
8250002.36,8250002.36,70.6,16.6,12.6,1.8,3245
8250002.37,8250002.37,73.0,17.9,8.9,0.5,3300
8250002.38,8250002.38,67.2,20.2,12.6,1.9,14185
8250002.39,8250002.39,71.6,21.5,6.9,0.4,6645
8250002.40,8250002.40,71.9,21.6,6.5,0.4,9220
8250003.00,8250003.00,85.9,10.3,3.9,0.0,3110
8250004.00,8250004.00,80.1,14.6,5.5,2.5,3015
8250005.00,8250005.00,71.6,18.8,9.4,0.5,2075
8250006.00,8250006.00,71.2,16.0,12.8,1.9,6095
8250007.01,8250007.01,78.2,15.5,6.2,0.8,5700
8250007.02,8250007.02,73.5,17.1,9.4,2.0,5935
8250007.03,8250007.03,80.1,16.4,3.6,0.3,5620
8250007.05,8250007.05,79.9,17.9,2.2,0.0,670
8250007.06,8250007.06,75.4,16.4,8.2,1.3,3360
8250007.07,8250007.07,68.8,24.6,6.2,0.0,1380
8250008.00,8250008.00,85.8,9.0,5.1,0.7,2820
8250009.00,8250009.00,75.1,12.3,12.3,1.8,2515
8250010.00,8250010.00,63.5,20.2,16.1,2.5,6990
8250011.00,8250011.00,84.7,11.6,3.8,1.1,3265
8250012.00,8250012.00,73.0,14.4,12.6,1.2,3895
8250013.00,8250013.00,62.4,19.1,18.5,3.2,4675
8250014.00,8250014.00,79.9,13.2,6.9,1.4,4570
8250015.00,8250015.00,86.6,9.3,4.2,0.9,3425
8250016.00,8250016.00,83.6,11.4,5.0,0.4,4655
8250017.01,8250017.01,70.5,18.5,10.9,1.0,4945
8250017.03,8250017.03,71.4,16.6,12.0,2.4,3590
8250017.04,8250017.04,63.3,26.8,10.0,1.7,4370
8250017.05,8250017.05,60.0,28.9,11.1,2.1,3525
8250017.06,8250017.06,61.5,29.6,8.8,0.9,5105
8250018.01,8250018.01,79.4,13.6,6.9,0.7,2985
8250018.02,8250018.02,77.9,16.8,5.5,0.0,2080
8250019.00,8250019.00,73.1,14.3,12.6,1.8,5015
8250020.00,8250020.00,74.2,14.1,11.7,2.3,5110
8250021.01,8250021.01,76.6,14.3,9.3,2.5,2805
8250021.02,8250021.02,78.8,15.6,5.9,1.8,1955
8250022.01,8250022.01,80.7,13.5,5.7,1.2,4630
8250022.02,8250022.02,78.7,15.2,6.3,1.4,2955
8250023.00,8250023.00,83.8,11.3,4.8,0.6,5290
8250024.00,8250024.00,80.5,10.8,8.7,2.6,7065
8250025.00,8250025.00,76.7,14.5,8.8,1.5,5295
8250026.00,8250026.00,72.6,14.0,13.4,2.9,3425
8250027.01,8250027.01,70.0,18.0,12.0,3.6,3030
8250027.02,8250027.02,79.8,12.5,8.0,3.5,1880
8250027.03,8250027.03,76.6,15.3,7.8,3.3,1795
8250028.00,8250028.00,86.6,10.7,2.7,0.5,3915
8250029.00,8250029.00,70.0,19.9,10.2,2.3,7055
8250030.00,8250030.00,70.1,17.2,12.7,3.9,4775
8250031.01,8250031.01,61.5,21.2,17.3,5.7,5095
8250031.02,8250031.02,73.7,14.0,12.3,4.3,4505
8250032.00,8250032.00,85.3,8.3,6.7,0.9,2175
8250033.01,8250033.01,84.7,10.2,5.1,0.8,3235
8250033.02,8250033.02,82.6,12.0,5.5,0.3,5095
8250034.00,8250034.00,85.4,9.7,5.1,1.7,4130
8250035.01,8250035.01,73.4,17.9,8.7,0.8,6915
8250035.02,8250035.02,80.4,14.9,4.7,0.0,1580
8250036.01,8250036.01,75.2,15.8,8.8,1.2,3735
8250036.02,8250036.02,70.9,18.4,10.7,1.9,3175
8250037.00,8250037.00,63.5,15.9,20.6,2.3,4055
8250038.02,8250038.02,62.5,28.0,9.5,0.3,3985
8250038.03,8250038.03,48.9,28.3,22.6,1.8,3975
8250038.04,8250038.04,57.2,27.2,15.7,2.3,5985
8250038.05,8250038.05,58.5,25.1,16.5,0.7,4685
8250038.06,8250038.06,66.3,20.5,13.2,1.1,6535
8250038.07,8250038.07,60.5,23.0,16.5,0.7,4375
8250038.08,8250038.08,48.2,28.5,23.3,1.5,4935
8250038.10,8250038.10,50.5,35.4,14.1,0.8,5360
8250038.11,8250038.11,47.6,31.4,20.9,3.0,5185
8250038.12,8250038.12,61.6,26.8,11.8,0.7,5100
8250038.13,8250038.13,52.1,29.7,18.1,2.4,5245
8250038.14,8250038.14,57.0,25.2,17.9,1.1,5625
8250038.15,8250038.15,45.5,34.2,20.3,3.1,5840
8250038.17,8250038.17,56.3,23.8,20.0,3.6,6035
8250038.18,8250038.18,45.0,29.4,25.4,4.9,6130
8250038.20,8250038.20,46.9,34.7,18.3,2.6,6830
8250038.21,8250038.21,67.5,19.5,12.9,1.5,5300
8250038.22,8250038.22,52.0,38.0,9.9,1.5,4760
8250038.23,8250038.23,58.5,25.3,16.1,1.6,4750
8250038.24,8250038.24,44.0,39.7,16.3,1.4,5715
8250038.25,8250038.25,59.7,26.8,13.6,0.6,4900
8250038.27,8250038.27,40.4,44.8,14.8,3.1,5610
8250038.28,8250038.28,44.1,30.2,25.6,3.4,4290
8250038.30,8250038.30,42.4,32.0,25.5,4.4,5410
8250038.35,8250038.35,31.7,33.5,34.8,4.5,9930
8250038.36,8250038.36,34.1,34.5,31.4,3.4,12830
8250038.37,8250038.37,41.6,25.8,32.6,3.8,6605
8250038.38,8250038.38,40.9,36.4,22.6,2.3,7415
8250038.39,8250038.39,38.2,37.8,24.0,3.7,3795
8250038.40,8250038.40,29.0,43.3,27.8,6.2,4710
8250038.41,8250038.41,31.8,35.4,32.8,4.6,3675
8250038.42,8250038.42,31.7,41.4,26.9,5.4,3600
8250038.43,8250038.43,32.3,35.6,32.0,6.6,5040
8250038.44,8250038.44,33.0,40.0,27.0,4.5,4350
8250038.45,8250038.45,43.0,35.2,21.9,5.6,4185
8250038.46,8250038.46,35.5,34.7,29.8,7.8,4145
8250038.47,8250038.47,33.8,42.7,23.5,4.8,5020
8250038.48,8250038.48,38.2,36.1,25.5,3.7,4580
8250038.49,8250038.49,38.1,34.7,27.3,6.9,4470
8250039.00,8250039.00,59.2,22.8,18.1,1.6,6725
8250040.00,8250040.00,73.5,16.8,9.7,0.5,5925
8250041.00,8250041.00,74.1,17.1,8.9,1.7,6350
8250042.01,8250042.01,51.3,27.2,21.5,6.8,4425
8250042.02,8250042.02,64.9,19.1,15.4,4.3,940
8250043.00,8250043.00,46.9,24.9,28.2,11.3,7415
8250044.00,8250044.00,66.1,17.7,16.3,5.8,9260
8250045.01,8250045.01,58.8,18.1,23.1,4.5,3565
8250045.02,8250045.02,59.7,19.3,21.0,7.1,6115
8250046.01,8250046.01,43.2,24.8,32.0,10.7,7315
8250046.02,8250046.02,70.3,15.3,14.5,3.5,4595
8250047.00,8250047.00,61.5,19.4,18.9,2.2,5305
8250048.00,8250048.00,68.6,17.0,14.3,3.8,5995
8250049.01,8250049.01,80.0,13.9,6.2,1.2,4145
8250049.04,8250049.04,74.9,18.0,7.2,0.5,3330
8250049.05,8250049.05,64.6,25.7,9.7,2.4,4220
8250049.06,8250049.06,76.5,18.1,5.4,1.5,4260
8250049.07,8250049.07,62.0,28.7,9.6,1.3,1880
8250050.01,8250050.01,80.7,11.6,7.7,1.5,3960
8250050.07,8250050.07,85.2,8.9,6.1,0.0,2975
8250050.10,8250050.10,65.4,24.5,10.2,1.2,8055
8250050.12,8250050.12,66.6,25.5,7.9,1.7,6600
8250050.13,8250050.13,58.9,26.9,14.2,2.5,3235
8250050.14,8250050.14,74.1,19.6,6.1,0.6,4330
8250050.15,8250050.15,73.9,18.8,7.4,1.9,3600
8250050.16,8250050.16,56.4,28.6,15.0,3.2,5535
8250050.17,8250050.17,77.7,18.2,4.1,0.7,5370
8250050.18,8250050.18,67.1,27.0,5.7,1.1,2295
8250050.19,8250050.19,64.8,27.6,7.5,1.3,7165
8250050.20,8250050.20,60.0,20.0,0.0,0.0,50
8250050.21,8250050.21,69.9,22.0,7.9,1.3,2390
8250050.22,8250050.22,59.1,29.1,11.8,1.9,3865
8250051.00,8250051.00,82.0,10.3,7.8,1.6,4885
8250052.01,8250052.01,78.2,16.5,5.2,0.4,3875
8250052.02,8250052.02,85.5,10.2,4.3,0.6,3525
8250052.03,8250052.03,76.7,19.0,4.2,0.8,3650
8250052.04,8250052.04,67.1,19.3,13.6,5.8,4425
8250052.06,8250052.06,79.3,16.7,4.1,0.4,3915
8250052.07,8250052.07,71.1,24.6,4.5,0.9,3930
8250052.09,8250052.09,74.9,18.2,7.0,1.3,5970
8250052.10,8250052.10,68.7,21.5,9.7,1.8,4875
8250052.11,8250052.11,80.6,15.4,4.2,0.3,5060
8250052.12,8250052.12,80.2,15.2,4.5,0.0,4075
8250053.00,8250053.00,79.6,14.4,6.0,1.2,5510
8250054.00,8250054.00,79.7,13.7,6.5,1.9,3975
8250055.00,8250055.00,79.0,15.6,5.5,2.9,2910
8250056.00,8250056.00,79.1,14.1,6.7,1.8,5715
8250057.00,8250057.00,77.6,14.8,7.7,2.0,5620
8250058.00,8250058.00,78.9,12.3,8.8,4.6,6605
8250059.00,8250059.00,71.8,17.7,10.6,2.5,6730
8250060.00,8250060.00,80.8,13.5,5.6,0.8,4980
8250061.00,8250061.00,65.8,23.6,10.6,2.1,3025
8250062.00,8250062.00,76.1,15.5,8.5,2.3,5265
8250063.00,8250063.00,78.1,14.3,7.6,2.3,4955
8250064.00,8250064.00,76.7,11.1,12.2,5.4,5820
8250065.00,8250065.00,64.3,16.0,19.7,11.4,3805
8250066.02,8250066.02,63.2,16.9,19.8,7.8,5135
8250066.03,8250066.03,56.6,13.5,29.8,16.1,3920
8250067.00,8250067.00,52.8,17.2,30.1,18.0,3340
8250068.00,8250068.00,77.1,14.4,8.3,4.5,2885
8250069.00,8250069.00,82.9,12.4,4.7,1.2,2135
8250070.00,8250070.00,80.5,12.7,6.8,2.4,2515
8250071.00,8250071.00,87.7,7.3,5.1,0.8,3140
8250072.00,8250072.00,73.1,15.4,11.6,1.9,6160
8250073.00,8250073.00,69.9,17.7,12.5,2.7,2405
8250074.00,8250074.00,81.2,12.7,5.9,1.0,3460
8250075.01,8250075.01,64.4,20.6,15.3,1.5,3080
8250075.02,8250075.02,65.1,20.1,14.9,2.6,4175
8250076.01,8250076.01,68.9,18.3,12.8,1.8,2765
8250076.02,8250076.02,67.4,19.5,13.1,1.6,3050
8250076.03,8250076.03,80.3,14.5,5.3,0.7,4325
8250076.04,8250076.04,73.1,17.2,9.7,0.9,3925
8250076.05,8250076.05,70.3,17.6,12.0,2.6,3320
8250076.06,8250076.06,63.8,22.3,14.0,0.7,4465
8250076.09,8250076.09,69.1,23.2,7.9,0.6,4705
8250076.13,8250076.13,64.3,24.6,11.0,2.5,7720
8250076.14,8250076.14,57.1,34.0,9.0,0.9,5785
8250076.15,8250076.15,68.1,22.5,9.6,0.9,2180
8250076.19,8250076.19,52.8,39.9,7.1,1.2,3360
8250076.20,8250076.20,57.4,29.0,13.5,1.5,3660
8250076.23,8250076.23,64.3,24.8,11.0,0.5,4565
8250076.24,8250076.24,63.1,26.2,10.7,1.1,5495
8250076.25,8250076.25,56.0,31.0,13.1,1.4,3885
8250076.26,8250076.26,54.5,30.3,15.1,1.4,6970
8250076.27,8250076.27,62.0,28.8,9.2,1.8,4525
8250076.28,8250076.28,58.9,29.5,11.7,1.8,3540
8250076.29,8250076.29,35.7,38.7,25.5,1.9,2840
8250076.30,8250076.30,47.1,34.9,18.0,3.0,7115
8250076.31,8250076.31,49.6,39.3,11.1,0.4,7040
8250076.32,8250076.32,48.1,41.7,10.2,1.2,3805
8250076.33,8250076.33,46.6,38.1,15.3,1.4,4215
8250076.34,8250076.34,61.1,24.2,14.7,1.4,3535
8250076.35,8250076.35,63.4,25.7,10.8,1.5,4335
8250076.37,8250076.37,59.5,27.1,13.3,0.5,4920
8250076.38,8250076.38,61.6,26.5,12.2,1.7,2380
8250076.39,8250076.39,56.3,27.7,16.1,1.9,2415
8250077.01,8250077.01,72.6,14.9,12.4,5.5,2375
8250077.02,8250077.02,60.2,22.1,17.7,5.2,5525
8250077.03,8250077.03,68.4,22.6,9.0,1.7,3005
8250077.04,8250077.04,70.9,19.7,9.5,1.3,5080
8250077.06,8250077.06,58.0,28.0,14.0,2.0,4070
8250077.13,8250077.13,64.3,29.6,6.1,0.3,3295
8250077.14,8250077.14,62.4,30.0,7.5,0.3,3735
8250077.16,8250077.16,47.5,42.1,10.4,2.0,6145
8250077.17,8250077.17,52.4,32.8,14.8,2.2,5045
8250077.19,8250077.19,70.7,21.9,7.3,0.9,4785
8250077.20,8250077.20,69.3,24.6,6.1,0.6,5165
8250077.21,8250077.21,61.5,27.4,11.1,3.7,5325
8250077.22,8250077.22,63.2,28.7,8.1,0.8,5015
8250077.23,8250077.23,57.3,28.6,14.0,1.9,5685
8250077.24,8250077.24,58.8,31.2,10.0,1.8,4510
8250077.25,8250077.25,62.2,25.9,11.9,2.8,5870
8250077.26,8250077.26,56.7,32.2,11.1,1.5,5705
8250077.27,8250077.27,60.6,24.6,14.6,2.9,3925
8250077.28,8250077.28,63.7,26.8,9.5,1.6,4265
8250077.30,8250077.30,55.4,36.1,8.5,0.8,5455
8250077.31,8250077.31,51.1,40.7,8.3,0.5,3180
8250077.32,8250077.32,40.0,50.0,9.9,1.9,4160
8250077.33,8250077.33,44.3,40.9,14.8,2.4,2875
8250077.34,8250077.34,46.9,37.8,15.4,2.0,3415
8250077.35,8250077.35,52.2,33.6,14.0,2.5,1965
8250077.36,8250077.36,50.1,31.3,18.7,2.5,3375
8250077.37,8250077.37,63.0,29.0,8.0,0.0,4490
8250077.38,8250077.38,49.9,30.6,19.6,3.6,3370
8250077.39,8250077.39,41.1,40.1,18.8,2.5,5240
8250077.40,8250077.40,70.5,24.9,4.6,0.0,2085
8250077.41,8250077.41,77.0,17.6,5.6,0.4,2410
8250200.03,8250200.03,83.9,10.4,6.0,1.2,2415
8250200.05,8250200.05,80.8,16.9,2.4,0.2,5070
8250200.06,8250200.06,82.6,14.3,2.9,0.5,5085
8250201.01,8250201.01,77.5,19.2,3.4,0.5,7390
8250201.02,8250201.02,88.6,6.9,4.5,0.6,4115
8250202.01,8250202.01,48.9,28.7,22.3,1.5,3915
8250202.02,8250202.02,88.2,6.9,4.9,0.0,720
8250202.03,8250202.03,92.6,3.2,4.2,0.0,3600
8250202.04,8250202.04,91.3,7.5,1.2,0.0,2880
8250203.00,8250203.00,91.9,6.1,2.0,0.0,3930
8250204.01,8250204.01,92.0,6.1,1.9,0.0,6725
8250204.03,8250204.03,70.3,24.6,5.0,0.6,4795
