ctuid,name,population,share_0_14,share_15_64,share_65_plus,share_85_plus,median_age
4620285.00,4620285.00,6335,18.2,59.6,22.2,7.7,42.8
4620286.00,4620286.00,5435,23.2,64.7,12.1,1.7,36.0
4620287.01,4620287.01,6635,21.9,67.7,10.6,1.1,36.4
4620287.02,4620287.02,4740,18.6,57.8,23.6,5.2,43.6
4620288.00,4620288.00,1470,16.3,51.7,32.0,10.9,51.2
4620290.01,4620290.01,2710,18.6,64.9,16.4,1.7,42.4
4620290.02,4620290.02,5710,14.4,64.3,21.4,2.3,46.0
4620290.03,4620290.03,4265,17.0,63.8,19.1,1.9,42.4
4620290.04,4620290.04,6880,16.7,66.4,16.8,1.5,42.4
4620290.05,4620290.05,5155,11.3,50.0,38.7,11.1,56.4
4620290.06,4620290.06,5325,16.6,60.7,22.8,2.1,45.6
4620290.07,4620290.07,4010,17.7,63.0,19.3,2.5,43.6
4620290.08,4620290.08,4115,14.5,63.3,22.1,2.1,46.8
4620290.09,4620290.09,4930,16.2,62.4,21.4,2.1,44.8
4620291.01,4620291.01,3900,16.9,66.8,16.3,1.0,42.0
4620291.03,4620291.03,5850,21.1,69.8,9.1,0.3,38.0
4620291.04,4620291.04,5220,19.7,72.6,7.7,0.5,38.4
4620300.00,4620300.00,2800,7.5,72.1,20.2,5.2,40.4
4620301.00,4620301.00,5190,11.1,73.9,15.1,2.6,36.8
4620302.00,4620302.00,2925,13.3,77.8,8.5,0.3,34.8
4620303.00,4620303.00,2375,13.7,76.6,9.9,1.1,34.8
4620304.00,4620304.00,3190,13.2,69.7,17.2,2.2,38.4
4620305.00,4620305.00,3970,10.6,74.4,15.0,1.0,37.2
4620306.00,4620306.00,2780,12.2,75.0,12.8,1.3,35.6
4620307.00,4620307.00,3030,11.6,80.4,8.3,0.8,34.0
4620308.00,4620308.00,2690,12.8,78.3,8.7,0.7,33.6
4620309.00,4620309.00,1350,16.3,70.4,13.3,1.5,39.2
4620310.00,4620310.00,3395,16.9,68.6,14.4,1.2,39.2
4620311.00,4620311.00,4095,13.3,68.5,18.1,3.2,38.0
4620312.00,4620312.00,3165,15.6,67.1,17.1,1.4,40.8
4620313.00,4620313.00,3220,16.1,67.1,16.8,2.3,41.6
4620314.00,4620314.00,2445,16.0,66.9,17.4,2.0,40.8
4620316.00,4620316.00,2175,19.3,62.5,17.9,2.8,45.2
4620317.03,4620317.03,4450,14.7,62.7,22.5,1.6,47.6
4620317.05,4620317.05,3545,21.2,64.7,14.0,1.3,39.2
4620317.06,4620317.06,4945,12.6,59.3,28.0,1.8,51.2
4620317.07,4620317.07,5410,10.5,55.5,33.8,6.2,53.6
4620317.08,4620317.08,3220,18.8,62.0,19.1,1.4,41.2
4620320.00,4620320.00,4810,18.1,64.8,17.3,1.7,40.8
4620321.00,4620321.00,2920,16.4,68.5,15.1,1.7,40.8
4620322.02,4620322.02,3845,16.1,64.8,19.0,2.2,44.4
4620322.03,4620322.03,4935,14.5,60.3,25.2,4.2,45.6
4620322.04,4620322.04,3355,9.5,49.3,41.1,11.6,58.8
4620323.00,4620323.00,3120,15.7,60.6,23.9,5.9,44.8
4620324.01,4620324.01,4730,16.9,66.9,16.3,2.0,40.0
4620324.02,4620324.02,2895,17.8,66.0,16.2,1.4,38.8
4620325.01,4620325.01,3815,17.7,63.3,19.0,2.4,40.4
4620325.02,4620325.02,6730,16.9,63.7,19.2,2.7,38.8
4620325.03,4620325.03,3760,16.6,64.2,19.1,2.7,40.0
4620325.05,4620325.05,9825,11.7,62.8,25.4,5.8,43.2
4620325.06,4620325.06,4835,13.1,65.8,21.1,2.0,43.2
4620326.01,4620326.01,2895,15.2,67.2,17.6,1.9,39.2
4620326.02,4620326.02,3780,15.2,66.3,18.5,6.3,40.8
4620326.03,4620326.03,5000,16.0,66.6,17.5,2.2,39.2
4620327.00,4620327.00,4885,17.2,65.6,17.4,1.6,40.8
4620328.00,4620328.00,1875,23.7,60.8,15.7,1.3,38.0
4620329.00,4620329.00,4220,19.3,67.2,13.4,1.1,38.4
4620330.00,4620330.00,5485,18.1,68.9,13.0,1.5,38.4
4620340.00,4620340.00,5115,18.8,62.9,18.4,1.6,43.2
4620350.00,4620350.00,2595,13.9,58.8,27.0,7.5,46.0
4620351.00,4620351.00,5000,9.3,49.3,41.4,8.9,58.0
4620352.00,4620352.00,2745,13.8,55.7,30.4,6.9,48.4
4620353.00,4620353.00,2875,18.1,60.2,21.7,2.8,44.4
4620354.00,4620354.00,3035,19.1,63.6,17.6,1.8,44.8
4620355.00,4620355.00,1425,14.0,59.3,26.7,5.6,50.4
4620356.00,4620356.00,1980,16.7,61.6,21.7,1.8,46.0
4620360.00,4620360.00,1950,17.7,60.3,21.8,1.8,46.0
4620361.00,4620361.00,1725,13.6,58.6,27.5,9.6,43.6
4620362.00,4620362.00,2305,21.5,58.1,20.4,3.0,42.4
4620363.00,4620363.00,4620,23.1,52.4,24.5,4.1,39.2
4620364.00,4620364.00,3320,38.7,56.2,5.0,0.6,23.0
4620365.00,4620365.00,3260,28.1,59.2,12.7,1.4,30.8
4620366.00,4620366.00,2510,21.1,61.8,16.9,1.4,40.0
4620367.00,4620367.00,4945,16.9,56.3,26.8,11.1,45.6
4620370.00,4620370.00,7035,19.8,63.0,17.3,2.3,39.6
4620380.00,4620380.00,4245,13.7,53.0,33.5,7.3,50.8
4620381.00,4620381.00,6250,18.3,61.8,19.8,5.7,39.6
4620382.01,4620382.01,4130,18.5,56.2,25.1,5.1,42.4
4620382.02,4620382.02,4665,23.5,58.7,17.8,1.8,39.2
4620383.01,4620383.01,3885,22.1,51.1,26.8,7.1,42.4
4620383.02,4620383.02,8640,15.2,46.9,37.9,8.3,52.4
4620385.00,4620385.00,1575,6.3,50.8,42.9,9.2,58.4
4620390.00,4620390.00,1600,14.7,71.9,13.8,0.6,38.4
4620391.00,4620391.00,1735,13.0,64.6,22.8,3.7,45.6
4620392.00,4620392.00,1590,12.3,66.7,20.8,3.5,44.0
4620393.00,4620393.00,6925,16.7,69.2,14.2,2.0,39.2
4620394.00,4620394.00,4155,14.9,70.8,14.3,1.1,38.0
4620395.01,4620395.01,2755,23.2,61.0,15.8,5.3,37.6
4620395.02,4620395.02,6860,15.1,62.5,22.5,5.7,42.8
4620395.03,4620395.03,4780,16.7,66.2,17.1,1.7,43.6
4620396.00,4620396.00,6555,14.0,56.8,29.1,8.6,50.0
4620397.00,4620397.00,3980,20.2,64.1,15.6,1.3,42.4
4620400.00,4620400.00,5410,19.2,63.1,17.6,2.3,42.0
4620401.00,4620401.00,3020,19.9,60.3,19.9,2.5,43.6
4620402.00,4620402.00,1990,20.1,63.8,16.1,3.3,38.8
4620403.00,4620403.00,5475,21.6,60.6,17.6,3.7,41.2
4620404.00,4620404.00,5060,20.4,58.1,21.5,5.2,43.6
4620410.01,4620410.01,5530,18.1,63.4,18.4,2.9,40.8
4620410.02,4620410.02,6015,13.6,55.2,31.1,7.9,48.4
4620410.03,4620410.03,1755,19.1,65.8,15.1,2.6,38.0
4620412.00,4620412.00,7055,17.9,67.4,14.7,2.1,38.4
4620413.01,4620413.01,3765,14.9,56.4,28.6,3.7,48.8
4620413.02,4620413.02,4050,21.2,65.1,13.8,1.4,36.4
4620415.03,4620415.03,4010,15.6,62.1,22.2,3.2,42.0
4620415.04,4620415.04,5455,16.3,63.2,20.5,3.7,40.8
4620415.07,4620415.07,7565,23.9,65.0,11.0,2.7,38.0
4620415.08,4620415.08,2685,19.4,69.8,11.0,1.1,40.0
4620415.09,4620415.09,3035,23.1,68.7,8.2,0.7,39.2
4620415.10,4620415.10,5295,20.1,67.0,12.8,0.9,40.4
4620416.01,4620416.01,4000,16.3,58.5,25.4,3.8,47.2
4620416.02,4620416.02,3325,23.8,60.9,15.5,2.1,38.0
4620417.01,4620417.01,5045,18.9,65.8,15.3,1.8,38.0
4620417.02,4620417.02,2745,22.0,69.8,8.4,0.9,32.4
4620418.00,4620418.00,5705,15.3,67.9,16.7,2.0,39.2
4620419.00,4620419.00,4785,24.2,67.6,8.0,0.8,31.8
4620420.00,4620420.00,5115,16.1,57.9,26.1,6.7,45.2
4620421.03,4620421.03,2945,18.5,64.5,17.1,2.9,39.6
4620421.04,4620421.04,4410,21.7,66.8,11.6,1.4,34.4
4620421.05,4620421.05,2340,22.4,65.6,12.0,1.9,35.2
4620421.06,4620421.06,5460,25.6,64.4,10.1,2.0,33.2
4620430.00,4620430.00,7235,12.4,67.9,19.7,2.3,43.6
4620431.00,4620431.00,5440,13.5,62.6,23.8,3.0,46.8
4620432.00,4620432.00,3135,15.6,62.7,21.7,2.2,47.2
4620433.00,4620433.00,3490,15.2,66.5,18.3,1.4,44.0
4620450.00,4620450.00,7140,12.0,53.5,34.6,5.7,55.2
4620451.00,4620451.00,6985,15.7,61.7,22.6,3.4,46.0
4620452.00,4620452.00,8885,13.7,50.8,35.6,17.2,52.4
4620453.01,4620453.01,5540,17.7,64.1,18.3,1.5,42.8
4620453.02,4620453.02,4930,15.0,63.1,22.1,4.8,46.8
4620460.00,4620460.00,5370,18.2,60.4,21.4,2.4,46.4
4620461.00,4620461.00,2925,16.9,60.9,22.2,3.4,46.8
4620462.01,4620462.01,5145,18.5,62.1,19.5,2.2,43.6
4620462.02,4620462.02,5835,18.1,65.4,16.5,1.5,43.6
4620470.01,4620470.01,7025,15.8,60.9,23.3,3.7,47.2
4620470.03,4620470.03,4905,15.8,71.0,13.3,0.9,45.2
4620470.04,4620470.04,3490,16.5,61.7,21.6,1.7,46.4
4620470.05,4620470.05,4000,15.3,64.6,20.1,1.4,46.8
4620480.00,4620480.00,3765,13.4,60.4,26.2,5.0,50.4
4620490.00,4620490.00,2530,10.1,69.2,21.1,2.8,40.4
4620491.00,4620491.00,2495,11.8,64.7,23.4,9.6,50.8
4620500.00,4620500.00,950,13.7,62.1,24.7,2.6,49.6
4620511.01,4620511.01,3325,18.8,64.1,17.1,2.1,42.0
4620511.02,4620511.02,6670,23.5,64.5,12.1,0.9,35.2
4620512.02,4620512.02,4570,14.4,60.6,24.9,2.5,48.0
4620512.03,4620512.03,2550,16.1,60.4,23.7,2.4,44.0
4620512.04,4620512.04,6580,17.9,65.1,16.9,1.7,41.2
4620513.01,4620513.01,5000,17.6,65.5,16.9,1.9,40.8
4620513.02,4620513.02,4585,16.8,62.9,20.3,2.6,42.0
4620514.01,4620514.01,6895,16.4,64.6,19.1,2.2,43.2
4620514.02,4620514.02,6130,16.7,67.5,15.7,1.4,42.0
4620515.01,4620515.01,6415,16.6,69.8,13.6,2.2,42.8
4620515.02,4620515.02,4375,16.1,72.8,11.2,1.3,42.0
4620515.03,4620515.03,3450,17.1,66.7,16.1,1.2,43.2
4620515.04,4620515.04,3710,17.9,67.7,14.4,1.3,41.2
4620520.02,4620520.02,7110,16.4,64.3,19.3,2.2,42.4
4620520.03,4620520.03,3760,16.2,64.4,19.5,1.7,39.6
4620520.04,4620520.04,4640,18.1,64.9,16.9,1.6,39.6
4620521.01,4620521.01,4855,15.9,63.4,20.8,1.4,42.8
4620521.04,4620521.04,4765,18.3,61.1,20.8,1.7,42.8
4620521.05,4620521.05,4585,15.7,66.2,18.1,2.6,44.4
4620521.06,4620521.06,5145,16.4,59.1,24.6,2.6,46.4
4620521.07,4620521.07,4070,15.1,59.5,25.6,5.9,48.0
4620522.01,4620522.01,3465,14.6,62.2,23.2,2.2,46.4
4620522.02,4620522.02,3505,13.7,59.8,26.7,3.9,47.6
4620523.00,4620523.00,2490,18.9,60.4,20.7,2.0,42.0
4620530.00,4620530.00,6130,17.1,64.3,18.7,2.4,43.6
4620540.00,4620540.00,3965,14.0,59.3,26.7,10.3,46.0
4620550.02,4620550.02,3330,17.4,65.0,17.4,1.2,44.4
4620550.03,4620550.03,6780,17.0,66.4,16.6,2.1,44.8
4620550.04,4620550.04,4805,15.9,65.5,18.5,0.7,44.4
4620570.00,4620570.00,4395,16.0,68.4,15.4,1.7,40.4
4620580.01,4620580.01,4850,14.5,67.1,18.4,1.8,44.4
4620580.02,4620580.02,3235,15.8,73.0,11.1,0.5,41.2
4620580.03,4620580.03,3830,15.4,64.2,20.4,1.0,47.6
4620581.01,4620581.01,5825,15.6,65.2,19.1,3.4,46.4
4620581.02,4620581.02,3490,17.5,66.5,16.0,0.9,43.2
4620582.01,4620582.01,6340,13.7,62.3,24.0,2.5,48.8
4620582.02,4620582.02,5915,17.0,64.0,19.1,1.6,44.0
4620583.00,4620583.00,3210,17.8,63.9,18.4,2.2,42.8
4620584.00,4620584.00,7065,15.1,65.5,19.4,1.8,43.6
4620585.01,4620585.01,2280,18.6,68.6,12.7,0.4,41.6
4620585.02,4620585.02,3820,12.2,56.0,31.9,6.0,54.4
4620590.01,4620590.01,5525,20.5,62.8,16.7,1.9,40.0
4620590.02,4620590.02,3455,22.4,66.7,10.9,0.7,36.0
4620591.01,4620591.01,2705,20.3,63.6,16.1,1.5,40.8
4620591.02,4620591.02,4115,19.1,62.7,18.1,4.0,42.4
4620592.00,4620592.00,7570,21.7,62.2,16.1,2.2,39.6
4620593.01,4620593.01,4865,5.0,36.4,58.5,14.7,69.5
4620593.02,4620593.02,4575,20.2,61.3,18.5,2.2,41.2
4620594.01,4620594.01,2850,17.9,62.5,19.8,1.8,42.4
4620594.02,4620594.02,7590,15.3,60.5,24.2,3.1,47.2
4620600.01,4620600.01,4025,22.0,59.8,18.3,2.7,39.6
4620600.02,4620600.02,4115,22.0,63.1,14.9,2.2,38.0
4620600.03,4620600.03,7095,15.9,50.9,33.1,13.3,49.6
4620601.01,4620601.01,3375,19.6,61.5,19.0,3.9,41.6
4620601.02,4620601.02,4830,18.7,59.0,22.0,6.3,41.2
4620602.01,4620602.01,3780,16.4,57.4,26.2,5.3,47.2
4620602.02,4620602.02,2795,18.6,64.4,17.2,2.7,40.4
4620603.01,4620603.01,3600,18.9,61.5,19.4,3.1,41.6
4620603.02,4620603.02,4250,14.7,54.5,30.9,10.2,49.2
4620603.03,4620603.03,3280,23.0,61.7,15.1,3.0,38.0
4620604.01,4620604.01,3550,15.2,63.8,21.0,3.4,45.2
4620604.02,4620604.02,4515,23.5,61.4,15.2,2.3,38.0
4620604.03,4620604.03,3015,18.1,60.4,21.2,3.0,42.4
4620604.04,4620604.04,3455,21.0,62.1,17.1,2.3,40.4
4620604.05,4620604.05,5280,23.6,62.2,14.1,1.8,38.8
4620605.01,4620605.01,3520,17.3,57.5,25.1,3.8,45.6
