name,province,Latitude,Longitude,elevation_m
Greenstone Mountain,British Columbia,50.610556,-120.642778,1782.5
Maquilla Peak,British Columbia,50.1125,-126.339722,1779.2
Snowcap Mountain,Yukon,62.1468509,-134.8171756,1776.0
Mount Klotz,Yukon,65.3772222,-140.0938889,1773.3
Mount Menzie,Yukon,62.7283933,-133.9277243,1768.9
Moyeha Mountain,British Columbia,49.516945,-125.739166,1763.3
Selish Mountain,British Columbia,49.983611,-120.817223,1762.2
Mount Pratt,British Columbia,50.672778,-125.366944,1760.6
Mount Dirom,British Columbia,58.875278,-133.496666,1755.7
Brunswick Mountain,British Columbia,49.487777,-123.201389,1750.7
TsÊ¼agro DdhÇw,Yukon,63.715,-134.819444,1750.3
Red Mountain,Yukon,63.9716667,-136.6944444,1749.5
Mount Palmerston,British Columbia,50.4075,-126.337778,1745.7
Dome Mountain,British Columbia,54.746667,-126.658333,1744.3
Mount Lolo,British Columbia,50.801944,-120.126944,1743.8
Mount Arrowsmith,British Columbia,49.223889,-124.594722,1735.8
The Wart,British Columbia,49.904444,-120.378889,1731.4
Mount Schellinger,Yukon,65.481944,-132.653611,1724.8
Goatherd Mountain,Yukon,60.2747222,-137.8583333,1724.7
Mount Murchison,British Columbia,49.715278,-123.244722,1723.6
Trio Mountain,British Columbia,49.879167,-126.003333,1720.6
Swakum Mountain,British Columbia,50.291389,-120.697778,1718.4
Mount Guichon,British Columbia,50.367778,-120.676389,1713.8
Mount Tidd,Yukon,62.0616667,-131.3161111,1696.4
Mount Blanshard,British Columbia,49.362778,-122.507222,1694.6
Iron Mountain,British Columbia,50.048611,-120.7575,1688.5
Cathedral Mountain,British Columbia,49.466667,-123.008611,1688.2
Mount Dent,British Columbia,52.7225,-124.178056,1682.0
Mount Scovil,British Columbia,55.246667,-123.437778,1671.4
Mount Raleigh,Nunavut,66.516667,-62.283333,1671.0
Mount McInnes,British Columbia,50.076111,-120.971389,1670.5
Hale Mountain,British Columbia,59.5375,-134.355,1669.3
Mount Robert,British Columbia,55.458889,-121.476944,1665.0
Shovelnose Mountain,British Columbia,49.865,-120.856389,1660.9
Koidern Mountain,Yukon,62.0625,-140.3547222,1643.4
Mount Alex Graham,British Columbia,52.082222,-122.949722,1643.2
Mount Ewing,British Columbia,59.8875,-133.394722,1640.3
Missezula Mountain,British Columbia,49.685,-120.542222,1637.5
Mount Skookum Jim,Yukon,65.1791667,-139.0527778,1636.5
Long Mountain,British Columbia,50.086944,-119.244722,1635.8
Flat Top,Yukon,63.2277778,-137.3916667,1634.6
Estero Peak,British Columbia,50.461944,-125.185833,1628.4
Mount Morin,Yukon,60.0133333,-134.3088889,1621.1
Mount Sether,Yukon,63.3267399,-136.2233528,1612.7
Rough Top,Yukon,63.1725,-137.3336111,1612.5
Mount Wrottesley,British Columbia,49.6025,-123.3575,1611.7
Mount Donaldson,British Columbia,49.705833,-123.455278,1608.7
Mount Hart,Yukon,63.908333,-140.415,1608.1
Mount Burgess,Yukon,66.0458333,-139.6422222,1605.7
Mount Moriarty,British Columbia,49.137777,-124.451667,1588.1
Mount Pitts,Yukon,62.5780556,-137.5952778,1585.2
Mount Washington,British Columbia,49.753056,-125.296389,1578.5
Mount Caubvick,Newfoundland and Labrador,58.8836111,-63.7158334,1578.4
Mont D'Iberville,Quebec,58.887202,-63.712713,1578.4
Mount Bunoz,Yukon,65.4838889,-137.1894444,1574.2
Mount Bulman,British Columbia,50.430833,-120.081667,1573.8
Mount Moodie,British Columbia,56.295,-124.2125,1569.0
Slollicum Peak,British Columbia,49.408333,-121.716667,1563.8
Cap Mountain,Northwest Territories,63.4070425,-123.2155377,1555.6
Mount Ida,British Columbia,50.6391659,-119.3186109,1536.9
Mount Boofus,British Columbia,59.939722,-133.050278,1536.1
Cirque Mountain,Newfoundland and Labrador,58.9336111,-63.5491667,1527.7
