ctuid,name,median_income
8250001.43,0001.43 - Calgary,148000.0
8250001.44,0001.44 - Calgary,141000.0
8250001.45,0001.45 - Calgary,119000.0
8250001.46,0001.46 - Calgary,119000.0
8250001.47,0001.47 - Calgary,105000.0
8250001.48,0001.48 - Calgary,102000.0
8250001.49,0001.49 - Calgary,131000.0
8250001.50,0001.50 - Calgary,105000.0
8250002.02,0002.02 - Calgary,86000.0
8250002.04,0002.04 - Calgary,70000.0
8250002.06,0002.06 - Calgary,142000.0
8250002.07,0002.07 - Calgary,118000.0
8250002.08,0002.08 - Calgary,118000.0
8250002.09,0002.09 - Calgary,116000.0
8250002.10,0002.10 - Calgary,120000.0
8250002.11,0002.11 - Calgary,166000.0
8250002.12,0002.12 - Calgary,137000.0
8250002.14,0002.14 - Calgary,125000.0
8250002.15,0002.15 - Calgary,128000.0
8250002.17,0002.17 - Calgary,99000.0
8250002.18,0002.18 - Calgary,114000.0
8250002.22,0002.22 - Calgary,113000.0
8250002.24,0002.24 - Calgary,85000.0
8250002.25,0002.25 - Calgary,115000.0
8250002.26,0002.26 - Calgary,131000.0
8250002.27,0002.27 - Calgary,144000.0
8250002.28,0002.28 - Calgary,115000.0
8250002.29,0002.29 - Calgary,106000.0
8250002.30,0002.30 - Calgary,123000.0
8250002.31,0002.31 - Calgary,99000.0
8250002.32,0002.32 - Calgary,128000.0
8250002.33,0002.33 - Calgary,153000.0
8250002.34,0002.34 - Calgary,190000.0
8250002.35,0002.35 - Calgary,98000.0
8250002.36,0002.36 - Calgary,95000.0
8250002.37,0002.37 - Calgary,141000.0
8250002.38,0002.38 - Calgary,118000.0
8250002.39,0002.39 - Calgary,129000.0
8250002.40,0002.40 - Calgary,139000.0
8250003.00,0003.00 - Calgary,103000.0
8250004.00,0004.00 - Calgary,126000.0
8250005.00,0005.00 - Calgary,88000.0
8250006.00,0006.00 - Calgary,81000.0
8250007.01,0007.01 - Calgary,90000.0
8250007.02,0007.02 - Calgary,88000.0
8250007.03,0007.03 - Calgary,112000.0
8250007.05,0007.05 - Calgary,232000.0
8250007.06,0007.06 - Calgary,75000.0
8250007.07,0007.07 - Calgary,144000.0
8250008.00,0008.00 - Calgary,117000.0
