year,dimension,category,employees
2013,Region,Newfoundland and Labrador,4792
2013,Region,Northwest Territories,612
2013,Region,Nova Scotia,10807
2013,Region,Nunavut,282
2013,Region,Ontario (minus the NCR),38889
2013,Region,Outside of Canada,1528
2013,Region,Prince Edward Island,3216
2013,Region,Quebec (minus the NCR),30683
2013,Region,Saskatchewan,6072
2013,Region,Yukon,378
2014,Region,Alberta,14447
2014,Region,British Columbia,22801
2014,Region,Manitoba,10326
2014,Region,National Capital Region (NCR),107247
2014,Region,New Brunswick,7899
2014,Region,Newfoundland and Labrador,4605
2014,Region,Northwest Territories,487
2014,Region,Nova Scotia,10598
2014,Region,Nunavut,285
2014,Region,Ontario (minus the NCR),37746
2014,Region,Outside of Canada,1516
2014,Region,Prince Edward Island,3119
2014,Region,Quebec (minus the NCR),29742
2014,Region,Saskatchewan,5957
2014,Region,Yukon,363
2015,Region,Alberta,14428
2015,Region,British Columbia,22923
2015,Region,Manitoba,10088
2015,Region,National Capital Region (NCR),107288
2015,Region,New Brunswick,8281
2015,Region,Newfoundland and Labrador,4711
2015,Region,Northwest Territories,472
2015,Region,Nova Scotia,10549
2015,Region,Nunavut,286
2015,Region,Ontario (minus the NCR),37791
2015,Region,Outside of Canada,1477
2015,Region,Prince Edward Island,3115
2015,Region,Quebec (minus the NCR),29374
2015,Region,Saskatchewan,5884
2015,Region,Yukon,367
2016,Region,Alberta,14803
2016,Region,British Columbia,22824
2016,Region,Manitoba,10019
2016,Region,National Capital Region (NCR),107375
2016,Region,New Brunswick,8328
2016,Region,Newfoundland and Labrador,4562
2016,Region,Northwest Territories,491
2016,Region,Nova Scotia,10436
2016,Region,Nunavut,281
2016,Region,Ontario (minus the NCR),37906
2016,Region,Outside of Canada,1450
2016,Region,Prince Edward Island,3135
2016,Region,Quebec (minus the NCR),29548
2016,Region,Saskatchewan,5902
2016,Region,Unknown,1541
2016,Region,Yukon,378
2017,Region,Alberta,14912
2017,Region,British Columbia,22383
2017,Region,Manitoba,10085
2017,Region,National Capital Region (NCR),107977
2017,Region,New Brunswick,8352
2017,Region,Newfoundland and Labrador,4783
2017,Region,Northwest Territories,496
2017,Region,Nova Scotia,10100
2017,Region,Nunavut,285
2017,Region,Ontario (minus the NCR),37419
2017,Region,Outside of Canada,1341
2017,Region,Prince Edward Island,3146
