year,sector,employment
2005,"Finance, insurance, real estate, rental and leasing",46800.0
2005,"Forestry, fishing, mining, quarrying, oil and gas",13000.0
2005,Health care and social assistance,841000.0
2005,"Information, culture and recreation",101300.0
2005,Manufacturing,3600.0
2005,"Professional, scientific and technical services",9600.0
2005,Public administration,835700.0
2005,Transportation and warehousing,155000.0
2005,Utilities,96100.0
2005,Wholesale and retail trade,19900.0
2006,Accommodation and food services,4300.0
2006,"Business, building and other support services",7400.0
2006,Construction,14100.0
2006,Educational services,1018300.0
2006,"Finance, insurance, real estate, rental and leasing",40100.0
2006,"Forestry, fishing, mining, quarrying, oil and gas",10300.0
2006,Health care and social assistance,836300.0
2006,"Information, culture and recreation",104100.0
2006,Manufacturing,3100.0
2006,"Professional, scientific and technical services",7600.0
2006,Public administration,832900.0
2006,Transportation and warehousing,148600.0
2006,Utilities,90700.0
2006,Wholesale and retail trade,20500.0
2007,Accommodation and food services,5100.0
2007,"Business, building and other support services",6800.0
2007,Construction,16800.0
2007,Educational services,1011800.0
2007,"Finance, insurance, real estate, rental and leasing",44500.0
2007,"Forestry, fishing, mining, quarrying, oil and gas",11300.0
2007,Health care and social assistance,856700.0
2007,"Information, culture and recreation",108900.0
2007,Manufacturing,4100.0
2007,"Professional, scientific and technical services",6100.0
2007,Public administration,858900.0
2007,Transportation and warehousing,157800.0
2007,Utilities,99900.0
2007,Wholesale and retail trade,19600.0
2008,Accommodation and food services,5400.0
2008,"Business, building and other support services",7600.0
2008,Construction,17000.0
2008,Educational services,1003400.0
2008,"Finance, insurance, real estate, rental and leasing",44000.0
2008,"Forestry, fishing, mining, quarrying, oil and gas",10100.0
2008,Health care and social assistance,899100.0
2008,"Information, culture and recreation",98800.0
2008,Manufacturing,3200.0
2008,"Professional, scientific and technical services",8700.0
2008,Public administration,899100.0
2008,Transportation and warehousing,159600.0
2008,Utilities,115000.0
2008,Wholesale and retail trade,22900.0
2009,Accommodation and food services,4900.0
2009,"Business, building and other support services",6400.0
2009,Construction,16600.0
2009,Educational services,1006600.0
2009,"Finance, insurance, real estate, rental and leasing",49100.0
2009,"Forestry, fishing, mining, quarrying, oil and gas",11500.0
2009,Health care and social assistance,917400.0
2009,"Information, culture and recreation",102500.0
2009,Manufacturing,4100.0
2009,"Professional, scientific and technical services",9200.0
2009,Public administration,924600.0
2009,Transportation and warehousing,156600.0
2009,Utilities,118400.0
2009,Wholesale and retail trade,18400.0
2010,Accommodation and food services,3100.0
2010,"Business, building and other support services",7200.0
2010,Construction,18700.0
2010,Educational services,1011100.0
2010,"Finance, insurance, real estate, rental and leasing",47000.0
2010,"Forestry, fishing, mining, quarrying, oil and gas",9300.0
2010,Health care and social assistance,948100.0
2010,"Information, culture and recreation",111900.0
2010,Manufacturing,1700.0
2010,"Professional, scientific and technical services",9300.0
2010,Public administration,932500.0
2010,Transportation and warehousing,153000.0
2010,Utilities,118100.0
2010,Wholesale and retail trade,20300.0
2011,Accommodation and food services,4300.0
2011,"Business, building and other support services",7800.0
2011,Construction,20400.0
2011,Educational services,1007000.0
2011,"Finance, insurance, real estate, rental and leasing",48900.0
2011,"Forestry, fishing, mining, quarrying, oil and gas",10700.0
2011,Health care and social assistance,968200.0
2011,"Information, culture and recreation",110000.0
2011,Manufacturing,2200.0
2011,"Professional, scientific and technical services",8300.0
2011,Public administration,931100.0
2011,Transportation and warehousing,156500.0
2011,Utilities,108700.0
2011,Wholesale and retail trade,17500.0
2012,Accommodation and food services,5900.0
2012,"Business, building and other support services",7000.0
2012,Construction,16400.0
2012,Educational services,1041700.0
2012,"Finance, insurance, real estate, rental and leasing",49400.0
2012,"Forestry, fishing, mining, quarrying, oil and gas",9300.0
2012,Health care and social assistance,968200.0
2012,"Information, culture and recreation",103200.0
2012,Manufacturing,3400.0
2012,"Professional, scientific and technical services",8600.0
2012,Public administration,917200.0
2012,Transportation and warehousing,150200.0
2012,Utilities,107400.0
2012,Wholesale and retail trade,16200.0
2013,Accommodation and food services,4700.0
2013,"Business, building and other support services",7500.0
2013,Construction,15000.0
2013,Educational services,1067500.0
2013,"Finance, insurance, real estate, rental and leasing",48100.0
2013,"Forestry, fishing, mining, quarrying, oil and gas",8600.0
2013,Health care and social assistance,993500.0
2013,"Information, culture and recreation",106500.0
2013,Manufacturing,2300.0
2013,"Professional, scientific and technical services",9100.0
2013,Public administration,911000.0
2013,Transportation and warehousing,149100.0
2013,Utilities,107100.0
2013,Wholesale and retail trade,21600.0
2014,Accommodation and food services,3800.0
2014,"Business, building and other support services",7600.0
2014,Construction,18700.0
2014,Educational services,1057000.0
2014,"Finance, insurance, real estate, rental and leasing",42400.0
2014,"Forestry, fishing, mining, quarrying, oil and gas",7500.0
2014,Health care and social assistance,1011200.0
2014,"Information, culture and recreation",113600.0
2014,Manufacturing,1600.0
2014,"Professional, scientific and technical services",8100.0
2014,Public administration,904800.0
2014,Transportation and warehousing,149400.0
2014,Utilities,111300.0
2014,Wholesale and retail trade,19700.0
2015,Accommodation and food services,6600.0
2015,"Business, building and other support services",11000.0
2015,Construction,17000.0
2015,Educational services,1081100.0
2015,"Finance, insurance, real estate, rental and leasing",49400.0
2015,"Forestry, fishing, mining, quarrying, oil and gas",9700.0
2015,Health care and social assistance,1034300.0
2015,"Information, culture and recreation",99800.0
2015,Manufacturing,2700.0
2015,"Professional, scientific and technical services",8600.0
2015,Public administration,899500.0
2015,Transportation and warehousing,160200.0
2015,Utilities,112800.0
2015,Wholesale and retail trade,20800.0
2016,Accommodation and food services,5300.0
2016,"Business, building and other support services",8900.0
2016,Construction,14200.0
2016,Educational services,1071300.0
2016,"Finance, insurance, real estate, rental and leasing",51000.0
2016,"Forestry, fishing, mining, quarrying, oil and gas",9500.0
2016,Health care and social assistance,1044400.0
2016,"Information, culture and recreation",100900.0
2016,Manufacturing,2100.0
2016,"Professional, scientific and technical services",9900.0
2016,Public administration,897400.0
2016,Transportation and warehousing,159200.0
2016,Utilities,117500.0
2016,Wholesale and retail trade,20100.0
2017,Accommodation and food services,8200.0
2017,"Business, building and other support services",12400.0
2017,Construction,17700.0
2017,Educational services,1083000.0
2017,"Finance, insurance, real estate, rental and leasing",53100.0
2017,"Forestry, fishing, mining, quarrying, oil and gas",9800.0
2017,Health care and social assistance,1060400.0
2017,"Information, culture and recreation",111000.0
2017,Manufacturing,3400.0
2017,"Professional, scientific and technical services",7100.0
2017,Public administration,922600.0
2017,Transportation and warehousing,156100.0
2017,Utilities,112900.0
2017,Wholesale and retail trade,23500.0
2018,Accommodation and food services,4700.0
2018,"Business, building and other support services",9500.0
2018,Construction,18700.0
2018,Educational services,1095400.0
2018,"Finance, insurance, real estate, rental and leasing",56300.0
2018,"Forestry, fishing, mining, quarrying, oil and gas",7500.0
2018,Health care and social assistance,1092600.0
2018,"Information, culture and recreation",110300.0
2018,Manufacturing,2800.0
2018,"Professional, scientific and technical services",8300.0
2018,Public administration,936900.0
2018,Transportation and warehousing,170400.0
2018,Utilities,119100.0
2018,Wholesale and retail trade,21900.0
2019,Accommodation and food services,3800.0
2019,"Business, building and other support services",9500.0
2019,Construction,19400.0
2019,Educational services,1121900.0
2019,"Finance, insurance, real estate, rental and leasing",60100.0
2019,"Forestry, fishing, mining, quarrying, oil and gas",7400.0
2019,Health care and social assistance,1092500.0
2019,"Information, culture and recreation",115700.0
2019,Manufacturing,2900.0
2019,"Professional, scientific and technical services",14600.0
2019,Public administration,982700.0
2019,Transportation and warehousing,164100.0
2019,Utilities,115800.0
2019,Wholesale and retail trade,22100.0
2020,Accommodation and food services,1600.0
2020,"Business, building and other support services",9900.0
2020,Construction,15200.0
2020,Educational services,1132200.0
2020,"Finance, insurance, real estate, rental and leasing",57500.0
