province,year,expense,net_op_balance,revenue,net_fin_worth,gdp,revenue_pct_gdp,expense_pct_gdp,balance_pct_gdp,net_debt_pct_gdp
British Columbia,2009,38714.0,-3098.0,35616.0,-15535.0,198179.0,17.971631706689408,19.534864945327204,-1.563233238637797,7.838872938101413
British Columbia,2010,40248.0,-2331.0,37917.0,-18268.0,206990.0,18.318276245229235,19.444417604715202,-1.1261413594859655,8.825547127880574
British Columbia,2011,43313.0,-4654.0,38658.0,-26174.0,218771.0,17.670532200337338,19.798327931947103,-2.1273386326341246,11.964108588432653
British Columbia,2012,42575.0,-2918.0,39657.0,-27403.0,223328.0,17.757289726321822,19.06388809284998,-1.306598366528156,12.270293021922912
British Columbia,2013,42694.0,-1365.0,41329.0,-24993.0,230981.0,17.892813694632892,18.48377139245219,-0.5909576978193012,10.82037050666505
British Columbia,2014,43668.0,-310.0,43357.0,-28858.0,243872.0,17.77858876787823,17.906114683112452,-0.12711586405983466,11.833256790447448
British Columbia,2015,45398.0,275.0,45673.0,-25406.0,250784.0,18.212086895495723,18.102430777083068,0.1096561184126579,10.130630343243588
British Columbia,2016,47528.0,1474.0,49001.0,-20806.0,263912.0,18.567173906453665,18.009033314135014,0.5585195065021674,7.883688502228016
British Columbia,2017,50284.0,771.0,51056.0,-19313.0,282283.0,18.086813587782473,17.81332917674816,0.2731301566158784,6.841715583297613
British Columbia,2018,54072.0,1922.0,55994.0,-20357.0,297392.0,18.82834776994674,18.182062732017002,0.6462850379297358,6.845174046376499
British Columbia,2019,57940.0,-2469.0,55472.0,-22559.0,308993.0,17.952510251041286,18.751233846721448,-0.7990472276070979,7.300812639768539
British Columbia,2020,69074.0,-8785.0,60289.0,-26577.0,307412.0,19.611791341912483,22.469519732476286,-2.8577283905638033,8.64540096027481
British Columbia,2021,72852.0,-4716.0,68136.0,-20249.0,357002.0,19.08560736354418,20.406608366339686,-1.3210010027955026,5.671957019848628
British Columbia,2022,81174.0,-2084.0,79090.0,-13845.0,400154.0,19.764890517150896,20.285690009346403,-0.5207994921955048,3.4599179315963355
British Columbia,2023,85949.0,-9670.0,76280.0,-24898.0,414465.0,18.404449109092443,20.737336083867152,-2.333128249671263,6.007262374386257
British Columbia,2024,92783.0,-13152.0,79630.0,-37527.0,429089.0,18.557921550074692,21.62325298481201,-3.0650983828529745,8.745738063665113
