country_code,country_name,year,naturalisations,nat_per_100k
NOR,Norway,2005,26064.0,563.754260763599
NOR,Norway,2006,24689.0,529.7299083373509
NOR,Norway,2007,29999.0,637.0360020156492
NOR,Norway,2008,21292.0,446.5405481132131
NOR,Norway,2009,22965.0,475.591284326342
NOR,Norway,2010,23036.0,471.15591505612724
NOR,Norway,2011,28526.0,575.9235450692579
NOR,Norway,2012,24740.0,492.96881802855114
NOR,Norway,2013,26384.0,519.4086254038932
NOR,Norway,2014,30619.0,596.021359362396
NOR,Norway,2015,24759.0,477.18009862762784
NOR,Norway,2016,27367.0,522.8178558526581
NOR,Norway,2017,43147.0,817.6475582190378
NOR,Norway,2018,20677.0,389.25690843002786
NOR,Norway,2019,26373.0,493.14721153889303
NOR,Norway,2020,39264.0,729.8853512656904
NOR,Norway,2021,82008.0,1516.330394651204
NOR,Norway,2022,78584.0,1440.025126774583
NOR,Norway,2023,74441.0,1348.6663256999918
NZL,New Zealand,1997,29064.0,768.6245471134266
NZL,New Zealand,1998,37151.0,973.8138925294888
NZL,New Zealand,1999,63402.0,1653.203306302313
NZL,New Zealand,2000,59179.0,1534.0487855457916
NZL,New Zealand,2001,47233.0,1217.188506635743
NZL,New Zealand,2002,39086.0,989.8948967962517
NZL,New Zealand,2003,36707.0,911.4769566944776
NZL,New Zealand,2004,44398.0,1086.1896024464831
NZL,New Zealand,2005,49086.0,1187.4017271825637
NZL,New Zealand,2006,58629.0,1401.0658127419586
NZL,New Zealand,2007,60102.0,1422.9366920782234
NZL,New Zealand,2008,47833.0,1122.8930935724682
NZL,New Zealand,2009,36441.0,846.9530051596709
NZL,New Zealand,2010,30772.0,707.2884823131909
NZL,New Zealand,2011,38420.0,876.3686131386861
NZL,New Zealand,2012,54277.0,1231.3014677525466
NZL,New Zealand,2013,55611.0,1251.9078814074423
NZL,New Zealand,2014,55730.0,1233.9200708513229
NZL,New Zealand,2015,55115.0,1195.7087690371848
NZL,New Zealand,2016,63877.0,1355.020046244246
NZL,New Zealand,2017,72847.0,1513.357985707163
NZL,New Zealand,2018,71406.0,1457.08688731992
NZL,New Zealand,2019,62025.0,1247.9126008490432
NZL,New Zealand,2020,45483.0,896.6761296427726
NZL,New Zealand,2021,36300.0,713.9204657200173
NZL,New Zealand,2022,80635.0,1586.7721431804316
NZL,New Zealand,2023,72810.0,1400.1923076923076
SWE,Sweden,1995,59578.0,674.9565166361748
SWE,Sweden,1996,46889.0,530.3586767014312
SWE,Sweden,1997,52634.0,594.999221122348
SWE,Sweden,1998,87540.0,989.043691688621
SWE,Sweden,1999,70038.0,790.6863430209099
SWE,Sweden,2000,84718.0,954.8800629027439
SWE,Sweden,2001,71140.0,799.6888475217964
SWE,Sweden,2002,75052.0,840.9227247904137
SWE,Sweden,2003,65174.0,727.5321941423913
SWE,Sweden,2004,56917.0,632.8660011290337
SWE,Sweden,2005,78227.0,866.3422806750974
SWE,Sweden,2006,101162.0,1114.0569825136376
SWE,Sweden,2007,64356.0,703.4909574586701
SWE,Sweden,2008,58260.0,631.9120807033943
SWE,Sweden,2009,56554.0,608.2046434296229
SWE,Sweden,2010,62877.0,670.464440337014
SWE,Sweden,2011,70318.0,744.1677947147556
SWE,Sweden,2012,99270.0,1042.8206728719767
SWE,Sweden,2013,98959.0,1030.7822222435177
SWE,Sweden,2014,85590.0,882.7251341001701
SWE,Sweden,2015,96160.0,981.3059982737342
SWE,Sweden,2016,120432.0,1213.654826094909
SWE,Sweden,2017,137514.0,1367.2512338310416
SWE,Sweden,2018,127473.0,1252.7795484203084
SWE,Sweden,2019,128286.0,1248.0534127868125
SWE,Sweden,2020,160215.0,1547.456391797047
SWE,Sweden,2021,178572.0,1714.4320303046975
SWE,Sweden,2022,183665.0,1751.3686784353988
SWE,Sweden,2023,135451.0,1285.524634437266
USA,United States,1995,824764.0,309.7379430519983
USA,United States,1996,1800245.0,668.2572737328968
USA,United States,1997,1185869.0,434.9307004771563
USA,United States,1998,920098.0,333.5452811994751
USA,United States,1999,1667174.0,597.467746559633
USA,United States,2000,1773168.0,628.4210549930409
USA,United States,2001,1213957.0,425.9962282558112
USA,United States,2002,1144186.0,397.80451359836206
USA,United States,2003,923741.0,318.4128715294387
USA,United States,2004,1072755.0,366.37144454947673
USA,United States,2005,1206926.0,408.41225301188587
USA,United States,2006,1403956.0,470.5263134469991
USA,United States,2007,1320061.0,438.2218605922858
USA,United States,2008,2095942.0,689.2415616033632
USA,United States,2009,1488604.0,485.2484208206949
USA,United States,2010,1241143.0,401.17335083182826
USA,United States,2011,1389890.0,445.7069017317215
USA,United States,2012,1516913.0,482.57216643609456
USA,United States,2013,1561817.0,493.11253557417126
USA,United States,2014,1308600.0,409.88849253875145
USA,United States,2015,1462130.0,454.33850201215375
USA,United States,2016,1507658.0,464.81963157832746
USA,United States,2017,1415886.0,433.5115367396822
USA,United States,2018,1525490.0,464.3387100577553
USA,United States,2019,1686805.0,510.8028563703391
USA,United States,2020,1256495.0,378.9439003487396
USA,United States,2021,1627711.0,490.1265240559982
USA,United States,2022,2002116.0,599.4425614961295
USA,United States,2023,1643300.0,487.98080095321035
