year,fiscal_year,agency,agency_full,component,ftes
2003,2003/04,Environment & Climate Change,Environment and Climate Change Canada,Related scientific activities,2349.0
2003,2003/04,Environment & Climate Change,Environment and Climate Change Canada,Research and development,914.0
2003,2003/04,Environment & Climate Change,Environment and Climate Change Canada,"Total, science and technology",3263.0
2003,2003/04,Fisheries & Oceans,Fisheries and Oceans Canada,Related scientific activities,1381.0
2003,2003/04,Fisheries & Oceans,Fisheries and Oceans Canada,Research and development,521.0
2003,2003/04,Fisheries & Oceans,Fisheries and Oceans Canada,"Total, science and technology",1903.0
2003,2003/04,Health Canada,Health Canada,Related scientific activities,2124.0
2003,2003/04,Health Canada,Health Canada,Research and development,618.0
2003,2003/04,Health Canada,Health Canada,"Total, science and technology",2742.0
2003,2003/04,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Related scientific activities,554.0
2003,2003/04,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Research and development,359.0
2003,2003/04,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada","Total, science and technology",913.0
2003,2003/04,NSERC,Natural Sciences and Engineering Research Council of Canada,Related scientific activities,38.0
2003,2003/04,NSERC,Natural Sciences and Engineering Research Council of Canada,Research and development,257.0
2003,2003/04,NSERC,Natural Sciences and Engineering Research Council of Canada,"Total, science and technology",295.0
2003,2003/04,National Defence,National Defence,Related scientific activities,483.0
2003,2003/04,National Defence,National Defence,Research and development,1477.0
2003,2003/04,National Defence,National Defence,"Total, science and technology",1960.0
2003,2003/04,National Research Council,National Research Council Canada,Related scientific activities,1174.0
2003,2003/04,National Research Council,National Research Council Canada,Research and development,2965.0
2003,2003/04,National Research Council,National Research Council Canada,"Total, science and technology",4139.0
2003,2003/04,Natural Resources Canada,Natural Resources Canada,Related scientific activities,1681.0
2003,2003/04,Natural Resources Canada,Natural Resources Canada,Research and development,1923.0
2003,2003/04,Natural Resources Canada,Natural Resources Canada,"Total, science and technology",3604.0
2003,2003/04,Other departments & agencies,Other departments and agencies,Related scientific activities,4894.0
