year,fiscal_year,agency,agency_full,component,ftes
2013,2013/14,CFI,Canada Foundation for Innovation,"Total, science and technology",65.0
2013,2013/14,CIHR,Canadian Institutes of Health Research,Related scientific activities,12.0
2013,2013/14,CIHR,Canadian Institutes of Health Research,Research and development,387.0
2013,2013/14,CIHR,Canadian Institutes of Health Research,"Total, science and technology",399.0
2013,2013/14,Canadian Space Agency,Canadian Space Agency,Related scientific activities,373.0
2013,2013/14,Canadian Space Agency,Canadian Space Agency,Research and development,247.0
2013,2013/14,Canadian Space Agency,Canadian Space Agency,"Total, science and technology",621.0
2013,2013/14,Environment & Climate Change,Environment and Climate Change Canada,Related scientific activities,3051.0
2013,2013/14,Environment & Climate Change,Environment and Climate Change Canada,Research and development,661.0
2013,2013/14,Environment & Climate Change,Environment and Climate Change Canada,"Total, science and technology",3712.0
2013,2013/14,Fisheries & Oceans,Fisheries and Oceans Canada,Related scientific activities,1669.0
2013,2013/14,Fisheries & Oceans,Fisheries and Oceans Canada,Research and development,78.0
2013,2013/14,Fisheries & Oceans,Fisheries and Oceans Canada,"Total, science and technology",1747.0
2013,2013/14,Global Affairs Canada,Global Affairs Canada,Related scientific activities,184.0
2013,2013/14,Global Affairs Canada,Global Affairs Canada,Research and development,16.0
2013,2013/14,Global Affairs Canada,Global Affairs Canada,"Total, science and technology",200.0
2013,2013/14,Health Canada,Health Canada,Related scientific activities,2727.0
2013,2013/14,Health Canada,Health Canada,Research and development,299.0
2013,2013/14,Health Canada,Health Canada,"Total, science and technology",3026.0
2013,2013/14,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Related scientific activities,649.0
2013,2013/14,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Research and development,207.0
2013,2013/14,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada","Total, science and technology",856.0
2013,2013/14,NSERC,Natural Sciences and Engineering Research Council of Canada,Related scientific activities,43.0
2013,2013/14,NSERC,Natural Sciences and Engineering Research Council of Canada,Research and development,344.0
2013,2013/14,NSERC,Natural Sciences and Engineering Research Council of Canada,"Total, science and technology",387.0
2013,2013/14,National Defence,National Defence,Related scientific activities,380.0
2013,2013/14,National Defence,National Defence,Research and development,1369.0
2013,2013/14,National Defence,National Defence,"Total, science and technology",1749.0
2013,2013/14,National Research Council,National Research Council Canada,Related scientific activities,254.0
2013,2013/14,National Research Council,National Research Council Canada,Research and development,3285.0
2013,2013/14,National Research Council,National Research Council Canada,"Total, science and technology",3539.0
2013,2013/14,Natural Resources Canada,Natural Resources Canada,Related scientific activities,1395.0
2013,2013/14,Natural Resources Canada,Natural Resources Canada,Research and development,1358.0
2013,2013/14,Natural Resources Canada,Natural Resources Canada,"Total, science and technology",2753.0
2013,2013/14,Other departments & agencies,Other departments and agencies,Related scientific activities,4585.0
2013,2013/14,Other departments & agencies,Other departments and agencies,Research and development,1703.0
2013,2013/14,Other departments & agencies,Other departments and agencies,"Total, science and technology",6288.0
2013,2013/14,SSHRC,Social Sciences and Humanities Research Council of Canada,Related scientific activities,37.0
2013,2013/14,SSHRC,Social Sciences and Humanities Research Council of Canada,Research and development,170.0
2013,2013/14,SSHRC,Social Sciences and Humanities Research Council of Canada,"Total, science and technology",207.0
2013,2013/14,Statistics Canada,Statistics Canada,Related scientific activities,4228.0
2013,2013/14,Statistics Canada,Statistics Canada,Research and development,365.0
2013,2013/14,Statistics Canada,Statistics Canada,"Total, science and technology",4593.0
2014,2014/15,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Related scientific activities,283.0
2014,2014/15,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Research and development,1885.0
2014,2014/15,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,"Total, science and technology",2168.0
2014,2014/15,All federal agencies,Total departments and agencies,Related scientific activities,20113.0
2014,2014/15,All federal agencies,Total departments and agencies,Research and development,15383.0
2014,2014/15,All federal agencies,Total departments and agencies,"Total, science and technology",35496.0
2014,2014/15,Atomic Energy of Canada,Atomic Energy of Canada Limited,Research and development,2879.0
2014,2014/15,Atomic Energy of Canada,Atomic Energy of Canada Limited,"Total, science and technology",2879.0
2014,2014/15,CFI,Canada Foundation for Innovation,Research and development,65.0
2014,2014/15,CFI,Canada Foundation for Innovation,"Total, science and technology",65.0
2014,2014/15,CIHR,Canadian Institutes of Health Research,Related scientific activities,11.0
2014,2014/15,CIHR,Canadian Institutes of Health Research,Research and development,408.0
2014,2014/15,CIHR,Canadian Institutes of Health Research,"Total, science and technology",419.0
2014,2014/15,Canadian Space Agency,Canadian Space Agency,Related scientific activities,357.0
2014,2014/15,Canadian Space Agency,Canadian Space Agency,Research and development,236.0
2014,2014/15,Canadian Space Agency,Canadian Space Agency,"Total, science and technology",593.0
2014,2014/15,Environment & Climate Change,Environment and Climate Change Canada,Related scientific activities,3126.0
2014,2014/15,Environment & Climate Change,Environment and Climate Change Canada,Research and development,704.0
2014,2014/15,Environment & Climate Change,Environment and Climate Change Canada,"Total, science and technology",3830.0
2014,2014/15,Fisheries & Oceans,Fisheries and Oceans Canada,Related scientific activities,1937.0
2014,2014/15,Fisheries & Oceans,Fisheries and Oceans Canada,Research and development,96.0
2014,2014/15,Fisheries & Oceans,Fisheries and Oceans Canada,"Total, science and technology",2033.0
2014,2014/15,Global Affairs Canada,Global Affairs Canada,Related scientific activities,177.0
2014,2014/15,Global Affairs Canada,Global Affairs Canada,Research and development,10.0
2014,2014/15,Global Affairs Canada,Global Affairs Canada,"Total, science and technology",187.0
2014,2014/15,Health Canada,Health Canada,Related scientific activities,2697.0
2014,2014/15,Health Canada,Health Canada,Research and development,298.0
2014,2014/15,Health Canada,Health Canada,"Total, science and technology",2995.0
2014,2014/15,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Related scientific activities,633.0
2014,2014/15,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Research and development,194.0
2014,2014/15,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada","Total, science and technology",827.0
2014,2014/15,NSERC,Natural Sciences and Engineering Research Council of Canada,Related scientific activities,40.0
2014,2014/15,NSERC,Natural Sciences and Engineering Research Council of Canada,Research and development,343.0
2014,2014/15,NSERC,Natural Sciences and Engineering Research Council of Canada,"Total, science and technology",383.0
2014,2014/15,National Defence,National Defence,Related scientific activities,219.0
2014,2014/15,National Defence,National Defence,Research and development,1430.0
2014,2014/15,National Defence,National Defence,"Total, science and technology",1649.0
2014,2014/15,National Research Council,National Research Council Canada,Related scientific activities,262.0
2014,2014/15,National Research Council,National Research Council Canada,Research and development,3315.0
2014,2014/15,National Research Council,National Research Council Canada,"Total, science and technology",3577.0
2014,2014/15,Natural Resources Canada,Natural Resources Canada,Related scientific activities,1397.0
2014,2014/15,Natural Resources Canada,Natural Resources Canada,Research and development,1321.0
2014,2014/15,Natural Resources Canada,Natural Resources Canada,"Total, science and technology",2718.0
2014,2014/15,Other departments & agencies,Other departments and agencies,Related scientific activities,4625.0
2014,2014/15,Other departments & agencies,Other departments and agencies,Research and development,1588.0
2014,2014/15,Other departments & agencies,Other departments and agencies,"Total, science and technology",6212.0
2014,2014/15,SSHRC,Social Sciences and Humanities Research Council of Canada,Related scientific activities,36.0
2014,2014/15,SSHRC,Social Sciences and Humanities Research Council of Canada,Research and development,170.0
2014,2014/15,SSHRC,Social Sciences and Humanities Research Council of Canada,"Total, science and technology",207.0
2014,2014/15,Statistics Canada,Statistics Canada,Related scientific activities,4314.0
2014,2014/15,Statistics Canada,Statistics Canada,Research and development,441.0
2014,2014/15,Statistics Canada,Statistics Canada,"Total, science and technology",4755.0
2015,2015/16,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Related scientific activities,274.0
2015,2015/16,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Research and development,1876.0
2015,2015/16,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,"Total, science and technology",2151.0
2015,2015/16,All federal agencies,Total departments and agencies,Related scientific activities,21111.0
2015,2015/16,All federal agencies,Total departments and agencies,Research and development,12814.0
2015,2015/16,All federal agencies,Total departments and agencies,"Total, science and technology",33925.0
2015,2015/16,Atomic Energy of Canada,Atomic Energy of Canada Limited,Research and development,6.0
2015,2015/16,Atomic Energy of Canada,Atomic Energy of Canada Limited,"Total, science and technology",6.0
2015,2015/16,CFI,Canada Foundation for Innovation,Research and development,69.0
2015,2015/16,CFI,Canada Foundation for Innovation,"Total, science and technology",69.0
2015,2015/16,CIHR,Canadian Institutes of Health Research,Related scientific activities,11.0
2015,2015/16,CIHR,Canadian Institutes of Health Research,Research and development,392.0
2015,2015/16,CIHR,Canadian Institutes of Health Research,"Total, science and technology",403.0
2015,2015/16,Canadian Space Agency,Canadian Space Agency,Related scientific activities,361.0
2015,2015/16,Canadian Space Agency,Canadian Space Agency,Research and development,231.0
2015,2015/16,Canadian Space Agency,Canadian Space Agency,"Total, science and technology",591.0
2015,2015/16,Environment & Climate Change,Environment and Climate Change Canada,Related scientific activities,3029.0
2015,2015/16,Environment & Climate Change,Environment and Climate Change Canada,Research and development,713.0
2015,2015/16,Environment & Climate Change,Environment and Climate Change Canada,"Total, science and technology",3742.0
2015,2015/16,Fisheries & Oceans,Fisheries and Oceans Canada,Related scientific activities,2025.0
2015,2015/16,Fisheries & Oceans,Fisheries and Oceans Canada,"Total, science and technology",2025.0
2015,2015/16,Global Affairs Canada,Global Affairs Canada,Related scientific activities,301.0
2015,2015/16,Global Affairs Canada,Global Affairs Canada,Research and development,10.0
2015,2015/16,Global Affairs Canada,Global Affairs Canada,"Total, science and technology",311.0
2015,2015/16,Health Canada,Health Canada,Related scientific activities,2729.0
2015,2015/16,Health Canada,Health Canada,Research and development,277.0
2015,2015/16,Health Canada,Health Canada,"Total, science and technology",3006.0
2015,2015/16,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Related scientific activities,618.0
2015,2015/16,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Research and development,206.0
2015,2015/16,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada","Total, science and technology",824.0
2015,2015/16,NSERC,Natural Sciences and Engineering Research Council of Canada,Related scientific activities,41.0
2015,2015/16,NSERC,Natural Sciences and Engineering Research Council of Canada,Research and development,362.0
2015,2015/16,NSERC,Natural Sciences and Engineering Research Council of Canada,"Total, science and technology",403.0
2015,2015/16,National Defence,National Defence,Related scientific activities,214.0
2015,2015/16,National Defence,National Defence,Research and development,1517.0
2015,2015/16,National Defence,National Defence,"Total, science and technology",1732.0
2015,2015/16,National Research Council,National Research Council Canada,Related scientific activities,265.0
2015,2015/16,National Research Council,National Research Council Canada,Research and development,3404.0
2015,2015/16,National Research Council,National Research Council Canada,"Total, science and technology",3669.0
2015,2015/16,Natural Resources Canada,Natural Resources Canada,Related scientific activities,1398.0
2015,2015/16,Natural Resources Canada,Natural Resources Canada,Research and development,1383.0
2015,2015/16,Natural Resources Canada,Natural Resources Canada,"Total, science and technology",2782.0
2015,2015/16,Other departments & agencies,Other departments and agencies,Related scientific activities,5258.0
2015,2015/16,Other departments & agencies,Other departments and agencies,Research and development,1558.0
2015,2015/16,Other departments & agencies,Other departments and agencies,"Total, science and technology",6816.0
2015,2015/16,SSHRC,Social Sciences and Humanities Research Council of Canada,Related scientific activities,38.0
2015,2015/16,SSHRC,Social Sciences and Humanities Research Council of Canada,Research and development,180.0
2015,2015/16,SSHRC,Social Sciences and Humanities Research Council of Canada,"Total, science and technology",218.0
2015,2015/16,Statistics Canada,Statistics Canada,Related scientific activities,4548.0
2015,2015/16,Statistics Canada,Statistics Canada,Research and development,630.0
2015,2015/16,Statistics Canada,Statistics Canada,"Total, science and technology",5178.0
2016,2016/17,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Related scientific activities,305.0
2016,2016/17,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Research and development,1934.0
2016,2016/17,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,"Total, science and technology",2239.0
2016,2016/17,All federal agencies,Total departments and agencies,Related scientific activities,22410.0
2016,2016/17,All federal agencies,Total departments and agencies,Research and development,11810.0
2016,2016/17,All federal agencies,Total departments and agencies,"Total, science and technology",34219.0
2016,2016/17,Atomic Energy of Canada,Atomic Energy of Canada Limited,Research and development,6.0
2016,2016/17,Atomic Energy of Canada,Atomic Energy of Canada Limited,"Total, science and technology",6.0
2016,2016/17,CFI,Canada Foundation for Innovation,Research and development,65.0
2016,2016/17,CFI,Canada Foundation for Innovation,"Total, science and technology",65.0
2016,2016/17,CIHR,Canadian Institutes of Health Research,Related scientific activities,15.0
2016,2016/17,CIHR,Canadian Institutes of Health Research,Research and development,410.0
2016,2016/17,CIHR,Canadian Institutes of Health Research,"Total, science and technology",425.0
2016,2016/17,Canadian Space Agency,Canadian Space Agency,Related scientific activities,363.0
2016,2016/17,Canadian Space Agency,Canadian Space Agency,Research and development,251.0
2016,2016/17,Canadian Space Agency,Canadian Space Agency,"Total, science and technology",614.0
2016,2016/17,Environment & Climate Change,Environment and Climate Change Canada,Related scientific activities,3025.0
2016,2016/17,Environment & Climate Change,Environment and Climate Change Canada,Research and development,702.0
2016,2016/17,Environment & Climate Change,Environment and Climate Change Canada,"Total, science and technology",3727.0
2016,2016/17,Fisheries & Oceans,Fisheries and Oceans Canada,Related scientific activities,1751.0
2016,2016/17,Fisheries & Oceans,Fisheries and Oceans Canada,"Total, science and technology",1751.0
2016,2016/17,Global Affairs Canada,Global Affairs Canada,Related scientific activities,247.0
2016,2016/17,Global Affairs Canada,Global Affairs Canada,Research and development,8.0
2016,2016/17,Global Affairs Canada,Global Affairs Canada,"Total, science and technology",255.0
2016,2016/17,Health Canada,Health Canada,Related scientific activities,2428.0
2016,2016/17,Health Canada,Health Canada,Research and development,249.0
2016,2016/17,Health Canada,Health Canada,"Total, science and technology",2677.0
2016,2016/17,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Related scientific activities,622.0
2016,2016/17,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Research and development,204.0
2016,2016/17,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada","Total, science and technology",827.0
2016,2016/17,NSERC,Natural Sciences and Engineering Research Council of Canada,Related scientific activities,38.0
2016,2016/17,NSERC,Natural Sciences and Engineering Research Council of Canada,Research and development,374.0
2016,2016/17,NSERC,Natural Sciences and Engineering Research Council of Canada,"Total, science and technology",412.0
2016,2016/17,National Defence,National Defence,Related scientific activities,888.0
2016,2016/17,National Defence,National Defence,Research and development,979.0
2016,2016/17,National Defence,National Defence,"Total, science and technology",1867.0
2016,2016/17,National Research Council,National Research Council Canada,Related scientific activities,275.0
2016,2016/17,National Research Council,National Research Council Canada,Research and development,3580.0
2016,2016/17,National Research Council,National Research Council Canada,"Total, science and technology",3855.0
2016,2016/17,Natural Resources Canada,Natural Resources Canada,Related scientific activities,1614.0
2016,2016/17,Natural Resources Canada,Natural Resources Canada,Research and development,1245.0
2016,2016/17,Natural Resources Canada,Natural Resources Canada,"Total, science and technology",2859.0
2016,2016/17,Other departments & agencies,Other departments and agencies,Related scientific activities,5587.0
2016,2016/17,Other departments & agencies,Other departments and agencies,Research and development,1363.0
2016,2016/17,Other departments & agencies,Other departments and agencies,"Total, science and technology",6950.0
2016,2016/17,SSHRC,Social Sciences and Humanities Research Council of Canada,Related scientific activities,39.0
2016,2016/17,SSHRC,Social Sciences and Humanities Research Council of Canada,Research and development,195.0
2016,2016/17,SSHRC,Social Sciences and Humanities Research Council of Canada,"Total, science and technology",234.0
2016,2016/17,Statistics Canada,Statistics Canada,Related scientific activities,5212.0
2016,2016/17,Statistics Canada,Statistics Canada,Research and development,246.0
2016,2016/17,Statistics Canada,Statistics Canada,"Total, science and technology",5458.0
2017,2017/18,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Related scientific activities,340.0
2017,2017/18,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Research and development,1993.0
2017,2017/18,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,"Total, science and technology",2332.0
2017,2017/18,All federal agencies,Total departments and agencies,Related scientific activities,23710.0
2017,2017/18,All federal agencies,Total departments and agencies,Research and development,12607.0
2017,2017/18,All federal agencies,Total departments and agencies,"Total, science and technology",36317.0
2017,2017/18,Atomic Energy of Canada,Atomic Energy of Canada Limited,Research and development,5.0
2017,2017/18,Atomic Energy of Canada,Atomic Energy of Canada Limited,"Total, science and technology",5.0
2017,2017/18,CFI,Canada Foundation for Innovation,Research and development,68.0
2017,2017/18,CFI,Canada Foundation for Innovation,"Total, science and technology",68.0
2017,2017/18,CIHR,Canadian Institutes of Health Research,Related scientific activities,17.0
2017,2017/18,CIHR,Canadian Institutes of Health Research,Research and development,443.0
2017,2017/18,CIHR,Canadian Institutes of Health Research,"Total, science and technology",460.0
2017,2017/18,Canadian Space Agency,Canadian Space Agency,Related scientific activities,383.0
2017,2017/18,Canadian Space Agency,Canadian Space Agency,Research and development,271.0
2017,2017/18,Canadian Space Agency,Canadian Space Agency,"Total, science and technology",654.0
2017,2017/18,Environment & Climate Change,Environment and Climate Change Canada,Related scientific activities,3030.0
2017,2017/18,Environment & Climate Change,Environment and Climate Change Canada,Research and development,885.0
2017,2017/18,Environment & Climate Change,Environment and Climate Change Canada,"Total, science and technology",3914.0
2017,2017/18,Fisheries & Oceans,Fisheries and Oceans Canada,Related scientific activities,2348.0
2017,2017/18,Fisheries & Oceans,Fisheries and Oceans Canada,"Total, science and technology",2348.0
2017,2017/18,Global Affairs Canada,Global Affairs Canada,Related scientific activities,273.0
2017,2017/18,Global Affairs Canada,Global Affairs Canada,Research and development,4.0
2017,2017/18,Global Affairs Canada,Global Affairs Canada,"Total, science and technology",277.0
2017,2017/18,Health Canada,Health Canada,Related scientific activities,2868.0
2017,2017/18,Health Canada,Health Canada,Research and development,259.0
2017,2017/18,Health Canada,Health Canada,"Total, science and technology",3127.0
2017,2017/18,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Related scientific activities,634.0
2017,2017/18,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Research and development,216.0
2017,2017/18,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada","Total, science and technology",850.0
2017,2017/18,NSERC,Natural Sciences and Engineering Research Council of Canada,Related scientific activities,39.0
2017,2017/18,NSERC,Natural Sciences and Engineering Research Council of Canada,Research and development,383.0
2017,2017/18,NSERC,Natural Sciences and Engineering Research Council of Canada,"Total, science and technology",422.0
2017,2017/18,National Defence,National Defence,Related scientific activities,575.0
2017,2017/18,National Defence,National Defence,Research and development,1119.0
2017,2017/18,National Defence,National Defence,"Total, science and technology",1694.0
2017,2017/18,National Research Council,National Research Council Canada,Related scientific activities,400.0
2017,2017/18,National Research Council,National Research Council Canada,Research and development,3579.0
2017,2017/18,National Research Council,National Research Council Canada,"Total, science and technology",3979.0
2017,2017/18,Natural Resources Canada,Natural Resources Canada,Related scientific activities,1321.0
2017,2017/18,Natural Resources Canada,Natural Resources Canada,Research and development,1497.0
2017,2017/18,Natural Resources Canada,Natural Resources Canada,"Total, science and technology",2818.0
2017,2017/18,Other departments & agencies,Other departments and agencies,Related scientific activities,5836.0
2017,2017/18,Other departments & agencies,Other departments and agencies,Research and development,1266.0
2017,2017/18,Other departments & agencies,Other departments and agencies,"Total, science and technology",7102.0
2017,2017/18,SSHRC,Social Sciences and Humanities Research Council of Canada,Related scientific activities,40.0
2017,2017/18,SSHRC,Social Sciences and Humanities Research Council of Canada,Research and development,203.0
2017,2017/18,SSHRC,Social Sciences and Humanities Research Council of Canada,"Total, science and technology",242.0
2017,2017/18,Statistics Canada,Statistics Canada,Related scientific activities,5608.0
2017,2017/18,Statistics Canada,Statistics Canada,Research and development,417.0
2017,2017/18,Statistics Canada,Statistics Canada,"Total, science and technology",6025.0
2018,2018/19,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Related scientific activities,346.0
2018,2018/19,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Research and development,2004.0
2018,2018/19,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,"Total, science and technology",2350.0
2018,2018/19,All federal agencies,Total departments and agencies,Related scientific activities,23826.0
2018,2018/19,All federal agencies,Total departments and agencies,Research and development,13076.0
2018,2018/19,All federal agencies,Total departments and agencies,"Total, science and technology",36902.0
2018,2018/19,Atomic Energy of Canada,Atomic Energy of Canada Limited,Research and development,4.0
2018,2018/19,Atomic Energy of Canada,Atomic Energy of Canada Limited,"Total, science and technology",4.0
2018,2018/19,CFI,Canada Foundation for Innovation,Research and development,64.0
2018,2018/19,CFI,Canada Foundation for Innovation,"Total, science and technology",64.0
2018,2018/19,CIHR,Canadian Institutes of Health Research,Related scientific activities,15.0
2018,2018/19,CIHR,Canadian Institutes of Health Research,Research and development,446.0
2018,2018/19,CIHR,Canadian Institutes of Health Research,"Total, science and technology",461.0
2018,2018/19,Canadian Space Agency,Canadian Space Agency,Related scientific activities,413.0
2018,2018/19,Canadian Space Agency,Canadian Space Agency,Research and development,262.0
2018,2018/19,Canadian Space Agency,Canadian Space Agency,"Total, science and technology",675.0
2018,2018/19,Environment & Climate Change,Environment and Climate Change Canada,Related scientific activities,2846.0
2018,2018/19,Environment & Climate Change,Environment and Climate Change Canada,Research and development,937.0
2018,2018/19,Environment & Climate Change,Environment and Climate Change Canada,"Total, science and technology",3783.0
2018,2018/19,Fisheries & Oceans,Fisheries and Oceans Canada,Related scientific activities,2499.0
2018,2018/19,Fisheries & Oceans,Fisheries and Oceans Canada,"Total, science and technology",2499.0
2018,2018/19,Global Affairs Canada,Global Affairs Canada,Related scientific activities,287.0
2018,2018/19,Global Affairs Canada,Global Affairs Canada,Research and development,5.0
2018,2018/19,Global Affairs Canada,Global Affairs Canada,"Total, science and technology",292.0
2018,2018/19,Health Canada,Health Canada,Related scientific activities,3115.0
2018,2018/19,Health Canada,Health Canada,Research and development,278.0
2018,2018/19,Health Canada,Health Canada,"Total, science and technology",3393.0
2018,2018/19,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Related scientific activities,631.0
2018,2018/19,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Research and development,246.0
2018,2018/19,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada","Total, science and technology",877.0
2018,2018/19,NSERC,Natural Sciences and Engineering Research Council of Canada,Related scientific activities,37.0
2018,2018/19,NSERC,Natural Sciences and Engineering Research Council of Canada,Research and development,394.0
2018,2018/19,NSERC,Natural Sciences and Engineering Research Council of Canada,"Total, science and technology",431.0
2018,2018/19,National Defence,National Defence,Related scientific activities,186.0
2018,2018/19,National Defence,National Defence,Research and development,1435.0
2018,2018/19,National Defence,National Defence,"Total, science and technology",1621.0
2018,2018/19,National Research Council,National Research Council Canada,Related scientific activities,397.0
2018,2018/19,National Research Council,National Research Council Canada,Research and development,3553.0
2018,2018/19,National Research Council,National Research Council Canada,"Total, science and technology",3950.0
2018,2018/19,Natural Resources Canada,Natural Resources Canada,Related scientific activities,1323.0
2018,2018/19,Natural Resources Canada,Natural Resources Canada,Research and development,1584.0
2018,2018/19,Natural Resources Canada,Natural Resources Canada,"Total, science and technology",2907.0
2018,2018/19,Other departments & agencies,Other departments and agencies,Related scientific activities,5154.0
2018,2018/19,Other departments & agencies,Other departments and agencies,Research and development,1007.0
2018,2018/19,Other departments & agencies,Other departments and agencies,"Total, science and technology",6160.0
2018,2018/19,Public Health Agency,Public Health Agency of Canada,Related scientific activities,703.0
2018,2018/19,Public Health Agency,Public Health Agency of Canada,Research and development,327.0
2018,2018/19,Public Health Agency,Public Health Agency of Canada,"Total, science and technology",1030.0
2018,2018/19,SSHRC,Social Sciences and Humanities Research Council of Canada,Related scientific activities,39.0
2018,2018/19,SSHRC,Social Sciences and Humanities Research Council of Canada,Research and development,222.0
2018,2018/19,SSHRC,Social Sciences and Humanities Research Council of Canada,"Total, science and technology",261.0
2018,2018/19,Statistics Canada,Statistics Canada,Related scientific activities,5836.0
2018,2018/19,Statistics Canada,Statistics Canada,Research and development,307.0
2018,2018/19,Statistics Canada,Statistics Canada,"Total, science and technology",6143.0
2019,2019/20,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Related scientific activities,367.0
2019,2019/20,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Research and development,1991.0
2019,2019/20,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,"Total, science and technology",2357.0
2019,2019/20,All federal agencies,Total departments and agencies,Related scientific activities,23915.0
2019,2019/20,All federal agencies,Total departments and agencies,Research and development,13831.0
2019,2019/20,All federal agencies,Total departments and agencies,"Total, science and technology",37746.0
2019,2019/20,Atomic Energy of Canada,Atomic Energy of Canada Limited,Research and development,4.0
2019,2019/20,Atomic Energy of Canada,Atomic Energy of Canada Limited,"Total, science and technology",4.0
2019,2019/20,CFI,Canada Foundation for Innovation,Research and development,64.0
2019,2019/20,CFI,Canada Foundation for Innovation,"Total, science and technology",64.0
2019,2019/20,CIHR,Canadian Institutes of Health Research,Related scientific activities,19.0
2019,2019/20,CIHR,Canadian Institutes of Health Research,Research and development,473.0
2019,2019/20,CIHR,Canadian Institutes of Health Research,"Total, science and technology",492.0
2019,2019/20,Canadian Space Agency,Canadian Space Agency,Related scientific activities,414.0
2019,2019/20,Canadian Space Agency,Canadian Space Agency,Research and development,264.0
2019,2019/20,Canadian Space Agency,Canadian Space Agency,"Total, science and technology",678.0
2019,2019/20,Environment & Climate Change,Environment and Climate Change Canada,Related scientific activities,3098.0
2019,2019/20,Environment & Climate Change,Environment and Climate Change Canada,Research and development,978.0
2019,2019/20,Environment & Climate Change,Environment and Climate Change Canada,"Total, science and technology",4076.0
2019,2019/20,Fisheries & Oceans,Fisheries and Oceans Canada,Related scientific activities,2544.0
2019,2019/20,Fisheries & Oceans,Fisheries and Oceans Canada,"Total, science and technology",2544.0
2019,2019/20,Global Affairs Canada,Global Affairs Canada,Related scientific activities,319.0
2019,2019/20,Global Affairs Canada,Global Affairs Canada,Research and development,10.0
2019,2019/20,Global Affairs Canada,Global Affairs Canada,"Total, science and technology",329.0
2019,2019/20,Health Canada,Health Canada,Related scientific activities,2703.0
2019,2019/20,Health Canada,Health Canada,Research and development,273.0
2019,2019/20,Health Canada,Health Canada,"Total, science and technology",2976.0
2019,2019/20,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Related scientific activities,635.0
2019,2019/20,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Research and development,232.0
2019,2019/20,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada","Total, science and technology",867.0
2019,2019/20,NSERC,Natural Sciences and Engineering Research Council of Canada,Related scientific activities,39.0
2019,2019/20,NSERC,Natural Sciences and Engineering Research Council of Canada,Research and development,454.0
2019,2019/20,NSERC,Natural Sciences and Engineering Research Council of Canada,"Total, science and technology",493.0
2019,2019/20,National Defence,National Defence,Related scientific activities,406.0
2019,2019/20,National Defence,National Defence,Research and development,1463.0
2019,2019/20,National Defence,National Defence,"Total, science and technology",1868.0
2019,2019/20,National Research Council,National Research Council Canada,Related scientific activities,410.0
2019,2019/20,National Research Council,National Research Council Canada,Research and development,3699.0
2019,2019/20,National Research Council,National Research Council Canada,"Total, science and technology",4109.0
2019,2019/20,Natural Resources Canada,Natural Resources Canada,Related scientific activities,1173.0
2019,2019/20,Natural Resources Canada,Natural Resources Canada,Research and development,1804.0
2019,2019/20,Natural Resources Canada,Natural Resources Canada,"Total, science and technology",2977.0
2019,2019/20,Other departments & agencies,Other departments and agencies,Related scientific activities,5150.0
2019,2019/20,Other departments & agencies,Other departments and agencies,Research and development,1099.0
