year,fiscal_year,agency,agency_full,nominal
2002,2002/03,National Research Council,National Research Council Canada,718.0
2002,2002/03,CIHR,Canadian Institutes of Health Research,622.0
2002,2002/03,NSERC,Natural Sciences and Engineering Research Council of Canada,573.0
2002,2002/03,Other departments & agencies,Other departments and agencies,515.0
2002,2002/03,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",371.0
2002,2002/03,CFI,Canada Foundation for Innovation,332.0
2002,2002/03,Canadian Space Agency,Canadian Space Agency,309.0
2002,2002/03,Natural Resources Canada,Natural Resources Canada,285.0
2002,2002/03,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,267.0
2002,2002/03,National Defence,National Defence,261.0
2002,2002/03,Environment & Climate Change,Environment and Climate Change Canada,207.0
2002,2002/03,SSHRC,Social Sciences and Humanities Research Council of Canada,148.0
2002,2002/03,Fisheries & Oceans,Fisheries and Oceans Canada,140.0
2002,2002/03,Health Canada,Health Canada,105.0
2002,2002/03,Cdn Int'l Development Agency,Canadian International Development Agency,53.0
2002,2002/03,Statistics Canada,Statistics Canada,19.0
2003,2003/04,National Research Council,National Research Council Canada,698.0
2003,2003/04,CIHR,Canadian Institutes of Health Research,687.0
2003,2003/04,NSERC,Natural Sciences and Engineering Research Council of Canada,638.0
2003,2003/04,Natural Resources Canada,Natural Resources Canada,420.0
2003,2003/04,SSHRC,Social Sciences and Humanities Research Council of Canada,402.0
2003,2003/04,Other departments & agencies,Other departments and agencies,389.0
2003,2003/04,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",375.0
2003,2003/04,CFI,Canada Foundation for Innovation,365.0
2003,2003/04,National Defence,National Defence,282.0
2003,2003/04,Environment & Climate Change,Environment and Climate Change Canada,264.0
2003,2003/04,Canadian Space Agency,Canadian Space Agency,256.0
2003,2003/04,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,252.0
2003,2003/04,Atomic Energy of Canada,Atomic Energy of Canada Limited,179.0
2003,2003/04,Health Canada,Health Canada,103.0
2003,2003/04,Fisheries & Oceans,Fisheries and Oceans Canada,71.0
2003,2003/04,Cdn Int'l Development Agency,Canadian International Development Agency,62.0
2003,2003/04,Statistics Canada,Statistics Canada,20.0
2004,2004/05,CIHR,Canadian Institutes of Health Research,749.0
2004,2004/05,NSERC,Natural Sciences and Engineering Research Council of Canada,706.0
2004,2004/05,National Research Council,National Research Council Canada,691.0
2004,2004/05,Other departments & agencies,Other departments and agencies,639.0
2004,2004/05,SSHRC,Social Sciences and Humanities Research Council of Canada,444.0
2004,2004/05,Natural Resources Canada,Natural Resources Canada,378.0
2004,2004/05,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",327.0
2004,2004/05,National Defence,National Defence,296.0
2004,2004/05,CFI,Canada Foundation for Innovation,271.0
2004,2004/05,Canadian Space Agency,Canadian Space Agency,263.0
