country_code,year,hours_per_capita,country_name
CHE,2002,926.3212798320186,Switzerland
CHE,2003,923.7121009178626,Switzerland
CHE,2004,936.9238543177228,Switzerland
CHE,2005,935.4550623091384,Switzerland
CHE,2006,943.867996167289,Switzerland
CHE,2007,953.7194802357262,Switzerland
CHE,2008,959.647447453805,Switzerland
CHE,2009,948.36556780427,Switzerland
CHE,2010,921.193358246468,Switzerland
CHE,2011,934.8771726558052,Switzerland
CHE,2012,932.0482147703384,Switzerland
CHE,2013,920.7860979098843,Switzerland
CHE,2014,921.9172913760038,Switzerland
CHE,2015,931.792924089209,Switzerland
CHE,2016,934.885758615945,Switzerland
CHE,2017,924.1226875204832,Switzerland
CHE,2018,922.4075881777176,Switzerland
CHE,2019,921.163916479473,Switzerland
CHE,2020,880.1368987471001,Switzerland
CHE,2021,898.996160925452,Switzerland
CHE,2022,906.991357961398,Switzerland
CHE,2023,909.2268553822532,Switzerland
CHE,2024,900.3442177758079,Switzerland
CHE,2025,888.5395357342142,Switzerland
DEU,2000,718.7378125882368,Germany
DEU,2001,712.7027368524357,Germany
DEU,2002,704.3730907842801,Germany
DEU,2003,694.4851561637788,Germany
DEU,2004,697.2741111765862,Germany
DEU,2005,692.2422882574965,Germany
DEU,2006,708.7020437830313,Germany
DEU,2007,723.0688339589095,Germany
DEU,2008,731.8486082908227,Germany
DEU,2009,714.947442317011,Germany
DEU,2010,729.6749539136067,Germany
DEU,2011,739.0594954842727,Germany
DEU,2012,735.7493437830441,Germany
DEU,2013,734.607685333532,Germany
DEU,2014,741.2104187820402,Germany
DEU,2015,743.2498340422393,Germany
DEU,2016,744.8452490014291,Germany
DEU,2017,749.4564470123602,Germany
DEU,2018,754.2165609747191,Germany
DEU,2019,755.9487488291181,Germany
DEU,2020,719.2100796337335,Germany
DEU,2021,736.753936215623,Germany
DEU,2022,745.209514231361,Germany
DEU,2023,739.6464394203177,Germany
DEU,2024,740.1785145539232,Germany
DEU,2025,734.1262318441441,Germany
DNK,2000,756.5577988236751,Denmark
DNK,2001,762.8024269756042,Denmark
DNK,2002,757.5241718327808,Denmark
DNK,2003,746.1961832971798,Denmark
DNK,2004,740.5419911753384,Denmark
DNK,2005,745.4708899543217,Denmark
DNK,2006,762.0058726196282,Denmark
DNK,2007,764.1956201369167,Denmark
DNK,2008,767.7036866575904,Denmark
DNK,2009,732.8165707816697,Denmark
DNK,2010,715.2930139960193,Denmark
DNK,2011,718.810932364705,Denmark
DNK,2012,704.4484033505224,Denmark
DNK,2013,703.1250807239925,Denmark
DNK,2014,697.9444464330204,Denmark
DNK,2015,699.9617594456194,Denmark
DNK,2016,708.2357553617261,Denmark
DNK,2017,710.3394336579936,Denmark
DNK,2018,705.8529811172777,Denmark
DNK,2019,708.7766076321915,Denmark
DNK,2020,683.1752835436041,Denmark
DNK,2021,720.7371524420863,Denmark
DNK,2022,741.5430927716361,Denmark
DNK,2023,737.1539312375768,Denmark
DNK,2024,734.8200694484648,Denmark
DNK,2025,734.8464924837511,Denmark
FIN,2000,733.9219755419034,Finland
FIN,2001,737.1644710871242,Finland
FIN,2002,741.2107122255125,Finland
FIN,2003,738.5180049875312,Finland
FIN,2004,740.819331222983,Finland
FIN,2005,744.8114983702179,Finland
FIN,2006,753.5098488882137,Finland
FIN,2007,765.1955923005653,Finland
FIN,2008,776.6475235442467,Finland
FIN,2009,743.644305156493,Finland
FIN,2010,737.3748275347729,Finland
FIN,2011,741.322595456823,Finland
FIN,2012,736.8189292205393,Finland
FIN,2013,724.0971983820556,Finland
FIN,2014,715.1990553775744,Finland
FIN,2015,714.3883707690903,Finland
FIN,2016,716.3256673884957,Finland
FIN,2017,716.0908789804294,Finland
FIN,2018,732.8119915884124,Finland
FIN,2019,737.9741068168646,Finland
FIN,2020,715.9108973547652,Finland
FIN,2021,730.025701362447,Finland
FIN,2022,746.5732892799945,Finland
FIN,2023,744.976238032058,Finland
FIN,2024,734.5430546709601,Finland
