year,geo,partner,exports_millions,share_pct
2001,Northwest Territories,Mexico,0.006,0.001
2001,Northwest Territories,Other countries,0.272,0.035
2001,Northwest Territories,United Kingdom,207.996,27.035
2001,Northwest Territories,United States,12.99,1.688
2001,Nova Scotia,All countries,5706.687,100.0
2001,Nova Scotia,China,30.354,0.532
2001,Nova Scotia,European Union (27 members),297.158,5.207
2001,Nova Scotia,Japan,155.514,2.725
2001,Nova Scotia,Mexico,52.775,0.925
2001,Nova Scotia,Other countries,365.323,6.402
2001,Nova Scotia,United Kingdom,81.847,1.434
2001,Nova Scotia,United States,4723.716,82.775
2001,Nunavut,All countries,220.733,100.0
2001,Nunavut,China,0.01,0.004
2001,Nunavut,European Union (27 members),200.252,90.721
2001,Nunavut,Japan,0.052,0.023
2001,Nunavut,Mexico,0.0,0.0
2001,Nunavut,Other countries,19.757,8.951
2001,Nunavut,United Kingdom,0.039,0.018
2001,Nunavut,United States,0.624,0.283
2001,Ontario,All countries,178010.825,100.0
2001,Ontario,China,624.586,0.351
2001,Ontario,European Union (27 members),3179.297,1.786
2001,Ontario,Japan,834.446,0.469
2001,Ontario,Mexico,1287.047,0.723
2001,Ontario,Other countries,4387.324,2.465
2001,Ontario,United Kingdom,2024.95,1.138
2001,Ontario,United States,165673.175,93.069
2001,Prince Edward Island,All countries,666.422,100.0
2001,Prince Edward Island,China,0.499,0.075
2001,Prince Edward Island,European Union (27 members),23.831,3.576
2001,Prince Edward Island,Japan,8.641,1.297
2001,Prince Edward Island,Mexico,0.851,0.128
2001,Prince Edward Island,Other countries,38.004,5.703
2001,Prince Edward Island,United Kingdom,4.07,0.611
2001,Prince Edward Island,United States,590.526,88.611
2001,Quebec,All countries,68167.338,100.0
2001,Quebec,China,714.322,1.048
2001,Quebec,European Union (27 members),4371.401,6.413
2001,Quebec,Japan,600.721,0.881
2001,Quebec,Mexico,286.075,0.42
2001,Quebec,Other countries,2922.276,4.287
2001,Quebec,United Kingdom,1585.907,2.326
2001,Quebec,United States,57686.636,84.625
2001,Saskatchewan,All countries,11656.51,100.0
2001,Saskatchewan,China,687.147,5.895
2001,Saskatchewan,European Union (27 members),679.583,5.83
2001,Saskatchewan,Japan,647.211,5.552
2001,Saskatchewan,Mexico,265.98,2.282
2001,Saskatchewan,Other countries,2500.22,21.449
2001,Saskatchewan,United Kingdom,65.056,0.558
2001,Saskatchewan,United States,6811.313,58.434
2001,Yukon,All countries,9.837,100.0
2001,Yukon,China,0.0,0.0
2001,Yukon,European Union (27 members),0.0,0.0
2001,Yukon,Japan,0.067,0.683
2001,Yukon,Mexico,0.0,0.0
2001,Yukon,Other countries,0.002,0.025
2001,Yukon,United Kingdom,0.0,0.0
2001,Yukon,United States,9.767,99.291
2002,Alberta,All countries,48931.634,100.0
2002,Alberta,China,833.466,1.703
2002,Alberta,European Union (27 members),716.71,1.465
2002,Alberta,Japan,1233.329,2.521
2002,Alberta,Mexico,447.358,0.914
2002,Alberta,Other countries,2514.416,5.139
2002,Alberta,United Kingdom,181.079,0.37
2002,Alberta,United States,43005.275,87.888
2002,British Columbia,All countries,28828.407,100.0
2002,British Columbia,China,756.299,2.623
2002,British Columbia,European Union (27 members),1481.533,5.139
2002,British Columbia,Japan,3858.539,13.385
2002,British Columbia,Mexico,79.009,0.274
2002,British Columbia,Other countries,2650.158,9.193
2002,British Columbia,United Kingdom,337.032,1.169
2002,British Columbia,United States,19665.837,68.217
2002,Canada,All countries,365294.802,100.0
2002,Canada,China,3639.46,0.996
2002,Canada,European Union (27 members),12767.309,3.495
2002,Canada,Japan,8258.972,2.261
2002,Canada,Mexico,2294.593,0.628
2002,Canada,Other countries,17111.818,4.684
2002,Canada,United Kingdom,4209.983,1.152
2002,Canada,United States,317012.668,86.783
2002,Manitoba,All countries,9404.408,100.0
2002,Manitoba,China,79.538,0.846
2002,Manitoba,European Union (27 members),273.451,2.908
2002,Manitoba,Japan,474.978,5.051
2002,Manitoba,Mexico,148.046,1.574
2002,Manitoba,Other countries,750.944,7.985
2002,Manitoba,United Kingdom,72.752,0.774
2002,Manitoba,United States,7604.699,80.863
2002,New Brunswick,All countries,8165.849,100.0
2002,New Brunswick,China,25.942,0.318
2002,New Brunswick,European Union (27 members),209.049,2.56
2002,New Brunswick,Japan,197.014,2.413
2002,New Brunswick,Mexico,9.516,0.117
2002,New Brunswick,Other countries,327.683,4.013
2002,New Brunswick,United Kingdom,117.398,1.438
2002,New Brunswick,United States,7279.248,89.143
2002,Newfoundland and Labrador,All countries,5534.434,100.0
2002,Newfoundland and Labrador,China,176.355,3.187
2002,Newfoundland and Labrador,European Union (27 members),565.582,10.219
2002,Newfoundland and Labrador,Japan,91.002,1.644
2002,Newfoundland and Labrador,Mexico,9.784,0.177
2002,Newfoundland and Labrador,Other countries,450.095,8.133
2002,Newfoundland and Labrador,United Kingdom,114.882,2.076
2002,Newfoundland and Labrador,United States,4126.734,74.565
2002,Northwest Territories,All countries,897.283,100.0
2002,Northwest Territories,China,0.0,0.0
2002,Northwest Territories,European Union (27 members),596.567,66.486
2002,Northwest Territories,Japan,0.175,0.019
2002,Northwest Territories,Mexico,0.0,0.0
2002,Northwest Territories,Other countries,0.662,0.074
2002,Northwest Territories,United Kingdom,258.33,28.79
2002,Northwest Territories,United States,41.549,4.631
2002,Nova Scotia,All countries,5225.572,100.0
2002,Nova Scotia,China,58.177,1.113
2002,Nova Scotia,European Union (27 members),274.766,5.258
2002,Nova Scotia,Japan,218.77,4.187
2002,Nova Scotia,Mexico,44.547,0.852
2002,Nova Scotia,Other countries,288.318,5.517
2002,Nova Scotia,United Kingdom,59.406,1.137
2002,Nova Scotia,United States,4281.588,81.935
2002,Nunavut,All countries,151.625,100.0
2002,Nunavut,China,0.0,0.0
2002,Nunavut,European Union (27 members),144.142,95.065
2002,Nunavut,Japan,0.109,0.072
2002,Nunavut,Mexico,0.007,0.005
2002,Nunavut,Other countries,6.672,4.401
2002,Nunavut,United Kingdom,0.007,0.005
2002,Nunavut,United States,0.688,0.453
2002,Ontario,All countries,180802.268,100.0
2002,Ontario,China,533.497,0.295
2002,Ontario,European Union (27 members),3223.258,1.783
2002,Ontario,Japan,874.4,0.484
