country_code,year,real_gdp_growth,country_name
FIN,1962,2.9817524682653,Finland
FIN,1963,3.28489802906117,Finland
FIN,1964,5.23889441405613,Finland
FIN,1965,5.30294826992149,Finland
FIN,1966,2.3725834797889,Finland
FIN,1967,2.16875171217238,Finland
FIN,1968,2.30325780935782,Finland
FIN,1969,9.59357690762003,Finland
FIN,1970,7.47032516760649,Finland
FIN,1971,2.06362026191786,Finland
FIN,1972,7.59971540996935,Finland
FIN,1973,6.60076917886782,Finland
FIN,1974,3.07418683106206,Finland
FIN,1975,1.06908197727981,Finland
FIN,1976,0.16534153810764,Finland
FIN,1977,0.60285927542057,Finland
FIN,1978,2.50114142221206,Finland
FIN,1979,6.72318035662096,Finland
FIN,1980,5.08927756257221,Finland
FIN,1981,1.27337941990587,Finland
FIN,1982,3.09685167710336,Finland
FIN,1983,3.06920571523666,Finland
FIN,1984,2.98703695160751,Finland
FIN,1985,3.2273959103231,Finland
FIN,1986,2.75439357778237,Finland
FIN,1987,3.61912604651661,Finland
FIN,1988,5.15349424842356,Finland
FIN,1989,5.41737318928303,Finland
FIN,1990,0.142468473105623,Finland
FIN,1991,-5.88021985054145,Finland
FIN,1992,-3.31265911717823,Finland
FIN,1993,-0.782116794024347,Finland
FIN,1994,3.9658227349687,Finland
FIN,1995,4.23265995561312,Finland
FIN,1996,3.65964435465703,Finland
FIN,1997,6.39699954432332,Finland
FIN,1998,5.45430585754761,Finland
FIN,1999,4.38993302009398,Finland
FIN,2000,5.75254079030849,Finland
FIN,2001,2.64142400316948,Finland
FIN,2002,1.68732630464511,Finland
FIN,2003,2.01125740190443,Finland
FIN,2004,4.00593235205001,Finland
FIN,2005,2.77679817231174,Finland
FIN,2006,4.02009050673827,Finland
FIN,2007,5.31184564047157,Finland
FIN,2008,0.785346255986568,Finland
FIN,2009,-8.07558047879648,Finland
FIN,2010,3.16680223043227,Finland
FIN,2011,2.39089238134591,Finland
FIN,2012,-1.52331120728444,Finland
FIN,2013,-0.978337156557501,Finland
FIN,2014,-0.478541732073708,Finland
FIN,2015,0.466503517895376,Finland
FIN,2016,2.57193423155972,Finland
FIN,2017,3.30429781352332,Finland
FIN,2018,1.19296701717836,Finland
FIN,2019,1.34972646076164,Finland
FIN,2020,-2.49013882261264,Finland
FIN,2021,2.67674749588072,Finland
FIN,2022,0.763024989614991,Finland
FIN,2023,-1.28970664815137,Finland
FIN,2024,0.374118557335535,Finland
FIN,2025,0.172565577109225,Finland
FIN,2026,0.831954958650812,Finland
FRA,1961,5.12170071099055,France
FRA,1962,6.54303414178074,France
FRA,1963,6.42838084885612,France
