year,geo,partner,section,exports_millions,share_of_partner_exports_pct
2025,Manitoba,China,"Industrial machinery, equipment and parts",8.727,0.733
2025,Manitoba,China,Metal and non-metallic mineral products,6.528,0.548
2025,Manitoba,China,Metal ores and non-metallic minerals,59.48,4.994
2025,Manitoba,China,Motor vehicles and parts,0.17,0.014
2025,Manitoba,China,Special transactions trade,38.349,3.22
2025,Manitoba,European Union (27 members),Aircraft and other transportation equipment and parts,5.681,0.684
2025,Manitoba,European Union (27 members),"Basic and industrial chemical, plastic and rubber products",10.203,1.229
2025,Manitoba,European Union (27 members),Consumer goods,123.934,14.926
2025,Manitoba,European Union (27 members),Electronic and electrical equipment and parts,26.653,3.21
2025,Manitoba,European Union (27 members),Energy products,0.0,0.0
2025,Manitoba,European Union (27 members),"Farm, fishing and intermediate food products",336.798,40.564
2025,Manitoba,European Union (27 members),Forestry products and building and packaging materials,5.315,0.64
2025,Manitoba,European Union (27 members),"Industrial machinery, equipment and parts",63.735,7.676
2025,Manitoba,European Union (27 members),Metal and non-metallic mineral products,8.502,1.024
2025,Manitoba,European Union (27 members),Metal ores and non-metallic minerals,13.773,1.659
2025,Manitoba,European Union (27 members),Motor vehicles and parts,2.749,0.331
2025,Manitoba,European Union (27 members),Special transactions trade,232.951,28.056
2025,Manitoba,United Kingdom,Aircraft and other transportation equipment and parts,1.127,0.585
2025,Manitoba,United Kingdom,"Basic and industrial chemical, plastic and rubber products",4.03,2.09
2025,Manitoba,United Kingdom,Consumer goods,6.848,3.551
2025,Manitoba,United Kingdom,Electronic and electrical equipment and parts,32.075,16.634
2025,Manitoba,United Kingdom,Energy products,0.0,0.0
2025,Manitoba,United Kingdom,"Farm, fishing and intermediate food products",96.985,50.297
2025,Manitoba,United Kingdom,Forestry products and building and packaging materials,0.493,0.256
2025,Manitoba,United Kingdom,"Industrial machinery, equipment and parts",4.892,2.537
2025,Manitoba,United Kingdom,Metal and non-metallic mineral products,0.136,0.071
2025,Manitoba,United Kingdom,Metal ores and non-metallic minerals,0.0,0.0
2025,Manitoba,United Kingdom,Motor vehicles and parts,0.104,0.054
2025,Manitoba,United Kingdom,Special transactions trade,46.134,23.925
2025,Manitoba,United States,Aircraft and other transportation equipment and parts,511.482,3.952
2025,Manitoba,United States,"Basic and industrial chemical, plastic and rubber products",901.697,6.967
2025,Manitoba,United States,Consumer goods,2753.176,21.273
2025,Manitoba,United States,Electronic and electrical equipment and parts,398.588,3.08
2025,Manitoba,United States,Energy products,1120.642,8.659
2025,Manitoba,United States,"Farm, fishing and intermediate food products",2604.25,20.122
2025,Manitoba,United States,Forestry products and building and packaging materials,830.612,6.418
2025,Manitoba,United States,"Industrial machinery, equipment and parts",1546.081,11.946
2025,Manitoba,United States,Metal and non-metallic mineral products,326.009,2.519
2025,Manitoba,United States,Metal ores and non-metallic minerals,85.35,0.659
2025,Manitoba,United States,Motor vehicles and parts,1424.542,11.007
2025,Manitoba,United States,Special transactions trade,439.576,3.397
2025,New Brunswick,China,Aircraft and other transportation equipment and parts,0.0,0.0
2025,New Brunswick,China,"Basic and industrial chemical, plastic and rubber products",0.0,0.0
2025,New Brunswick,China,Consumer goods,0.792,0.53
2025,New Brunswick,China,Electronic and electrical equipment and parts,1.769,1.183
2025,New Brunswick,China,Energy products,0.0,0.0
2025,New Brunswick,China,"Farm, fishing and intermediate food products",20.107,13.444
2025,New Brunswick,China,Forestry products and building and packaging materials,126.444,84.545
2025,New Brunswick,China,"Industrial machinery, equipment and parts",0.184,0.123
2025,New Brunswick,China,Metal and non-metallic mineral products,0.0,0.0
2025,New Brunswick,China,Metal ores and non-metallic minerals,0.26,0.174
2025,New Brunswick,China,Motor vehicles and parts,0.0,0.0
2025,New Brunswick,China,Special transactions trade,0.0,0.0
2025,New Brunswick,European Union (27 members),Aircraft and other transportation equipment and parts,3.198,0.987
2025,New Brunswick,European Union (27 members),"Basic and industrial chemical, plastic and rubber products",5.18,1.599
2025,New Brunswick,European Union (27 members),Consumer goods,20.368,6.287
2025,New Brunswick,European Union (27 members),Electronic and electrical equipment and parts,7.007,2.163
2025,New Brunswick,European Union (27 members),Energy products,201.362,62.154
2025,New Brunswick,European Union (27 members),"Farm, fishing and intermediate food products",61.636,19.025
2025,New Brunswick,European Union (27 members),Forestry products and building and packaging materials,17.977,5.549
2025,New Brunswick,European Union (27 members),"Industrial machinery, equipment and parts",1.608,0.496
2025,New Brunswick,European Union (27 members),Metal and non-metallic mineral products,0.709,0.219
2025,New Brunswick,European Union (27 members),Metal ores and non-metallic minerals,3.966,1.224
2025,New Brunswick,European Union (27 members),Motor vehicles and parts,0.686,0.212
2025,New Brunswick,European Union (27 members),Special transactions trade,0.276,0.085
2025,New Brunswick,United Kingdom,Aircraft and other transportation equipment and parts,0.07,0.041
2025,New Brunswick,United Kingdom,"Basic and industrial chemical, plastic and rubber products",29.128,17.198
2025,New Brunswick,United Kingdom,Consumer goods,10.932,6.455
2025,New Brunswick,United Kingdom,Electronic and electrical equipment and parts,2.08,1.228
2025,New Brunswick,United Kingdom,Energy products,107.7,63.589
2025,New Brunswick,United Kingdom,"Farm, fishing and intermediate food products",13.532,7.99
2025,New Brunswick,United Kingdom,Forestry products and building and packaging materials,3.619,2.137
2025,New Brunswick,United Kingdom,"Industrial machinery, equipment and parts",0.267,0.158
2025,New Brunswick,United Kingdom,Metal and non-metallic mineral products,0.068,0.04
2025,New Brunswick,United Kingdom,Metal ores and non-metallic minerals,0.0,0.0
2025,New Brunswick,United Kingdom,Motor vehicles and parts,0.003,0.002
2025,New Brunswick,United Kingdom,Special transactions trade,1.969,1.162
2025,New Brunswick,United States,Aircraft and other transportation equipment and parts,31.0,0.214
2025,New Brunswick,United States,"Basic and industrial chemical, plastic and rubber products",3854.502,26.632
2025,New Brunswick,United States,Consumer goods,1293.992,8.941
2025,New Brunswick,United States,Electronic and electrical equipment and parts,76.204,0.527
2025,New Brunswick,United States,Energy products,5621.524,38.841
2025,New Brunswick,United States,"Farm, fishing and intermediate food products",1364.312,9.427
2025,New Brunswick,United States,Forestry products and building and packaging materials,1751.451,12.101
2025,New Brunswick,United States,"Industrial machinery, equipment and parts",185.704,1.283
2025,New Brunswick,United States,Metal and non-metallic mineral products,38.66,0.267
2025,New Brunswick,United States,Metal ores and non-metallic minerals,140.738,0.972
2025,New Brunswick,United States,Motor vehicles and parts,31.513,0.218
2025,New Brunswick,United States,Special transactions trade,83.47,0.577
2025,Newfoundland and Labrador,China,Aircraft and other transportation equipment and parts,0.0,0.0
2025,Newfoundland and Labrador,China,"Basic and industrial chemical, plastic and rubber products",0.0,0.0
2025,Newfoundland and Labrador,China,Consumer goods,31.858,3.987
2025,Newfoundland and Labrador,China,Electronic and electrical equipment and parts,0.725,0.091
2025,Newfoundland and Labrador,China,Energy products,0.0,0.0
2025,Newfoundland and Labrador,China,"Farm, fishing and intermediate food products",190.517,23.841
2025,Newfoundland and Labrador,China,Forestry products and building and packaging materials,4.641,0.581
2025,Newfoundland and Labrador,China,"Industrial machinery, equipment and parts",0.407,0.051
2025,Newfoundland and Labrador,China,Metal and non-metallic mineral products,97.222,12.166
2025,Newfoundland and Labrador,China,Metal ores and non-metallic minerals,473.751,59.284
2025,Newfoundland and Labrador,China,Motor vehicles and parts,0.0,0.0
2025,Newfoundland and Labrador,China,Special transactions trade,0.0,0.0
2025,Newfoundland and Labrador,European Union (27 members),Aircraft and other transportation equipment and parts,0.186,0.003
2025,Newfoundland and Labrador,European Union (27 members),"Basic and industrial chemical, plastic and rubber products",66.144,1.134
2025,Newfoundland and Labrador,European Union (27 members),Consumer goods,53.448,0.916
2025,Newfoundland and Labrador,European Union (27 members),Electronic and electrical equipment and parts,6.389,0.109
2025,Newfoundland and Labrador,European Union (27 members),Energy products,3786.933,64.904
2025,Newfoundland and Labrador,European Union (27 members),"Farm, fishing and intermediate food products",33.579,0.575
2025,Newfoundland and Labrador,European Union (27 members),Forestry products and building and packaging materials,5.209,0.089
2025,Newfoundland and Labrador,European Union (27 members),"Industrial machinery, equipment and parts",0.42,0.007
2025,Newfoundland and Labrador,European Union (27 members),Metal and non-metallic mineral products,562.556,9.642
2025,Newfoundland and Labrador,European Union (27 members),Metal ores and non-metallic minerals,1318.749,22.602
2025,Newfoundland and Labrador,European Union (27 members),Motor vehicles and parts,1.038,0.018
2025,Newfoundland and Labrador,European Union (27 members),Special transactions trade,0.06,0.001
2025,Newfoundland and Labrador,United Kingdom,Aircraft and other transportation equipment and parts,0.32,0.029
2025,Newfoundland and Labrador,United Kingdom,"Basic and industrial chemical, plastic and rubber products",0.003,0.0
2025,Newfoundland and Labrador,United Kingdom,Consumer goods,51.246,4.678
2025,Newfoundland and Labrador,United Kingdom,Electronic and electrical equipment and parts,4.925,0.45
2025,Newfoundland and Labrador,United Kingdom,Energy products,989.709,90.354
2025,Newfoundland and Labrador,United Kingdom,"Farm, fishing and intermediate food products",2.744,0.25
2025,Newfoundland and Labrador,United Kingdom,Forestry products and building and packaging materials,15.81,1.443
2025,Newfoundland and Labrador,United Kingdom,"Industrial machinery, equipment and parts",0.835,0.076
2025,Newfoundland and Labrador,United Kingdom,Metal and non-metallic mineral products,11.57,1.056
2025,Newfoundland and Labrador,United Kingdom,Metal ores and non-metallic minerals,18.199,1.661
2025,Newfoundland and Labrador,United Kingdom,Motor vehicles and parts,0.002,0.0
2025,Newfoundland and Labrador,United Kingdom,Special transactions trade,0.0,0.0
2025,Newfoundland and Labrador,United States,Aircraft and other transportation equipment and parts,4.626,0.097
2025,Newfoundland and Labrador,United States,"Basic and industrial chemical, plastic and rubber products",504.421,10.596
2025,Newfoundland and Labrador,United States,Consumer goods,76.933,1.616
2025,Newfoundland and Labrador,United States,Electronic and electrical equipment and parts,10.406,0.219
2025,Newfoundland and Labrador,United States,Energy products,2495.944,52.431
2025,Newfoundland and Labrador,United States,"Farm, fishing and intermediate food products",1156.069,24.285
2025,Newfoundland and Labrador,United States,Forestry products and building and packaging materials,30.046,0.631
2025,Newfoundland and Labrador,United States,"Industrial machinery, equipment and parts",8.423,0.177
2025,Newfoundland and Labrador,United States,Metal and non-metallic mineral products,364.796,7.663
2025,Newfoundland and Labrador,United States,Metal ores and non-metallic minerals,60.726,1.276
2025,Newfoundland and Labrador,United States,Motor vehicles and parts,0.279,0.006
2025,Newfoundland and Labrador,United States,Special transactions trade,47.792,1.004
2025,Nova Scotia,China,Aircraft and other transportation equipment and parts,0.0,0.0
2025,Nova Scotia,China,"Basic and industrial chemical, plastic and rubber products",6.58,1.295
2025,Nova Scotia,China,Consumer goods,94.524,18.606
2025,Nova Scotia,China,Electronic and electrical equipment and parts,7.588,1.494
2025,Nova Scotia,China,Energy products,0.0,0.0
2025,Nova Scotia,China,"Farm, fishing and intermediate food products",339.344,66.795
2025,Nova Scotia,China,Forestry products and building and packaging materials,3.412,0.672
2025,Nova Scotia,China,"Industrial machinery, equipment and parts",0.84,0.165
2025,Nova Scotia,China,Metal and non-metallic mineral products,15.416,3.035
2025,Nova Scotia,China,Metal ores and non-metallic minerals,37.994,7.479
2025,Nova Scotia,China,Motor vehicles and parts,2.341,0.461
2025,Nova Scotia,China,Special transactions trade,0.0,0.0
2025,Nova Scotia,European Union (27 members),Aircraft and other transportation equipment and parts,14.423,2.59
2025,Nova Scotia,European Union (27 members),"Basic and industrial chemical, plastic and rubber products",19.285,3.463
2025,Nova Scotia,European Union (27 members),Consumer goods,194.341,34.898
2025,Nova Scotia,European Union (27 members),Electronic and electrical equipment and parts,42.314,7.598
2025,Nova Scotia,European Union (27 members),Energy products,5.072,0.911
2025,Nova Scotia,European Union (27 members),"Farm, fishing and intermediate food products",201.293,36.146
2025,Nova Scotia,European Union (27 members),Forestry products and building and packaging materials,18.107,3.251
